  0:   84| [55] [√Current Chapter 3]
  1:  101| [45] [--By the time he reached Area N, Watase was already tattered and beaten.]
  2:  163| [45] [Kazami had struck him in the arm with a fire extinguisher.]
  3:  223| [45] [Jun appeared and he had to run away.]
  4:  283| [45] [Ukita shot him in the flank.]
  5:  342| [45] [And once he finally arrived in Area N, what was waiting for him was--]
  6:  419| [47] [Watase]
  7:  422| [45] ["...!"]
  8:  427| [45] [Abnormal symptoms including skin discomfort, headache, and convulsing fingertips.]
  9:  432| [47] [Natsuhiko]
 10:  433| [45] [(No, Watase! It's too dangerous here!)]
 11:  438| [45] [The manual they'd found in the engine room even had this to say:]
 12:  443| [45] [8000 mSv-: unconsciousness]
 13:  448| [45] [The contamination level in Area N was far beyond that.]
 14:  453| [47] [Natsuhiko]
 15:  454| [45] [(Khh-- If the contamination level's that high, then the device inside here really must be that WX particle amplifier!)]
 16:  459| [47] [Natsuhiko]
 17:  460| [45] [(Is this device the reason the facility's "mSv" values have been increasing!?)]
 18:  465| [45] [Once Natsuhiko was convinced of that connection, a sudden realization hit him.]
 19:  471| [47] [Natsuhiko]
 20:  472| [45] [(!!!)]
 21:  477| [45] ["AD" "Procyon" "contaminated zone" "WX particle amplifier" "WX particle" "BC's third ability"]
 22:  482| [45] [The scattered puzzle pieces inside of Natsuhiko rapidly connected into one.]
 23:  487| [47] [Natsuhiko]
 24:  488| [45] [(Ah, ah, aahh...!)]
 25:  493| [47] [Natsuhiko]
 26:  494| [45] [(I... I got it! I've solved one of the mysteries!)]
 27:  499| [45] [The answer he finally found was the true nature of the facility.]
 28:  510| [47] [Natsuhiko]
 29:  511| [45] [(... I've been connected to Watase for six hours using "BC's third ability".)]
 30:  516| [47] [Natsuhiko]
 31:  517| [45] [(But whenever he administered "AD", the connection would halt, and when he entered a%N"contaminated zone", it would resume.)]
 32:  522| [47] [Natsuhiko]
 33:  523| [45] [(So in other words, the "AD" that LABO made is a drug that inhibits my BC abilities--)]
 34:  528| [47] [Natsuhiko]
 35:  529| [45] [(The "WX particles" spreading around LABO have the opposite effect as AD: they augment my BC abilities!)]
 36:  534| [45] [And in the dead center of the high-security LABO was a "WX particle amplifier".]
 37:  539| [45] [And the "Procyon", the device that measured the WX particles, was built by LABO as well.]
 38:  544| [45] [The Procyon, the AD, the WX particles... everything relates to BC--!]
 39:  549| [47] [Natsuhiko]
 40:  550| [45] [(Which means... which means LABO!!)]
 41:  635| [85] [　%N　%N]
 42:  639| [47] [Rokumei City's Seven Wonders, Number 1:]
 43:  645| [47] [LABO does not conduct nuclear power research.]
 44:  650| [47] [They research arms production]
 45:  656| [47] [--and other dangerous, national matters--]
 46:  671| [85] [　%N　%N　%N]
 47:  675| [47] [--LABO does not conduct nuclear power research--]
 48:  681| [47] [--other dangerous, national matters--]
 49:  752| [47] [Natsuhiko]
 50:  753| [45] [(--So LABO really isn't a nuclear power research lab at all!)]
 51:  758| [47] [Natsuhiko]
