  0:   79| [55] [√Before Chapter 3]
  1:   87| [47] [Natsuhiko]
  2:   88| [45] [(--!!)]
  3:  125| [45] [Natsuhiko came to his senses.]
  4:  162| [47] [Natsuhiko]
  5:  163| [45] [(Where am I!?)]
  6:  333| [45] [Right before his eyes were two rescue squad members collapsed on the floor.]
  7:  386| [45] [As well as Salyu, the one who put them there.]
  8:  453| [45] [Natsuhiko, Mashiro, and Yuuri looked at the situation in awestruck surprise.]
  9:  576| [47] [Natsuhiko]
 10:  577| [45] [(C-calm down...! This is no time to space out!)]
 11:  582| [47] [Natsuhiko]
 12:  583| [45] [(Why would Salyu kick down some rescue squad members!?)]
 13:  588| [45] [Natsuhiko was horribly confused.]
 14:  593| [45] [But the answer to his question lied in what he had just been seeing.]
 15:  598| [47] [Natsuhiko]
 16:  599| [45] [(No, hold on...!)]
 17:  604| [47] [Natsuhiko]
 18:  605| [45] [(Salyu's working to protect us. I should be able to trust her.)]
 19:  610| [47] [Natsuhiko]
 20:  611| [45] [(In that case, the fact that Salyu kicked these guys down means--!?)]
 21:  730| [45] [Electricity ran through Natsuhiko's spine.]
 22:  735| [45] [He then realized exactly who those people were.]
 23:  840| [47] [Natsuhiko]
 24:  843| [45] ["Mashiro, these guys... are no rescue squad members."]
 25:  869| [47] [Mashiro]
 26:  872| [45] ["Huh!?"]
 27:  880| [47] [Natsuhiko]
 28:  883| [45] ["They're the ones who attacked us at that abandoned factory last night!"]
 29:  909| [47] [Mashiro]
 30:  912| [45] ["!"]
 31:  981| [45] [The moment Natsuhiko said that, one of the collapsed men glared at him.]
 32:  987| [47] [Rescue Worker 2]
 33:  990| [45] ["... You'd have been better off not noticing that...!"]
 34:  998| [47] [Natsuhiko]
 35: 1001| [45] ["...!"]
 36: 1006| [47] [Rescue Worker 2]
 37: 1009| [45] ["We should've put you through a little more pain back then...%NIt was a mistake to show you mercy."]
 38: 1032| [47] [Rescue Worker 2]
 39: 1035| [45] ["This time, we're gonna shut you up for sure."]
 40: 1205| [45] [And with that, the man lunged towards the kids.]
 41: 1255| [45] [But then Salyu stepped forward ever so slightly,]
 42: 1299| [47] [Salyu]
 43: 1302| [45] ["HA!!"]
 44: 1417| [45] [grabbed the man by the arm, and hurled him to the ground.]
 45: 1518| [47] [Rescue Worker 2]
 46: 1521| [45] ["Tch!!"]
 47: 1526| [45] [The man shoulder rolled safely back to his feet and lunged at Salyu once more.]
 48: 1546| [45] [As she readied to counter him, Salyu shouted.]
 49: 1766| [47] [Salyu]
 50: 1769| [45] ["Natsuhiko! Mashiro! Run!"]
 51: 1777| [47] [Mashiro]
 52: 1780| [45] ["Salyu!?"]
 53: 1788| [47] [Salyu]
 54: 1791| [45] ["I'll get rid of him! The other one's fainted, so I can manage one-on-one combat!"]
 55: 1799| [47] [Natsuhiko]
 56: 1802| [45] ["Then let me help--!"]
 57: 1828| [47] [Salyu]
 58: 1831| [45] ["No, Natsuhiko, you guys will only drag me down!%NI can't deal with a hostage situation if they get you!"]
 59: 1839| [47] [Natsuhiko]
 60: 1842| [45] ["!!"]
 61: 1868| [47] [Salyu]
 62: 1871| [45] ["You guys go find an exit! If you find one, contact me through telepathy!"]
 63: 1925| [47] [Natsuhiko]
 64: 1928| [45] ["--...gh."]
 65: 1933| [45] [Hesitation wormed its way into Natsuhiko's mind.]
 66: 1997| [45] [But Mashiro grabbed him by the arm and said,]
 67: 2008| [47] [Mashiro]
 68: 2011| [45] ["Natsuhiko! Let's just do what Salyu says! We'd only get in her way!"]
 69: 2037| [47] [Yuuri]
 70: 2040| [45] ["Hikorin, Salyu will be okay by herself!"]
 71: 2045| [45] [Mashiro and Yuuri were right.]
 72: 2050| [45] [Natsuhiko shouted to shake off his frustration.]
 73: 2128| [47] [Natsuhiko]
 74: 2131| [45] ["Salyu, it's a promise! We -will- get out of here-- together!"]
