  0:   49| [55] [√Current Chapter4]
  1:   60| [45] [――――――]
  2:   65| [45] [――――]
  3:   70| [45] [――]
  4:   75| [45] [――その頃。]
  5:   80| [45] [ラボの地下フロアの各所にて――]
  6:  148| [47] [宇喜多]
  7:  151| [45] [「許さないぞ、裏切り者め……僕が絶対に、お前を裁いてやるからな……」]
  8:  156| [45] [男は怨嗟の声を吐き続け、]
  9:  227| [47] [恵那]
 10:  230| [45] [「命を捨てるって……どうして……」]
 11:  243| [45] [女は男の姿を求めてさまよい歩き、]
 12:  306| [47] [洵]
 13:  309| [45] [「あいつを殺さなきゃ……あたしがやらなきゃダメなんだ……」]
 14:  314| [45] [若いレスキュー隊員は、その胸に殺意を固める。]
 15:  376| [47] [風見]
 16:  379| [45] [「ええ、わかってるわ……あの人を救えるのは、私だけだもの……」]
 17:  426| [45] [熟練のレスキュー隊員は、何者かと言葉を交わしていた。]
 18:  497| [47] [サリュ]
 19:  498| [45] [「…………」]
 20:  503| [45] [気絶していた少女は、虚ろな目で身を起こし、]
 21:  551| [47] [ましろ]
 22:  554| [45] [「……夏、彦……」]
 23:  559| [45] [少年を想う少女は、彼の名を呟く。]
 24:  624| [45] [――だが彼らは、誰一人として気づいていない。]
 25:  667| [45] [９人の足の下、さらに地下深く。]
 26:  673| [45] [そこに作られた檻の中で――]
 27:  777| [45] [まだ誰も見つけていない、悪意に満ちた最後の爆弾が、静かにその時を待っている事を。]
 28:  792| [45] [そして、過ぎた時を繰り返すように――]
 29:  898| [45] [――９年前に死んだはずの少女が、ゆっくりと眼を覚ます。]
 30:  915| [47] [悠里]
 31:  918| [45] [「……ぅ……」]
 32:  926| [47] [悠里]
 33:  929| [45] [「……わたしは……？」]
 34:  937| [47] [悠里]
 35:  940| [45] [「っ……！」]
 36:  945| [45] [少女はすぐに思い出した。]
 37:  950| [45] [自分の身に何が起こり、なぜこの場所で眠りについていたのかを。]
 38:  958| [47] [悠里]
 39:  961| [45] [「……ひこりん」]
 40:  966| [45] [少女は闇の中で、声を震わせた。]
 41:  974| [47] [悠里]
 42:  977| [45] [「ひこりん、助けて……！」]
 43: 1038| [45] [隔壁開放まであと３時間。]
 44: 1043| [45] [やがて彼女の願いは、闇を越える――。]
 45: 1166| [85] [――『√Double』解放。]
 46: 1168| [85] [ROUTE SELECT画面で選べるシナリオが追加されました。]
 47: 1205| [85] [√CのAnswerモードが開放されました。]
 48: 1207| [85] [√Cのセンシズの入力画面で【Answer】を選択すると、]
 49: 1209| [85] [あらかじめ設定された正解の値が選べます。]
