  0:  170| [55] [√Current Chapter 1]
  1:  187| [45] [--The fire was masterfully extinguished through the skillful efforts of the two rescue workers.]
  2:  213| [47] [Jun]
  3:  216| [45] ["Don't worry miss, you're safe now."]
  4:  242| [47] [Lieutenant]
  5:  245| [45] ["Are you hurt?"]
  6:  273| [47] [Yuuri]
  7:  276| [45] ["... N-no."]
  8:  281| [45] [Natsuhiko looked long and hard at the girl through the man's eyes.]
  9:  385| [47] [Natsuhiko]
 10:  386| [45] [(I-is that really Yuuri...?)]
 11:  391| [45] [But Yuuri was supposed to have died nine years ago.]
 12:  396| [47] [Natsuhiko]
 13:  397| [45] [(Yuuri... didn't have a twin sister by any chance, did she...?)]
 14:  402| [47] [Natsuhiko]
 15:  403| [45] [(No, I could've sworn Yuuri was an only child... So could she be her clone or something, then!?)]
 16:  408| [45] [She was such a spitting image of Yuuri that he couldn't help but ponder such absurd impossibilities.]
 17:  413| [45] [At that time, the man's eyes turned toward the two rescue workers.]
 18:  457| [47] [Watase]
 19:  460| [45] ["By the way, can I ask you guys a question?"]
 20:  468| [47] [Watase]
 21:  471| [45] ["You've been calling me 'Captain'... so does that mean I'm the captain of a rescue squad or something?"]
 22:  497| [47] [Jun]
 23:  500| [45] ["Huh? The heck you talking about?"]
 24:  526| [47] [Lieutenant]
 25:  529| [45] ["What... do you mean by that?"]
 26:  537| [47] [Watase]
 27:  540| [45] ["Well, the thing is... I don't know anything."]
 28:  548| [47] [Watase]
 29:  551| [45] ["Not who I am, or even where I am..."]
 30:  608| [47] [All 3]
 31:  611| [45] ["Huh!?"]
 32:  616| [45] [Everyone on the outside was shocked by the man's confession, but Natsuhiko was rather relieved.]
 33:  621| [47] [Natsuhiko]
 34:  622| [45] [(Thank goodness... I successfully destroyed the man's mind.)]
 35:  627| [45] [Natsuhiko recalled what'd happened back then.]
 36:  701| [47] [Natsuhiko]
 37:  702| [45] [(--Show me all the memories that compose his mind!)]
 38:  707| [47] [Natsuhiko]
 39:  708| [45] [(Please... work...)]
 40:  774| [47] [Natsuhiko]
 41:  777| [45] [{Shatter!!}]
 42:  836| [47] [Watase]
 43:  839| [45] ["Ga... agh...!"]
 44:  959| [45] [That was Natsuhiko's memory of just before he had lost consciousness.]
 45:  964| [45] [It was more accurate to say that he had destroyed the man's "memories" rather than his "mind".]
 46:  969| [45] [As a result, the man appeared to be suffering from amnesia.]
 47:  974| [47] [Natsuhiko]
 48:  975| [45] [(Then did his hatred and murderous intent disappear too...?)]
 49:  980| [45] [He had no evidence that said that much, but all signs of the man's demeanor suggested that Natsuhiko could relax for now.]
 50:  985| [47] [Natsuhiko]
 51:  986| [45] [(... But...)]
 52:  991| [45] [Natsuhiko grew depressed as he recalled the details of his own loss of consciousness.]
 53:  996| [45] [His blood loss. His senses fading into darkness. He was by no means okay.]
 54: 1001| [47] [Natsuhiko]
 55: 1002| [45] [(Well, it's no wonder... With that many gunshot wounds, anybody would...)]
 56: 1060| [45] [--Anybody would die like I did back there--]
 57: 1065| [45] [That fact cast a dark shadow on Natsuhiko's mind.]
 58: 1070| [47] [Natsuhiko]
 59: 1071| [45] [(But then what am I now...?)]
 60: 1076| [47] [Natsuhiko]
 61: 1077| [45] [(... Don't tell me I'm a "ghost"...)]
 62: 1082| [45] [As that possibility crossed his mind, he recalled a story he had heard just the other day.]
 63: 1169| [47] [Ena]
 64: 1172| [45] ["In an extreme example, some people are even considering the possibility that 'ghosts' just might be another type of BC."]
 65: 1180| [47] [Ena]
 66: 1183| [45] ["BC energy created by telepathy starts decaying after it's sent, but it's not like it fades to zero immediately."]
 67: 1209| [47] [Ena]
 68: 1212| [45] ["So in other words, with or without a target, extraordinarily strong BC can remain in place for a while..."]
 69: 1273| [47] [Mashiro]
 70: 1276| [45] ["... that also means that the feelings of the dead remain in this world, doesn't it!?"]
 71: 1412| [45] [... Natsuhiko likely died while he was still inside the man's mind.]
 72: 1417| [45] [And thus the BC energy Natsuhiko used was still lingering inside the man--]
 73: 1422| [47] [Natsuhiko]
 74: 1423| [45] [(... So my consciousness is in here now, huh.)]
 75: 1428| [47] [Natsuhiko]
 76: 1429| [45] [(Who would've thought that I'd personally experience a hypothetical we discussed in class...)]
 77: 1434| [47] [Natsuhiko]
 78: 1435| [45] [(It's almost like I've become an impure spirit, haunting the one who killed me... hahah.)]
 79: 1440| [45] [He was unbearably sad that he would no longer be able to see Mashiro, Salyu, or even his own mother again.]
 80: 1450| [45] [--At that moment, Natsuhiko suddenly noticed that the lieutenant was trying to inject the girl with something.]
