  0:   57| [45] [――『明日からランニングをしよう！』と亘に提案された後――]
  1:   62| [45] [渡瀬は律儀に、彼女に付き合った。市街地を適当に走るという、計画性のないランニングだが。]
  2:   67| [45] [それから３ヵ月後の日曜日……。]
  3:  118| [45] [渡瀬と亘は、その日も２人で、体力づくりに励んでいた。]
  4:  187| [45] [そして家から３ｋｍほど離れた地点で――]
  5:  229| [47] [亘]
  6:  232| [45] [「わ、わたせ、まってぇ～……」]
  7:  237| [45] [亘が音を上げた。]
  8:  245| [47] [渡瀬]
  9:  248| [45] [「なんだもう休憩か？　だらしねーな」]
 10:  253| [45] [渡瀬が足を止めると、彼女は息も絶え絶えに呟く。]
 11:  297| [47] [亘]
 12:  300| [45] [「ず、ずるい……なんで同じ顔して、同じトレーニングしてんのに、早くもこんな体力差が……」]
 13:  308| [47] [渡瀬]
 14:  311| [45] [「さーな。男女の差か、あるいは卵が違うからか」]
 15:  337| [47] [亘]
 16:  340| [45] [「な、納得いかない……」]
 17:  348| [47] [渡瀬]
 18:  351| [45] [「まぁいいさ、俺もちょっとノド渇いた。軽く休憩しようぜ」]
 19:  377| [47] [亘]
 20:  380| [45] [「うぇ～い」]
 21:  443| [45] [渡瀬たちは近くの自販機に歩み寄り、スポーツドリンクを買った。]
 22:  448| [45] [それを飲みながら、一息ついていると――]
 23:  453| [45] [どこかから、妙な声が聞こえてきた。]
 24:  474| [47] [スーツの男]
 25:  477| [45] [「――市民の皆様、お騒がせ致します！」]
 26:  482| [47] [スーツの男]
 27:  485| [45] [「我々は市民団体、『反ＢＣ連盟』です！」]
 28:  493| [47] [渡瀬]
 29:  496| [45] [「ん？」]
 30:  522| [47] [亘]
 31:  525| [45] [「なんだろ？」]
 32:  540| [45] [見れば近くの建物の前に、スーツ姿の男たちが立っている。]
 33:  545| [45] [その中の１人が拡声器を持って、何事か演説していた。]
 34:  550| [47] [スーツの男]
 35:  553| [45] [「――我々は超心研の運営に、異を唱える者であります！」]
 36:  558| [47] [スーツの男]
 37:  561| [45] [「ＢＣなどという、得体の知れない技術の研究のために、我々の血税が注ぎ込まれているという状況――」]
 38:  566| [47] [スーツの男]
 39:  569| [45] [「この事についての議論も充分になされないまま、看過してもよいものでしょうか！？」]
 40:  574| [45] [男は道行く人々に――というよりは、近くにある大きな建物に向けて叫んでいるようだった。]
 41:  579| [45] [その建物は、２年ほど前に設立された、大きな研究施設。]
 42:  589| [45] [『鹿鳴市立超心理学研究所』、通称『超心研』だった。]
 43:  594| [45] [それを糾弾するような演説を、建物の目の前で行っているらしい。]
 44:  602| [47] [渡瀬]
 45:  605| [45] [「……なんなんだありゃ？　なにわめいてんだ？」]
 46:  633| [47] [亘]
 47:  636| [45] [「あぁ……近頃街を騒がせてる、ＢＣ排斥派の市民団体だね」]
 48:  644| [47] [渡瀬]
 49:  647| [45] [「ＢＣ？」]
 50:  673| [47] [亘]
 51:  676| [45] [「知らないの？　どえらい話題になってんのに」]
 52:  702| [47] [亘]
 53:  705| [45] [「ちょっと前の話だけどさ。テレパシーとかの超能力が実在する事が、科学的に証明されたんだよ」]
 54:  731| [47] [亘]
 55:  734| [45] [「遠くの人に言葉を届ける力とか、人の心を読む力とか。そういう能力を総称して『ＢＣ』っていうらしいんだ」]
 56:  742| [47] [渡瀬]
 57:  745| [45] [「あぁ、そう言えば聞いた事があるような……」]
 58:  750| [45] [渡瀬はテレビは見ないし、インターネットもあまりやらない。]
 59:  755| [45] [興味のない分野の知識は、うっすらとしか知らないのだ。]
 60:  763| [47] [渡瀬]
 61:  766| [45] [「で、そのＢＣとやらが実証されたって、具体的にどんな風に？」]
 62:  792| [47] [亘]
 63:  795| [45] [「えっと……まず２年前にフランスの科学者が『超能力が使える人』を遺伝子的に判別する方法を、偶然発見したらしくてさ」]
 64:  821| [47] [亘]
 65:  824| [45] [「まぁその学説自体も、しばらくはトンデモ扱いされてたんだけど――」]
 66:  850| [47] [亘]
 67:  853| [45] [「今年の頭に、そこの超心研の研究チームが、その説を裏付ける大発見をしてね」]
 68:  861| [47] [渡瀬]
 69:  864| [45] [「大発見って？」]
 70:  872| [47] [亘]
 71:  875| [45] [「人の心の声を伝達する素粒子、『ＢＣ粒子』ってのを発見したんだって」]
 72:  883| [47] [渡瀬]
 73:  886| [45] [「はぁ……心の声ねぇ……？」]
 74:  912| [47] [亘]
 75:  915| [45] [「それで超心研は大盛り上がりよ。これは科学の世界がひっくり返るような発見だ、この研究に力を入れていこうって」]
 76:  941| [47] [亘]
 77:  944| [45] [「鹿鳴市議会もそれを後押しして、市の予算をバカスカ注ぎ込む事にしたんだとさ」]
 78:  952| [47] [渡瀬]
 79:  955| [45] [「ふーん……」]
 80:  960| [45] [渡瀬は気のない返事をした。]
 81:  965| [45] [超能力などというよくわからないものの研究に、大人たちが真剣になっているのが、なんだか滑稽に思える。]
 82:  970| [47] [渡瀬]
 83:  971| [45] [（こんな立派な研究所で、そんな事をやってるのか……）]
 84:  976| [45] [そう思いながら、超心研の方に目をやると――]
 85:  981| [45] [建物の中に、人影が見えた。]
 86: 1180| [45] [３階の窓の向こうに、女の人が立っている。]
 87: 1185| [47] [渡瀬]
 88: 1186| [45] [（金髪……外国人か？）]
 89: 1191| [45] [彼女は暗い目で、演説をしている市民団体を見下ろしていた。]
 90: 1196| [45] [そして市民団体は、彼女にも届きそうな声で街頭演説を続けている。]
 91: 1240| [47] [スーツの男]
 92: 1243| [45] [「――超心研は研究のため、この春より国内外からＢＣの使い手『コミュニケーター』を集めているとの事ですが――」]
 93: 1248| [47] [スーツの男]
 94: 1251| [45] [「その誘致のための予算は、どこから出ているのでしょうか！？」]
 95: 1256| [47] [スーツの男]
 96: 1259| [45] [「そもそもこのような研究を、我が鹿鳴市で行う必要はあるのでしょうか！？」]
 97: 1264| [47] [スーツの男]
 98: 1267| [45] [「我々は言いたい！　鹿鳴市にＢＣの研究所はいらないと！」]
 99: 1272| [47] [スーツの男]
100: 1275| [45] [「議論なきまま、コミュニケーターが市民の一員となる事を、我々は認める事ができません！」]
101: 1358| [45] [そのヒステリックなわめきを聞き、渡瀬は呆れて言う。]
102: 1366| [47] [渡瀬]
103: 1369| [45] [「……しかしなんであの市民団体とやらは、あんな怒ってんだ？」]
104: 1377| [47] [渡瀬]
105: 1380| [45] [「超心研がなんの研究しようが、超能力者集めようが、関係ないじゃんか」]
106: 1406| [47] [亘]
107: 1409| [45] [「うーん、それは……なんだかんだ理由つけてるけど……」]
108: 1435| [47] [亘]
109: 1438| [45] [「要はあの人たち、怖いんだと思うよ」]
110: 1446| [47] [渡瀬]
111: 1449| [45] [「怖い？　何が？」]
112: 1475| [47] [亘]
113: 1478| [45] [「ＢＣを使える人……コミュニケーターがこの街に集まってくる事が」]
114: 1486| [47] [亘]
115: 1489| [45] [「自分にとって『よくわからない研究』が、この街で行われる事がさ」]
116: 1497| [47] [渡瀬]
117: 1500| [45] [「なんでそんなに？」]
118: 1526| [47] [亘]
119: 1529| [45] [「いや、実は他所の国ではこのＢＣ絡みの事件が、ちょこちょこ起こってるんだって」]
120: 1537| [47] [亘]
121: 1540| [45] [「イギリスだかフランスだかでは、コミュニケーターの住んでいた家が焼き討ちにあったり……ひどい事件が起きたりしてんだよ」]
122: 1548| [47] [渡瀬]
123: 1551| [45] [「……マジか」]
124: 1559| [47] [渡瀬]
125: 1562| [45] [「超能力者を恐れた一般人が、超能力者を襲うなんて……まるでどっかのＳＦ小説みたいだな」]
126: 1588| [47] [亘]
127: 1591| [45] [「２１世紀にもなってねぇ……そういうのが実際起こるなんて、信じられないよ」]
128: 1596| [45] [しかし、良く考えてみれば――]
129: 1601| [45] [確かに『心を読める超能力者』が、恐れられるのはわかる。]
130: 1606| [45] [信心深い国ならば、その超能力者は悪魔の手先のように思われるかもしれない。]
131: 1614| [47] [渡瀬]
132: 1617| [45] [「……怖い、か……」]
133: 1622| [45] [しかも鹿鳴市と超心研は、いま研究のために、そのコミュニケーターとやらを集めているらしい。]
134: 1627| [45] [渡瀬を含む市民に、充分な説明もないまま――。]
135: 1635| [47] [渡瀬]
136: 1638| [45] [「……ま、なんかわからんでもないな。あの市民団体の言う事も」]
137: 1699| [47] [亘]
138: 1702| [45] [「えっ！？　なにそれ本気？」]
139: 1710| [47] [渡瀬]
140: 1713| [45] [「だってそうだろ？　街のあちこちに心読める奴なんかがいたら、不気味じゃないか」]
141: 1721| [47] [渡瀬]
142: 1724| [45] [「プライバシーもクソもなくなるし、おちおちスケベな妄想もできない」]
143: 1750| [47] [亘]
144: 1753| [45] [「するの？　スケベな妄想」]
145: 1761| [47] [渡瀬]
146: 1764| [45] [「いやしないけど。まぁ要するに、『なにもうちの街でそんなもん研究しなくてもいいだろ』って話だよ」]
147: 1772| [47] [渡瀬]
148: 1775| [45] [「超能力者が実在しようがしまいが別に構わんが、鹿鳴市には集まらんで、どっかヨソの街に行ってくれってこった」]
149: 1780| [45] [渡瀬が言うと、亘は不機嫌そうな表情を浮かべた。]
150: 1806| [47] [亘]
151: 1809| [45] [「……案外あんたも、心狭いねぇ？」]
152: 1817| [47] [亘]
153: 1820| [45] [「コミュニケーターって言ったって、基本的には私たちと同じ、普通の人間だよ？　だったら別に集まってきたっていいじゃん」]
154: 1846| [47] [亘]
155: 1849| [45] [「鹿鳴市はのどかで平和な街だし、よその国とかで迫害されたコミュニケーターも、ここに集まってくれば――」]
156: 1857| [47] [渡瀬]
157: 1860| [45] [「いや、だからこそだよ」]
158: 1868| [47] [渡瀬]
159: 1871| [45] [「平和な街だからこそ、トラブルの種になるような人たちが来るのは困るって事だ」]
160: 1897| [47] [亘]
161: 1900| [45] [「もう、渡瀬はあれこれ考えすぎなんだよ！　このビビリ！」]
162: 1914| [45] [亘はそう言って、プイと横を向いてしまった。]
163: 1919| [47] [渡瀬]
164: 1920| [45] [（あーあ、スネちまったよ）]
165: 1928| [47] [渡瀬]
166: 1931| [45] [「……なんだよ、なんでそんなにコミュニケーターだかの肩持つんだ？」]
167: 1957| [47] [亘]
168: 1960| [45] [「だって可哀想でしょ。コミュニケーターだって、好きでコミュニケーターとして生まれたわけじゃないんだよ？」]
169: 1968| [47] [亘]
170: 1971| [45] [「なのに『普通の人と違う』ってだけでいじめられて……護ってあげたくなるじゃん」]
171: 1980| [47] [渡瀬]
172: 1983| [45] [「また亘の『人のためになんかしてやりたい病』が出たか。そういうのをナイチンゲール・コンプレックスっていうんだ」]
173: 2009| [47] [亘]
174: 2012| [45] [「……なにさ、悪い？　それが私の性分なんだよ」]
175: 2020| [47] [亘]
176: 2023| [45] [「レスキュー隊になりたいってのも、要はそれで――」]
177: 2031| [47] [渡瀬]
178: 2034| [45] [「別に悪いことじゃねーけど、だからってなんでレスキュー隊になりたいんだ？」]
179: 2042| [47] [渡瀬]
180: 2045| [45] [「まだしも看護師とかの方が向いてるんじゃないか？」]
181: 2050| [45] [姉弟の気安さから、渡瀬はズケズケと言う。]
182: 2055| [45] [こういう会話はいつもの事だし、亘も傷ついた風でもなく答える。]
183: 2081| [47] [亘]
184: 2084| [45] [「いや、自分でも短絡的だとは思うけど……私はさ、なりたいものがあるんだよ」]
185: 2092| [47] [渡瀬]
186: 2095| [45] [「わかってるよ、レスキュー隊だろ？」]
187: 2121| [47] [亘]
188: 2124| [45] [「いや、というかさ……実は私、『正義のヒーロー』になりたいんだよね」]
189: 2132| [47] [渡瀬]
190: 2135| [45] [「せ、正義のヒーロー？」]
191: 2140| [45] [突然の告白に、渡瀬は目を丸くした。]
192: 2148| [47] [渡瀬]
193: 2151| [45] [「正義のヒーローって……レスキュー隊がそうなのか？」]
194: 2177| [47] [亘]
195: 2180| [45] [「えーと、さっきの市民団体の話じゃないけどさ……」]
196: 2188| [47] [亘]
197: 2191| [45] [「世の中、色々な正義があるよね？」]
198: 2199| [47] [渡瀬]
199: 2202| [45] [「急になんの話だ？」]
200: 2228| [47] [亘]
201: 2231| [45] [「いいから聞いてよ。まずあの市民団体の人たちは、『ＢＣ排斥運動』を自分の正義だと思ってるよね？」]
202: 2239| [47] [渡瀬]
203: 2242| [45] [「あぁ」]
204: 2268| [47] [亘]
205: 2271| [45] [「一方超心研の人たちはたぶん、『ＢＣの研究をする事が正しいこと』だって信じてる」]
206: 2279| [47] [亘]
207: 2282| [45] [「コミュニケーターにも私たちにも、それぞれ個人の正義がある」]
208: 2290| [47] [亘]
209: 2293| [45] [「それぞれの正義について考えたり、個々の人に感情移入しちゃうと、何が正義だか悪だかわかんなくなっちゃうんだよ」]
210: 2301| [47] [渡瀬]
211: 2304| [45] [「ま……お前はすぐ感情移入するからなぁ。映画でもなんでも、見ればすぐ泣くし」]
212: 2330| [47] [亘]
213: 2333| [45] [「そーなんだよ。でもさ、諸々の正義や個人の価値観を飛び越えて――」]
214: 2359| [47] [亘]
215: 2362| [45] [「『人命を救う』って行為は、紛れもなく『正しいこと』でしょ？」]
216: 2370| [47] [渡瀬]
217: 2373| [45] [「あぁ、多分な」]
218: 2381| [47] [亘]
219: 2384| [45] [「命を救うって事は、その人の未来を護るって事だよ」]
220: 2392| [47] [亘]
221: 2395| [45] [「それってすごく尊いことなんじゃないかなぁって思って……だから、レスキュー隊になりたいって思ったんだ」]
222: 2421| [47] [亘]
223: 2424| [45] [「まぁ思いつきだし、別に命を救う系の仕事なら、消防士でも看護師でもいいんだけど……」]
224: 2429| [45] [照れたように言う亘を見て、渡瀬はほうと息をついた。]
225: 2437| [47] [渡瀬]
226: 2440| [45] [「なるほど……うん、お前の考えは理解できたよ」]
227: 2466| [47] [亘]
228: 2469| [45] [「わかってもらえた？」]
229: 2477| [47] [渡瀬]
230: 2480| [45] [「ああ、感服もした。でも、１点気になる事が――」]
231: 2488| [47] [渡瀬]
232: 2491| [45] [「なんでよりにもよって、レスキュー隊なんだ？」]
233: 2499| [47] [渡瀬]
234: 2502| [45] [「言ったらなんだけどお前、体力あんまないし、運動神経も切れてんじゃん」]
235: 2528| [47] [亘]
236: 2531| [45] [「う……」]
237: 2539| [47] [渡瀬]
238: 2542| [45] [「そんなお前がレスキュー隊なんかになったら、人を助ける前に自分の命落としちまうぞ」]
239: 2568| [47] [亘]
240: 2571| [45] [「そ、そうかもしれないけど……力不足の部分は、やる気と根性でカバーすんだよ」]
241: 2597| [47] [亘]
242: 2600| [45] [「ボンクラな私でも、身を削って頑張ればなんとかなるっしょ」]
243: 2608| [47] [渡瀬]
244: 2611| [45] [「身を削るって、お前な……」]
245: 2619| [47] [亘]
246: 2622| [45] [「大切なのは気持ちだよ。『人の命を護るためなら、自分の命も惜しくない！』っていう気持ち――」]
247: 2649| [47] [渡瀬]
248: 2652| [45] [「おい待て、亘」]
249: 2657| [45] [亘の言葉を、渡瀬は強く遮った。]
250: 2665| [47] [渡瀬]
251: 2668| [45] [「自分の命も惜しくないなんて、バカなこと言うな」]
252: 2676| [47] [渡瀬]
253: 2679| [45] [「お前がそんなこと言ったら、親父とお袋が泣くぞ」]
254: 2740| [47] [亘]
255: 2743| [45] [「……っ」]
