  0:  142| [55] [√After Chapter 6]
  1:  160| [47] [Watase]
  2:  163| [45] ["Wha...!?"]
  3:  168| [45] [A boy garbed in a school uniform was lying there.]
  4:  173| [45] [His body was collapsed in a vast pool of blood.]
  5:  178| [47] [Watase]
  6:  179| [45] [(Isn't that... Natsuhiko Tenkawa!?)]
  7:  184| [45] [His name and face matched up perfectly with Watase's memory of him.]
  8:  192| [47] [Watase]
  9:  195| [45] ["Hey! Are you okay!?"]
 10:  200| [45] [But Natsuhiko didn't respond to his calls.]
 11:  205| [45] [Watase took off his gloves and pressed his index finger against Natsuhiko's carotid artery.]
 12:  210| [47] [Watase]
 13:  211| [45] [(...!!)]
 14:  216| [45] [He couldn't feel a pulse, and Natsuhiko's body was growing colder and colder.]
 15:  224| [47] [Watase]
 16:  227| [45] ["I-is he dead...!?"]
 17:  232| [45] [Watase took off his Vital Checker and strapped it on Natsuhiko's arm to find out.]
 18:  329| [45] [--All red. Vital signs flat.]
 19:  334| [45] [Watase looked over Natsuhiko's body to find there were several small holes and wounds here and there behind his uniform.]
 20:  358| [47] [Watase]
 21:  361| [45] ["... Gunshot wounds!?"]
 22:  366| [45] [The sight of them was no longer as shocking to Watase after having seen so many of them before.]
 23:  371| [45] [The blood oozing from those wounds hadn't dried yet.]
 24:  376| [47] [Watase]
 25:  377| [45] [(Does that mean he only just died right before I got here!?)]
 26:  385| [47] [Watase]
 27:  388| [45] ["Dammit, don't die on me! I won't let you die, goddammit!"]
 28:  436| [45] [Watase laid Natsuhiko flat on the floor and began CPR.]
 29:  441| [47] [Watase]
 30:  442| [45] [(Just do it like Tachibana and Moribe did--!)]
 31:  447| [45] [15 compressions. 2 rescue breaths.]
 32:  455| [47] [Watase]
 33:  458| [45] ["Please! Stay with me! I'm begging you!"]
 34:  463| [45] [Watase withstood his headaches and convulsions in his desperate attempt at CPR.]
 35:  468| [45] [15 compressions. 2 rescue breaths.]
 36:  473| [45] [15 compressions. 2 rescue breaths. 15 compressions. 2 rescue breaths.]
 37:  478| [45] [15 compressions. 2 rescue breaths. 15 compressions. 2 rescue breaths. 15 compressions.%N2 rescue breaths.]
 38:  483| [45] [However--]
 39:  491| [47] [Watase]
 40:  494| [45] ["..."]
 41:  499| [45] [No matter how many times he tried, the boy's heart remained still.]
 42:  504| [45] [He was dead. He'd passed away all alone in this vast, empty hall--]
 43:  512| [47] [Watase]
 44:  515| [45] ["... Dammit..."]
 45:  520| [45] [Watase hung his head feebly as he stayed where he was.]
 46:  525| [45] [The boy had undoubtedly been alive just a few minutes ago.]
 47:  530| [45] [He'd probably been struggling to hold on to life as he awaited rescue.]
 48:  535| [45] [But-- Watase hadn't made it in time.]
 49:  540| [45] [He'd failed to save a life he'd been charged with saving.]
 50:  548| [47] [Watase]
 51:  551| [45] ["U-uwaa..."]
 52:  559| [47] [Watase]
 53:  562| [45] ["... UWAAAAAAAAAAAAAAAH!"]
 54:  570| [47] [Watase]
 55:  573| [45] ["Why!? Why, goddammit!?"]
 56:  581| [47] [Watase]
 57:  584| [45] ["I finally found you after coming all this way! You can't die on me!!"]
 58:  595| [45] [Watase's shouts echoed through the hall.]
 59:  603| [47] [Watase]
 60:  606| [45] ["Dammit... I...!"]
 61:  614| [47] [Watase]
 62:  617| [45] ["I failed again...!"]
 63:  622| [45] [Just then, Watase spotted something out of the corner of his eye.]
 64:  627| [47] [Watase]
 65:  628| [45] [(...!?)]
 66:  633| [45] [Something with a black luster was lying next to Natsuhiko.]
 67:  730| [45] [There was no doubt about it: it was a pistol.]
 68:  735| [45] [It was probably the weapon that had robbed the boy of his life.]
 69:  740| [45] [Much like how Ena had been shot through the head with one of these.]
 70:  745| [45] [He didn't know who'd killed them.]
 71:  750| [45] [But Watase felt like that pistol was the cause of all of it.]
 72:  758| [47] [Watase]
 73:  761| [45] ["Damn this piece of shit... If it weren't for this damn thing!"]
 74:  766| [45] [Watase picked it up and was about to throw it to the ground-- but then...]
