  0:   43| [55] [√After Chapter 6]
  1:   47| [45] [He then used his right hand to grab her wrist.]
  2:   52| [45] [Salyu still tried to move to the axe in spite of that--]
  3:   60| [47] [Watase]
  4:   63| [45] ["--Not on my watch!"]
  5:   68| [45] [Watase filled his right arm with as much strength as he could muster and flung Salyu in the opposite direction of the axe.]
  6:   73| [45] [He found that her body was lighter than he'd imagined--]
  7:  103| [45] [He then heard an extremely unpleasant sound reverberate through the darkness.]
  8:  108| [45] [An unnatural silence then filled his surroundings.]
  9:  235| [47] [Watase]
 10:  238| [45] ["...?"]
 11:  243| [45] [Watase had no clue what'd just happened.]
 12:  248| [45] [However, he felt goosebumps spread over his body and cold sweat travel down his spine.]
 13:  253| [45] [His vision soon started to slowly fade back in like a focusing camera--]
 14:  306| [47] [Watase]
 15:  309| [45] ["!!!???"]
 16:  314| [45] [Watase was rendered speechless by the sight that greeted him.]
 17:  319| [45] [He found himself face to face with Salyu--]
 18:  324| [45] [Or rather, Salyu after she'd hit her head hard on one of the six giant pillar-like devices that surrounded the hall.]
 19:  329| [45] [Blood was spreading by the second at the base of the device.]
 20:  334| [45] [Salyu's body convulsed over and over again-- then soon stopped.]
 21:  382| [47] [Watase]
 22:  385| [45] ["N... no..."]
 23:  390| [45] [Watase staggered on over to Salyu.]
 24:  395| [45] [But all of her muscles had gone limp, and her now dull eyes were staring off into space.]
 25:  403| [47] [Watase]
 26:  406| [45] ["Are... are you kidding me...?"]
 27:  414| [47] [Watase]
 28:  417| [45] ["I... killed her...?"]
 29:  422| [45] [Watase knew better than anyone else that there was no other possibility.]
 30:  427| [45] [The sensation of when he'd flung Salyu away still lingered in his right hand.]
 31:  435| [47] [Watase]
 32:  438| [45] ["Uu... uu..."]
 33:  446| [47] [Watase]
 34:  449| [45] ["U-uw...AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGH!"]
 35:  454| [45] [With nothing to vent them out on, Watase's feelings emerged in the form of a scream.]
 36:  459| [45] [He'd never meant for this to happen.]
 37:  464| [45] [But he had more or less been filled with a killing rage just before he'd flung Salyu.]
 38:  472| [47] [Watase]
 39:  475| [45] ["What... have I done...!?"]
 40:  483| [47] [Watase]
 41:  486| [45] ["How could I... a rescue worker... have killed someone...!?"]
 42:  491| [45] [He'd crossed a line from which he could never come back.]
 43:  496| [45] [His guilt overwhelmed him, and tears began streaming down his face.]
 44:  504| [47] [Watase]
 45:  507| [45] ["*sob*... Salyu..."]
 46:  515| [47] [Watase]
 47:  518| [45] ["I'm sorry... I'm sorry, I'm sorry, I'm sorry, I'm sorry...!"]
 48:  523| [45] [But no amount of apologizing he did would ever bring Salyu back to life.]
 49:  619| [45] [Watase staggered out of Area N in a stupor.]
 50:  624| [45] [He then started madly muttering to himself.]
 51:  632| [47] [Watase]
