  0:  102| [55] [√After Chapter2]
  1:  109| [47] [渡瀬]
  2:  112| [45] [「な、何の音だ！？」]
  3:  145| [47] [風見]
  4:  148| [45] [「あぁ、私の腕時計のアラームです。ＡＤの投与時間に鳴るようセットしておきました」]
  5:  153| [45] [渡瀬ははっとして腕時計を見た。]
  6:  158| [45] [デジタルの表示板は、『１０：１６』を示している。]
  7:  166| [47] [風見]
  8:  169| [45] [「前回のＡＤが切れていない方もいるかと思いますが、安全を期し、一緒に投与することにしましょう」]
  9:  195| [47] [宇喜多]
 10:  198| [45] [「そ、そうか……議論は置いておいて、とりあえずみんな投与しよう」]
 11:  224| [47] [洵]
 12:  227| [45] [「うん……命がかかってるもんね」]
 13:  310| [45] [黙り込んでいた洵が、我に返ったように、恵那・宇喜多・ユウリにＡＤを配る。]
 14:  315| [45] [恵那と宇喜多は、すぐにそれを打った。]
 15:  348| [47] [恵那]
 16:  351| [45] [「……これでまた１時間は大丈夫なのよね」]
 17:  378| [47] [宇喜多]
 18:  381| [45] [「……あぁ」]
 19:  386| [45] [恵那と宇喜多がぽつりと呟く。]
 20:  462| [45] [だが――なぜかユウリだけは、まだＡＤを投与していなかった。]
 21:  489| [47] [風見]
 22:  492| [45] [「ユウリさん、どうしたのですか？」]
 23:  518| [47] [ユウリ]
 24:  521| [45] [「いや……わたし、やっぱり打ちたくない……」]
 25:  547| [47] [風見]
 26:  550| [45] [「またそんな事をおっしゃっているのですか！？」]
 27:  558| [47] [風見]
 28:  561| [45] [「わかりました、ならば私が打ちましょう」]
 29:  587| [47] [ユウリ]
 30:  590| [45] [「い、いやです……」]
 31:  616| [47] [風見]
 32:  619| [45] [「いけません！」]
 33:  652| [47] [ユウリ]
 34:  655| [45] [「あぁ……」]
 35:  660| [45] [風見はまたも問答無用で、ユウリにＡＤを打った。]
 36:  718| [45] [――だが、ＡＤは残り２本しかない。]
 37:  723| [45] [渡瀬と風見、そして洵は、互いに顔を見合わせた。]
 38:  749| [47] [洵]
 39:  752| [45] [「さっそく足りなくなっちゃったね……！」]
 40:  760| [47] [渡瀬]
 41:  763| [45] [「……どうする？」]
 42:  790| [47] [風見]
 43:  793| [45] [「どうするって？　決まっています」]
 44:  801| [47] [風見]
 45:  804| [45] [「隊長と守部が投与して下さい」]
 46:  830| [47] [渡瀬]
 47:  833| [45] [「何、なんでオレたちが！？」]
 48:  841| [47] [風見]
 49:  844| [45] [「隊長のお身体は、まだ万全ではないでしょう。無理をさせるわけにはいきません」]
 50:  870| [47] [風見]
 51:  873| [45] [「そして守部は我々の中で、一番体が小さいです。放射線への耐性も低いと考えるべきでしょう」]
 52:  899| [47] [洵]
