  0:   49| [55] [√Current Chapter3]
  1:   66| [45] [恵那を気絶させた渡瀬は、そのままラボの中心部に向けて歩き出した。]
  2:   71| [45] [どうやらたった１人で、原子炉エリアで起きている火災を止めるつもりらしい。]
  3:   76| [45] [そんな彼を、夏彦は必死に引き止めようとした。]
  4:   84| [47] [夏彦]
  5:   87| [45] [《やめろバカ、死ぬぞ！》]
  6:   95| [47] [夏彦]
  7:   98| [45] [《燃える原子炉の火を、たった１人で消せるわけがないだろう！》]
  8:  106| [47] [夏彦]
  9:  109| [45] [《仮に消火できたとしても、被曝は免れないんだぞ！》]
 10:  117| [47] [渡瀬]
 11:  120| [45] [「誰かがやらなきゃだめなんだよ」]
 12:  128| [47] [夏彦]
 13:  131| [45] [《そんなに死にたいのか！？　皆を助けるためなら、死んじまってもいいってのか！》]
 14:  139| [47] [渡瀬]
 15:  142| [45] [「別にオレは、死にたいわけじゃない。ただ皆を助けたいだけなんだよ」]
 16:  150| [47] [渡瀬]
 17:  153| [45] [「……オレは人を助ける事だけを、ずっと考えてきたんだ」]
 18:  161| [47] [渡瀬]
 19:  164| [45] [「お前に『ユウリを助けろ』って言われた、あの時からな」]
 20:  169| [45] [渡瀬が独り言のように呟く。夏彦はそれを黙って聞いた。]
 21:  177| [47] [渡瀬]
 22:  180| [45] [「だからオレは……その役目を全うしたいだけなんだよ」]
 23:  188| [47] [渡瀬]
 24:  191| [45] [「火や爆風や煙に追われて、無力な自分に腹を立てながらよ」]
 25:  199| [47] [渡瀬]
 26:  202| [45] [「ＡＤが足りなくなりゃ、ガスの中にも汚染区域にも飛び込んで」]
 27:  210| [47] [渡瀬]
 28:  213| [45] [「誰かが穴に落っこちたら、手ぇ掴んで引っ張り上げて」]
 29:  221| [47] [渡瀬]
 30:  224| [45] [「ユウリが瓦礫に潰されそうになれば、身を呈して庇って……」]
 31:  232| [47] [渡瀬]
 32:  235| [45] [「そうして皆を助ける事だけを、ずっと考えてきたんだよ」]
 33:  240| [45] [渡瀬がそう言った時――]
 34:  415| [45] [再び睡魔が、夏彦の意識を侵食し始める。]
 35:  420| [47] [夏彦]
 36:  421| [45] [（くっ……）]
 37:  426| [45] [今度はきっと耐えられない。]
 38:  431| [45] [恐らく夏彦は、もうすぐ消えるのだろう。]
 39:  436| [45] [霞みゆく聴覚に、渡瀬の声が響く。]
 40:  444| [47] [渡瀬]
 41:  447| [45] [「……オレはオレのせいで、誰かが死ぬのは嫌なんだ」]
 42:  455| [47] [渡瀬]
 43:  458| [45] [「オレが行動しなかったせいで、全員が命を落とすのも同じ事だ」]
 44:  466| [47] [渡瀬]
 45:  469| [45] [「原子炉の火を消す事で、皆が救われるならそうしよう」]
 46:  477| [47] [渡瀬]
 47:  480| [45] [「その結果、たとえ……」]
 48:  485| [45] [――命を失う事になろうとも。]
 49:  490| [45] [渡瀬の無言の決意が、夏彦の意識にも伝わってきた。]
 50:  495| [45] [そこに『嘘』や『見栄』や『強がり』はなく。]
 51:  500| [45] [あるのは純粋に『みんなを救いたい』という想いだけで。]
 52:  508| [47] [夏彦]
 53:  511| [45] [《……渡瀬、お前……》]
 54:  516| [45] [夏彦がそう言った時、ついにタイムリミットが――……]
 55:  521| [47] [夏彦]
 56:  522| [45] [（ああ、くそ……）]
 57:  527| [45] [夏彦は毒づいた。毒づかずにはいられなかった。]
 58:  532| [47] [夏彦]
 59:  533| [45] [（……お前が初めから、そういう奴だったら良かったのに）]
 60:  538| [47] [夏彦]
 61:  539| [45] [（お前が正義のレスキュー隊員だったなら、ぼくもましろもサリュも、あんな目に遭わなくてすんだのに……！）]
 62:  686| [47] [渡瀬]
 63:  689| [45] [「……それが俺だ。笠鷺渡瀬だ」]
 64:  697| [47] [渡瀬]
 65:  700| [45] [「この名を耳に焼き付けろ。脳に刻み込め。お前が死ぬその瞬間まで、何度でも思い返せ！！」]
 66:  850| [47] [夏彦]
 67:  851| [45] [（――どうしてなんだよ、渡瀬……？）]
 68:  856| [47] [夏彦]
 69:  857| [45] [（どうしてお前は、テロリストだったんだ？）]
 70:  862| [45] [夏彦は、ただその事だけが悔しかった。]
 71: 1030| [45] [遠くで渡瀬の声が響く。]
 72: 1038| [47] [渡瀬]
 73: 1041| [45] [「――わかったろ？　わかったらもう黙っていてくれ」]
 74: 1049| [47] [渡瀬]
 75: 1052| [45] [「……これ以上話すと、決心が鈍りそうだ」]
 76: 1057| [47] [夏彦]
 77: 1058| [45] [（……オーケー、わかったよ）]
 78: 1063| [45] [夏彦は心静かに想った。]
 79: 1068| [47] [夏彦]
 80: 1069| [45] [（あとはあんたに任せるよ）]
 81: 1074| [47] [夏彦]
 82: 1075| [45] [（サリュの事も、あの子の事も、先生の事も、全部あんたに任せるからさ……）]
 83: 1080| [47] [夏彦]
 84: 1081| [45] [（……だから、ほんと頼んだぜ）]
 85: 1086| [47] [夏彦]
 86: 1087| [45] [（なぁ、渡瀬……）]
