  0:  172| [55] [√Before Chapter7]
  1:  180| [47] [夏彦]
  2:  183| [45] [「なッ！？」]
  3:  206| [45] [夏彦は足を掬われ、その場に倒れた。]
  4:  219| [45] [手首のところで、びきっと何かが壊れる音がした。]
  5:  224| [45] [だが音は１つに留まらない。]
  6:  390| [47] [ましろ]
  7:  393| [45] [「きゃあッ！」]
  8:  398| [45] [傍らのましろが声を上げる。]
  9:  563| [47] [サリュ]
 10:  566| [45] [「くッ……！」]
 11:  571| [45] [床から振動が伝わってくるのを感じた。]
 12:  743| [47] [警備員２]
 13:  746| [45] [「な……なんだ、今の音は」]
 14:  751| [45] [警備員が呆然と呟く。]
 15:  756| [45] [だが夏彦たちにはわかっていた。]
 16:  800| [47] [サリュ]
 17:  803| [45] [「……爆弾、それも複数……！？」]
 18:  811| [47] [ましろ]
 19:  814| [45] [「な、夏彦、これって……！」]
 20:  819| [45] [その言葉に、夏彦は歯噛みする。]
 21:  827| [47] [夏彦]
 22:  830| [45] [「あぁ、わかってる……」]
 23:  835| [45] [痛みに耐えて立ち上がり、言葉を搾り出す。]
 24:  843| [47] [夏彦]
 25:  846| [45] [「……ぼくらは、間に合わなかったんだ」]
 26:  851| [45] [だがその言葉は、けたたましく響く警報にかき消された。]
 27:  867| [47] [自動放送]
 28:  870| [45] [「――ただいま地下１階第１エリアで、激しい振動を感知しました」]
 29:  875| [47] [自動放送]
 30:  878| [45] [「――ただいま地下２階第３エリアで、激しい振動を感知しました」]
 31:  883| [47] [自動放送]
 32:  886| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 33:  891| [47] [自動放送]
 34:  894| [45] [「――ただいま地下２階第２エリアで、激しい振動を感知しました」]
 35:  899| [45] [自動化されていると思しき防災システムが、狂ったように警告放送を流す。]
 36:  904| [45] [機械的で無機質な声。とりとめもなく、断片的な情報。]
 37:  909| [45] [しかしそれでもこの施設に、未曾有の危機が訪れた事だけは、はっきりとわかる。]
 38:  914| [47] [夏彦]
 39:  915| [45] [（――９年前と同じだ！）]
 40:  920| [47] [夏彦]
 41:  921| [45] [（あの時も、こんな風に警報が鳴って――！）]
 42:  926| [45] [夏彦がそう思った時、また記憶が蘇った。]
 43: 1036| [47] [自動放送]
 44: 1039| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 45: 1044| [47] [自動放送]
 46: 1047| [45] [「――ただいま地下２階第３エリアで、火災が発生しました」]
 47: 1052| [47] [自動放送]
 48: 1055| [45] [「――ただいま地下１階第５エリアで、火災が発生しました」]
 49: 1060| [45] [鉄扉の前にたたずむ夏彦と悠里は、その警報を聞いたのだ。]
 50: 1068| [47] [夏彦]
 51: 1071| [45] [「な、なんだ！？　なにがおこったんだ！？」]
 52: 1134| [47] [悠里]
 53: 1137| [45] [「かさい……火事だよ！　このしたで火事がおきてる！」]
 54: 1145| [47] [夏彦]
 55: 1148| [45] [「火事！？」]
 56: 1153| [45] [夏彦がそう叫んだとき、自動放送が続けて言った。]
 57: 1158| [47] [自動放送]
 58: 1161| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 59: 1166| [47] [自動放送]
 60: 1169| [45] [「職員の皆様は、落ち着いて地上へ避難して下さい」]
 61: 1271| [47] [夏彦]
 62: 1272| [45] [（――そういう事か！）]
 63: 1277| [45] [あの時は火災警報のみだったが、状況は酷似している。]
 64: 1282| [45] [夏彦が気づいた時、９年前と同じ放送が聞こえた。]
 65: 1287| [47] [自動放送]
 66: 1290| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 67: 1295| [47] [自動放送]
 68: 1298| [45] [「職員の皆様は、落ち着いて地上へ避難して下さい」]
 69: 1303| [45] [同時にエントランス奥の、鉄扉が開放された。]
 70: 1430| [45] [――そして９年前も同様に、鉄扉が開放された。]
 71: 1438| [47] [夏彦]
 72: 1441| [45] [「火事って……母さんが、ちかにいるのに……！？」]
 73: 1467| [47] [悠里]
 74: 1470| [45] [「ど、どうしようひこりん……！」]
 75: 1478| [47] [夏彦]
 76: 1481| [45] [「た……たすけにいかなきゃ！」]
 77: 1489| [47] [夏彦]
 78: 1492| [45] [「悠里はここでまってろ！」]
 79: 1497| [45] [夏彦はそう叫んで、扉の向こうに駆け込んだ。]
 80: 1609| [47] [夏彦]
 81: 1612| [45] [「まずい……行かなきゃまずい！」]
 82: 1617| [45] [走り出そうとする夏彦の腕を、警備員が掴んだ。]
 83: 1622| [47] [警備員２]
 84: 1625| [45] [「ちょっと待て君！　まずいってどういう事だ！？」]
 85: 1633| [47] [夏彦]
 86: 1636| [45] [「警備員さん、ぼくらに構ってる場合じゃありません！」]
 87: 1641| [47] [警備員２]
 88: 1644| [45] [「なに！？」]
 89: 1652| [47] [夏彦]
 90: 1655| [45] [「これはテロです！　すぐに警察と消防を呼んで下さい！」]
 91: 1660| [47] [警備員２]
 92: 1663| [45] [「て、テロだって！？　まさか――……！？」]
 93: 1719| [45] [愕然とする警備員の腕を振り払い、夏彦は駆け出す。]
 94: 1724| [47] [夏彦]
 95: 1725| [45] [（テロリストは、内通者に施設内で騒ぎを起こさせ、ゲートを開放させたんだ！）]
 96: 1730| [47] [夏彦]
 97: 1731| [45] [（このままじゃ９年前の繰り返し――いや、あの時より遥かにひどい事になる！）]
 98: 1764| [47] [ましろ]
 99: 1767| [45] [「待って夏彦、どこ行くの！？」]
100: 1775| [47] [夏彦]
101: 1778| [45] [「地下だ！」]
102: 1811| [47] [サリュ]
103: 1814| [45] [「地下って、いま爆発が――」]
104: 1822| [47] [夏彦]
105: 1825| [45] [「２人は着いて来るな、ここから絶対動くな！！」]
106: 1890| [45] [それだけ言い残し、夏彦は鉄扉の向こうに飛び込んだ。]
107: 2006| [45] [そして手近な階段室を探し、それを駆け降りる。]
108: 2110| [45] [階段を降りきるなり、どこかでラボ職員たちの叫びが聞こえた。]
109: 2115| [47] [研究員１]
110: 2118| [45] [「な、何が起きたんだ！」]
111: 2123| [47] [研究員２]
112: 2126| [45] [「わかりません！　爆発のようですが……？」]
113: 2131| [47] [研究員３]
114: 2134| [45] [「爆発だと！？　この施設でか！？」]
115: 2139| [45] [地下フロアはすでに、凄まじい混乱に包まれていた。]
116: 2144| [45] [誰もここで何が起こっているのか、理解できてないようだ。]
117: 2175| [47] [夏彦]
118: 2176| [45] [（テロリストはどこだ！？　どこに爆弾を仕掛けてるんだ！？）]
119: 2190| [45] [そう思ってあたりを見回した時、]
120: 2198| [47] [夏彦]
121: 2201| [45] [「！？」]
122: 2239| [45] [背後に、ましろとサリュがいる事に気付いた。]
123: 2247| [47] [夏彦]
124: 2250| [45] [「な……何やってるんだ！？　なんで着いて来たんだ！」]
125: 2276| [47] [ましろ]
126: 2279| [45] [「そりゃこっちのセリフだよ！　１人でどこに行くのさ！？」]
127: 2287| [47] [サリュ]
128: 2290| [45] [「単独行動は危険！」]
129: 2298| [47] [夏彦]
130: 2301| [45] [「そんな事はわかってるよ！　でも――」]
131: 2306| [45] [夏彦がそう言いかけた瞬間、]
132: 2311| [45] [またも過去の出来事が――！]
133: 2418| [45] [――あの時も同じだった。]
134: 2423| [45] [待っていろと言ったのに、悠里もついてきてしまった。]
135: 2485| [47] [夏彦]
136: 2488| [45] [「悠里、きちゃだめだよ！　火事がおきてるんだぞ！？」]
137: 2496| [47] [悠里]
138: 2499| [45] [「わ、わたしだって、はかせ助けたいもん……！」]
139: 2525| [47] [悠里]
140: 2528| [45] [「ひこりんやはかせが危ない目にあってるのに、ひとりでまってるのやだもん！」]
141: 2536| [47] [夏彦]
142: 2539| [45] [「……！」]
143: 2544| [45] [悠里の声はいつもと違っていた。]
144: 2549| [45] [そんな力強い彼女の声を聞くのは初めてだった。]
145: 2554| [45] [だから、９年前の夏彦は――]
146: 2562| [47] [夏彦]
147: 2565| [45] [「……わかった……」]
148: 2570| [45] [そう答えてしまったのだ。]
149: 2578| [47] [夏彦]
150: 2581| [45] [「じゃあ、いっしょにいこう！　２人で母さんをたすけよう！」]
151: 2607| [47] [悠里]
152: 2610| [45] [「うん！」]
153: 2747| [47] [夏彦]
154: 2748| [45] [（――どうしてこんなに、何もかも符合するんだ！？）]
155: 2753| [45] [ただの偶然ではなく、運命じみたものを感じる。]
156: 2758| [47] [夏彦]
157: 2759| [45] [（９年前は、あれからどうなった！？）]
158: 2764| [45] [その事を思い出そうとした時、再び激しい頭痛が走った。]
159: 2798| [47] [夏彦]
160: 2801| [45] [「痛っ！」]
161: 2827| [47] [サリュ]
162: 2830| [45] [「夏彦、また頭痛！？」]
163: 2838| [47] [夏彦]
164: 2841| [45] [「ぎ……ぐ、ぅうぅううッ……！」]
165: 2867| [47] [ましろ]
166: 2870| [45] [「大丈夫夏彦！？　しっかりして！」]
167: 2904| [47] [夏彦]
168: 2907| [45] [「……ッ」]
169: 2912| [45] [あまりの頭痛に、吐き気すら湧いてきた。]
170: 2917| [45] [記憶が刺激されるたび、この痛みが襲ってくる。]
171: 2922| [47] [夏彦]
172: 2923| [45] [（く、そ……！　そんなにぼくは、過去の事を思い出したくないのか！？）]
173: 2928| [47] [夏彦]
174: 2929| [45] [（あれから何が起きたのかなんて、わかりきってるじゃないか！）]
175: 2934| [45] [悠里と共に火に巻かれ、死にかけたのだ。]
176: 2939| [47] [夏彦]
177: 2940| [45] [（でも、その恐怖に屈するわけには……！）]
178: 2945| [45] [そう思った時、すぐ近くで爆発音が聞こえた。]
179: 3010| [47] [３人]
180: 3013| [45] [「！？」]
181: 3098| [45] [とっさに夏彦はましろたちを庇う。]
182: 3103| [45] [一瞬遅れて熱風が吹きぬけ、]
183: 3111| [47] [夏彦]
184: 3114| [45] [「あっ！！」]
185: 3191| [45] [夏彦たちは弾き飛ばされた。]
186: 3299| [47] [放送]
187: 3302| [45] [「Ｎエリアの数値増幅を確認……！　緊急停止システムを始動しました！」]
188: 3310| [47] [放送]
189: 3313| [45] [「Ｎエリア及び制御室の職員も、全員ただちに地上へ避難してください！」]
190: 3338| [47] [夏彦]
191: 3341| [45] [「くッ……！」]
192: 3349| [47] [夏彦]
193: 3352| [45] [「だ、大丈夫か２人とも！？」]
194: 3357| [45] [折り重なるように倒れた夏彦たちは、よろよろと身を起こす。]
195: 3391| [47] [サリュ]
196: 3394| [45] [「……う、ん……」]
197: 3428| [47] [ましろ]
198: 3431| [45] [「だ、大丈夫……！」]
199: 3436| [45] [２人はうめいたが、どうやら怪我はないようだ。]
200: 3441| [47] [夏彦]
201: 3442| [45] [（よかった……！）]
