  0:  159| [55] [√After Chapter 1]
  1:  167| [47] [Watase]
  2:  168| [45] [(If this keeps up, then even Tachibana will die...!)]
  3:  173| [45] [It was at that moment that he heard a voice across the sea of fire.]
  4:  206| [47] [Jun]
  5:  209| [45] ["--You guys okay!?"]
  6:  214| [45] [Watase looked to that voice to find Jun looking at him and Kazami from the other side of the flames.]
  7:  219| [45] [Watase quickly shouted back.]
  8:  227| [47] [Watase]
  9:  230| [45] ["M-Moribe! Throw us the hose!"]
 10:  238| [47] [Jun]
 11:  241| [45] ["On it!"]
 12:  255| [45] [Jun picked up the hose lying in the fire and tossed it with an underhand throw.]
 13:  266| [45] [The metal nozzle slid across the floor and stopped right in front of Watase.]
 14:  304| [45] [The fire spread even further during those few seconds, filling the hallway with black smoke.]
 15:  309| [45] [Just standing burned his skin, and his lungs hurt every time he took a breath.]
 16:  317| [47] [Watase]
 17:  320| [45] ["Ghh... *cough*..."]
 18:  353| [47] [Kazami]
 19:  356| [45] ["Captain, don't! I'll handle this!"]
 20:  364| [47] [Watase]
 21:  367| [45] ["I'm okay! Even I can handle a little fire like this!"]
 22:  397| [45] [Watase forced himself to step towards the direction of the flames, then turned the nozzle of the hose.]
 23:  445| [47] [Watase]
 24:  448| [45] ["--!!"]
 25:  453| [45] [Watase was caught off guard for a moment. The water pressure was far greater than he'd expected.]
 26:  458| [45] [So he used all his might to keep the hose under control, knowing it'd most likely shoot right out of his hands if he let his guard down for even a second.]
 27:  466| [47] [Watase]
 28:  469| [45] ["E... eat this!!"]
 29:  475| [45] [The hose's jetstream ran right into the brightly burning fire.]
 30:  480| [45] [However--]
 31:  535| [47] [Watase]
 32:  536| [45] [(It... it's not going out!?)]
 33:  541| [45] [Although steam was rising here and there, the force of the flames didn't weaken in the slightest.]
 34:  549| [47] [Watase]
 35:  552| [45] ["S-son of a bitch!!"]
 36:  563| [45] [Watase blindly swung the hose.]
 37:  568| [45] [Despite his efforts, the fire only grew stronger and stronger and swooped down on Watase with intense ferocity.]
 38:  573| [45] [The flames swayed, briefly licking at his left hand.]
 39:  714| [47] [Watase]
 40:  717| [45] ["Ouch!"]
 41:  722| [45] [The heat shot through his gloves and burned the back of his hand.]
 42:  727| [45] [He then dropped the hose on instinct.]
 43:  732| [47] [Watase]
 44:  733| [45] [(O... oh shit!)]
 45:  784| [45] [He frantically tried to pick up the hose--]
 46:  810| [47] [Kazami]
 47:  813| [45] ["Out of the way, Captain!"]
 48:  818| [45] [But then Kazami grabbed his collar and violently pulled him back.]
 49:  847| [47] [Watase]
 50:  850| [45] ["!?"]
 51:  858| [47] [Kazami]
 52:  861| [45] ["This is why I said I'd handle this! You need to get farther back!"]
 53:  876| [47] [Watase]
 54:  879| [45] ["G-got it--"]
 55:  936| [47] [Watase]
 56:  939| [45] ["N-no, but..."]
 57:  965| [47] [Kazami]
 58:  968| [45] ["Did you not hear me!? Fall back!"]
 59:  983| [47] [Watase]
 60:  986| [45] ["A-- All right!"]
 61:  997| [47] [Watase]
 62: 1000| [45] ["W-wait! Let me try for a little while longer!"]
 63: 1040| [45] [Watase shouted that and picked up the hose.]
 64: 1048| [47] [Kazami]
 65: 1051| [45] ["A-are you out of your mind!?"]
 66: 1056| [45] [But Watase brushed aside Kazami's warnings.]
 67: 1061| [47] [Watase]
