  0:   60| [55] [√After Chapter 5]
  1:   67| [47] [Watase]
  2:   70| [45] ["Wait, hear me out. Don't you think it would've been better to tell Moribe and the old man about what Salyu said?"]
  3:  102| [47] [Ena]
  4:  105| [45] ["... Why?"]
  5:  113| [47] [Watase]
  6:  116| [45] ["Isn't it obvious? Because according to her, there's something suspicious about me too..."]
  7:  124| [47] [Watase]
  8:  127| [45] ["So if we told them about that, they'd stop looking at you so suspiciously and focus all their doubt on me instead."]
  9:  132| [45] [Ena's eyes widened when she heard that.]
 10:  158| [47] [Ena]
 11:  161| [45] ["I don't believe it... are you saying that'd be all for me?"]
 12:  169| [47] [Watase]
 13:  172| [45] ["Oh, is that bad?"]
 14:  198| [47] [Ena]
 15:  201| [45] ["Of course it is. It's not something you just go around telling people. I mean, it's because of my pistol that everyone got so furious..."]
 16:  227| [47] [Ena]
 17:  230| [45] ["And besides, you shouldn't have covered for me before."]
 18:  256| [47] [Ena]
 19:  259| [45] ["Keeping quiet about the gun was -my- mistake. You did nothing."]
 20:  267| [47] [Ena]
 21:  270| [45] ["Don't you think those two might already be starting to suspect you after you trusted me without any plausible reason?"]
 22:  278| [47] [Ena]
 23:  281| [45] ["So don't go--"]
 24:  289| [47] [Watase]
 25:  292| [45] ["No, I've got a reason all right."]
 26:  318| [47] [Ena]
 27:  321| [45] ["Huh?"]
 28:  329| [47] [Watase]
 29:  332| [45] ["It's because I decided that you're 'trustworthy', that's why."]
 30:  358| [47] [Ena]
 31:  361| [45] ["...!"]
 32:  387| [47] [Ena]
 33:  390| [45] ["I can't believe you're still saying that--"]
 34:  398| [47] [Ena]
 35:  401| [45] ["Why do you think I told you about my father?"]
 36:  406| [45] [Ena looked truly irritated as she said that.]
 37:  432| [47] [Ena]
 38:  435| [45] ["Listen up, Captain Kasasagi. Something is going down right here in LABO. That's for sure."]
 39:  443| [47] [Ena]
 40:  446| [45] ["There must be a reason behind that bomb earlier and Ms. Sannomiya running from us that we don't know about."]
 41:  454| [47] [Ena]
 42:  457| [45] ["Make no mistake that someone with malice in their heart is operating from behind the scenes."]
 43:  483| [47] [Ena]
 44:  486| [45] ["And that if we let our guards down-- it's likely that we really will lose our lives."]
 45:  494| [47] [Watase]
 46:  497| [45] ["..."]
 47:  505| [47] [Ena]
 48:  508| [45] ["Doubt everything around you in order to survive."]
 49:  516| [47] [Ena]
 50:  519| [45] ["That includes the people nearby, this facility, and occasionally everything you see.%NYour own preconceptions may be tricking you, after all."]
 51:  527| [47] [Watase]
 52:  530| [45] ["... That sure doesn't sound like something a teacher would say."]
 53:  556| [47] [Ena]
 54:  559| [45] ["Disappointed?"]
 55:  567| [47] [Ena]
 56:  570| [45] ["But teachers are surprisingly suspicious creatures. You can't protect the students you're sworn to keep safe if you trust every little thing."]
 57:  578| [47] [Watase]
 58:  581| [45] ["I see... teachers sure are tough."]
 59:  586| [45] [Ena let out a heavy sigh when Watase said that in what could be called an admiring voice.]
 60:  612| [47] [Ena]
 61:  615| [45] ["Haah... see, you're screwing up already. You need to doubt even what I just said."]
 62:  623| [47] [Watase]
 63:  626| [45] ["... True, the things I believe in could be tricking me."]
 64:  634| [47] [Watase]
 65:  637| [45] ["Your story about your father taught me that there's a certain risk involved with 'trusting'."]
 66:  663| [47] [Ena]
 67:  666| [45] ["Glad you get it. That holds true especially in this kind of situation."]
 68:  671| [45] [Ena gave him a scorning glare.]
 69:  676| [45] [Watase looked right back at her and spoke with a clear voice.]
 70:  684| [47] [Watase]
 71:  687| [45] ["But I still trust you in spite of that."]
 72:  713| [47] [Ena]
 73:  716| [45] ["Huh...?"]
 74:  724| [47] [Watase]
 75:  727| [45] ["'Faith' without risk is a downright lie, isn't it?"]
 76:  735| [47] [Watase]
 77:  738| [45] ["If you say you 'trust' or 'don't trust' something but you keep yourself in a safe position, your words hold no power whatsoever."]
 78:  746| [47] [Watase]
 79:  749| [45] ["So if you're ever doubted from this point onward, I will trust and cover for you unconditionally."]
 80:  757| [47] [Watase]
 81:  760| [45] ["... I'm sure that's what your father would have done too."]
 82:  765| [45] [Watase declared all that in a quiet voice.]
 83:  770| [45] [He filled each and every one of his words with his desire to affirm the life of Ena's father.]
 84:  775| [45] [When he did, Ena let out a somewhat sad smile.]
 85:  801| [47] [Ena]
 86:  804| [45] ["Sheesh, you really are an idiot, you know that...?"]
 87:  809| [45] [Ena didn't say anything else after that.]
 88:  814| [45] [The group then finally arrived at Area 6.]
