  0:   84| [55] [√After Chapter 1]
  1:   99| [45] [--Area 3, inner ring, B2--]
  2:  104| [45] [This area was considerably different from all the other floors.]
  3:  109| [45] [The walls were made of unfaced concrete, and the ceiling's steel frame and cables were completely exposed.]
  4:  114| [45] [Watase checked his Procyon to find that the display read "1381 mSv".]
  5:  122| [47] [Watase]
  6:  125| [45] ["Good, looks like this place is safe too."]
  7:  187| [47] [Ena]
  8:  190| [45] ["'Safe', huh... Normally we'd be dead at this level of radiation."]
  9:  217| [47] [Jun]
 10:  220| [45] ["Like we said, we'll be fine as long as we have AD. And fortunately, it doesn't look like there were any fires in this area--"]
 11:  225| [45] [But the moment Jun said that,]
 12:  233| [47] [???]
 13:  236| [45] ["--Impossible...!? Why were they..."]
 14:  274| [45] [the group heard a voice coming from somewhere.]
 15:  354| [47] [Kazami]
 16:  357| [45] ["It looks like someone's here!"]
 17:  365| [47] [Watase]
 18:  368| [45] ["Yeah!"]
 19:  451| [45] [Watase thought he heard the voice coming from the room right in front of him.]
 20:  456| [45] [The door was labeled "Surveillance Room".]
 21:  464| [47] [Watase]
 22:  467| [45] ["Heeey! Is someone in there!?"]
 23:  472| [45] [A voice filled with surprise echoed in reply to Watase's unconscious shouts.]
 24:  480| [47] [???]
 25:  483| [45] ["Wha-!?"]
 26:  491| [47] [???]
 27:  494| [45] ["That voice-- is that you, 'Captain Kasasagi'!?"]
 28:  502| [47] [Watase]
 29:  505| [45] ["What!? Y-you know who I am!?"]
 30:  513| [47] [???]
 31:  516| [45] ["H-how could I -not- know you..."]
 32:  521| [45] [Someone was talking to him from the other side of the door. However, Watase didn't recognize the speaker's voice.]
 33:  526| [47] [Watase]
 34:  527| [45] [(Who is it...!?)]
 35:  532| [45] [Watase timidly opened the door.]
 36:  581| [45] [Standing on the other side was a man in a lab coat.]
 37:  644| [47] [Researcher]
 38:  647| [45] ["Captain Kasasagi... so you're back?"]
 39:  652| [45] [Kazami and Jun's eyes simultaneously widened as soon as they heard the man's voice.]
 40:  679| [47] [Kazami]
 41:  682| [45] ["Huh... Mr. Ukita!?"]
 42:  708| [47] [Jun]
 43:  711| [45] ["What're you doing here, old man!?"]
 44:  737| [47] [Ukita]
 45:  740| [45] ["Y-you're all here too...?"]
 46:  745| [45] [The man named Ukita said this with bewilderment.]
 47:  753| [47] [Watase]
 48:  756| [45] ["W-wait a sec... you guys all know each other?"]
 49:  782| [47] [Kazami]
 50:  785| [45] ["Yes. We saved this man when he got into a car accident just last week."]
 51:  811| [47] [Jun]
 52:  814| [45] ["Don't tell me you got into -another- accident this week, Mr. Ukita?"]
 53:  840| [47] [Ukita]
 54:  843| [45] ["Y-yes... Never in my wildest dreams would I have predicted such misfortune befalling me."]
 55:  920| [45] [A bitter look appeared on Ukita's face as he said that.]
 56:  925| [47] [Watase]
 57:  926| [45] [(I don't really know the circumstances, but-- anyone would be bitter over having luck this bad two weeks in a row.)]
 58:  931| [45] [And if Kazami and Jun had saved him once before, then it made sense that he knew them all.]
 59:  992| [47] [Watase]
 60:  995| [45] ["I see... By the way, were you not able to evacuate in time or something?"]
 61: 1021| [47] [Ukita]
 62: 1024| [45] ["Wha... what preposterous game are you trying to pull here!?"]
 63: 1032| [47] [Ukita]
 64: 1035| [45] ["-You- were the one who locked me in this area!"]
 65: 1043| [47] [Watase]
 66: 1046| [45] ["H-huh...?"]
 67: 1051| [45] [Watase froze in confusion at the angry look that'd suddenly appeared on the man's face.]
 68: 1059| [47] [Watase]
 69: 1062| [45] ["H-hold on a second. Could you explain the details?"]
 70: 1088| [47] [Ukita]
 71: 1091| [45] ["Shouldn't you know that better than anyone else here!?"]
 72: 1099| [47] [Watase]
 73: 1102| [45] ["Well, uh, you see..."]
 74: 1110| [47] [Watase]
 75: 1113| [45] ["The truth is, it looks like I hit my head really hard a little while back... and thanks to that, I can barely remember anything..."]
 76: 1139| [47] [Ukita]
 77: 1142| [45] ["Barely remember anything... Are you serious!?"]
 78: 1147| [45] [Ukita wasn't the only one to react to Watase's explanation.]
 79: 1175| [47] [Ena]
