  0:  126| [55] [√Before Chapter 6]
  1:  172| [45] [--After a little while, they arrived at the school.]
  2:  177| [45] [The gate was open even though it was a Sunday.]
  3:  182| [45] [Perhaps to let in teachers looking to get work done on the day off, or to allow students to use the facilities for club activities.]
  4:  190| [47] [Natsuhiko]
  5:  193| [45] ["Mr. Driver, please go to the staff entrance at the rear."]
  6:  198| [47] [Driver]
  7:  201| [45] ["Gladly~"]
  8:  236| [45] [The driver moved the car in accordance with Natsuhiko's directions.]
  9:  289| [45] [And then the kids got off the taxi at the staff entrance.]
 10:  297| [47] [Natsuhiko]
 11:  300| [45] ["Mr. Driver, please wait here. We'll be back later."]
 12:  305| [47] [Driver]
 13:  308| [45] ["Well, you -are- renting for the day. Of course I'll wait."]
 14:  313| [45] [And with that voice at their backs, they entered the school.]
 15:  318| [45] [It was the same familiar school they attended, but they made sure to be as cautious as thieves.]
 16:  361| [45] [As they got inside, Salyu muttered.]
 17:  423| [47] [Salyu]
 18:  426| [45] ["Let's find Ena quick and--"]
 19:  434| [47] [Natsuhiko]
 20:  437| [45] ["Hold up, Salyu."]
 21:  442| [45] [Natsuhiko quickly stopped Salyu.]
 22:  468| [47] [Salyu]
 23:  471| [45] ["What's wrong?"]
 24:  479| [47] [Natsuhiko]
 25:  482| [45] ["Listen carefully. I can hear something from over there."]
 26:  487| [45] [Natsuhiko pointed to the corner of the ceiling as he spoke.]
 27:  492| [45] [And there--]
 28:  542| [45] [He could hear the servo motors of a surveillance camera.]
 29:  569| [47] [Salyu]
 30:  572| [45] ["There's a camera inside here too...!?"]
 31:  580| [47] [Natsuhiko]
 32:  583| [45] ["The school's furnished with surveillance cameras to prevent intrusion by suspicious characters."]
 33:  588| [45] [Natsuhiko normally paid them no heed.]
 34:  593| [45] [Because if he let their presence get to him every day, he'd never be able to stay calm.]
 35:  625| [47] [Salyu]
 36:  628| [45] ["... Then we can't go to the staff room."]
 37:  636| [47] [Natsuhiko]
 38:  639| [45] ["Yeah, but if we can find a dead spot--"]
 39:  644| [45] [As Natsuhiko began to speak, Mashiro placed a finger to her temple.]
 40:  677| [47] [Mashiro]
 41:  680| [45] ["Hold on, guys, I'm contacting Ms. Ena through telepathy."]
 42:  706| [47] [Mashiro]
 43:  709| [45] ["'Ms. Ena, this is an emergency. It's me, Mashiro Toba. If you're at school, please come to the staff entrance'."]
 44:  735| [47] [Mashiro]
 45:  738| [45] ["It's more reliable to do this than to try moving around."]
 46:  746| [47] [Natsuhiko]
 47:  749| [45] ["I see...! So let's wait here, then."]
 48:  797| [45] [And thus, they waited for a while after Mashiro sent her telepathy--]
 49:  802| [45] [--and eventually, Ena appeared.]
 50:  864| [47] [Ena]
 51:  867| [45] ["Ms. Toba!? Mr. Tenkawa and Ms. Sannomiya, too!?"]
 52:  894| [47] [Mashiro]
