  0:  140| [55] [√Double Chapter6]
  1:  152| [45] [――電源が落ちた闇の中――]
  2:  160| [45] [夏彦・悠里・ましろ、そして恵那は、支えあうようにＮエリアに向かっていた。]
  3:  165| [45] [歩きながら夏彦は、先ほど気付いた事を皆に告げる。]
  4:  174| [47] [夏彦]
  5:  177| [45] [「……被験体Ｎは、橘さんの妹だったんです」]
  6:  185| [47] [夏彦]
  7:  188| [45] [「悠里の時と同じ手口で、表向きは死んだ事にされて、ラボに幽閉されたんですよ」]
  8:  196| [47] [夏彦]
  9:  199| [45] [「恐らく９年前の４月７日、団地ガス爆発の時に……」]
 10:  225| [47] [ましろ]
 11:  228| [45] [「そんな……」]
 12:  254| [47] [悠里]
 13:  257| [45] [「そんなのって……酷すぎるよ……！」]
 14:  262| [45] [悠里たちが、震える声で呟く。]
 15:  288| [47] [恵那]
 16:  291| [45] [「じゃあ橘さんは、被験体Ｎの死の原因を作ったＱのメンバーを……断罪しようとしているわけ？」]
 17:  299| [47] [夏彦]
 18:  302| [45] [「断罪……あるいはもっと単純に、仇討ちかもしれません」]
 19:  328| [47] [恵那]
 20:  331| [45] [「仇討ちって、あの橘さんが――」]
 21:  339| [47] [夏彦]
 22:  342| [45] [「橘さんの内面は、ぼくを撃った時の渡瀬と同じくらい、激烈な悪意に染まっていました」]
 23:  350| [47] [夏彦]
 24:  353| [45] [「それが感染後、しばらく発露しなかったのは、誰を憎むべきかはっきりしてなかったからでしょう」]
 25:  361| [47] [夏彦]
 26:  364| [45] [「精神力で押さえ込んでいたってのも、あると思います」]
 27:  557| [45] [だが風見はもう、憎むべき相手を知ってしまった。]
 28:  562| [45] [『渡瀬の名誉を護るため』『妹の仇を討つため』という大義名分のもと、正当化された殺意が発現したのだ。]
 29:  567| [47] [夏彦]
 30:  568| [45] [（橘さんは、渡瀬とおじさんを殺すつもりだ……）]
 31:  626| [47] [夏彦]
 32:  627| [45] [（だけど悪意に感染していても、元々の人格が完全になくなるわけじゃない。渡瀬もそうだった）]
 33:  660| [47] [夏彦]
 34:  661| [45] [（『人命救助』に命を懸けていた橘さんが、人を殺すとしたら、その後は――！？）]
 35:  701| [45] [夏彦の脳裏に、強烈な不安がよぎる。]
 36:  706| [45] [風見を止めなければならない。だがその手段はない。]
 37:  711| [45] [恵那の銃は奪われ、武器はもう夏彦の銃しかないのだ。]
 38:  783| [47] [夏彦]
 39:  784| [45] [（弾は確か、残り２発……でも、これでどうするんだ？）]
 40:  789| [47] [夏彦]
 41:  790| [45] [（これを何に使うんだ！？）]
 42:  795| [45] [夏彦がベルトに差した拳銃に触れた時、恵那がぽつりと呟いた。]
 43:  859| [47] [恵那]
 44:  862| [45] [「天川くん、橘さんの悪意を消去できると思う？」]
 45:  870| [47] [夏彦]
 46:  873| [45] [「……難しいとは思います。今までとは全然状況が違うから」]
 47: 1000| [45] [それまで夏彦が悪意を消去した相手は、皆コミュニケーターではなかった。]
 48: 1090| [45] [しかし風見はコミュニケーターだ。]
 49: 1096| [45] [被験体Ｎの姉であり、ＷＸ粒子によって遺伝子変異を起こした、恐らく適性度Ｓのコミュニケーター。]
 50: 1164| [47] [夏彦]
 51: 1167| [45] [「次に橘さんに、センシズシンパシーを使ったら――」]
 52: 1175| [47] [夏彦]
 53: 1178| [45] [「こっちが記憶修正をしている間に、向こうもぼくの記憶操作をし返してくる可能性が高いです」]
 54: 1204| [47] [ましろ]
 55: 1207| [45] [「じゃ、じゃあ最悪の場合……」]
 56: 1233| [47] [ましろ]
 57: 1236| [45] [「夏彦がセンシズシンパシーを使った瞬間、記憶を消されちゃうって可能性もあるの！？」]
 58: 1244| [47] [夏彦]
 59: 1247| [45] [「……ないとは言えない」]
 60: 1252| [45] [いや、その可能性の方がはるかに高いだろう。]
 61: 1257| [45] [最悪、記憶消去の際のショックで、脳そのものが損傷する可能性もあるかもしれない。]
 62: 1262| [47] [夏彦]
 63: 1263| [45] [（もし、脳が損傷してしまったら――）]
 64: 1268| [47] [夏彦]
 65: 1269| [45] [（悠里がついてくれてても、記憶の修復は不可能になるんじゃないか！？）]
 66: 1274| [45] [それに凪沙と何度も対峙した事により、精神的ダメージも蓄積している。]
 67: 1279| [45] [先ほど風見のテレパシー攻撃を受けてから、頭痛もずっと続いていた。]
 68: 1284| [45] [次に凪沙と対峙した時は、ついに夏彦の脳と精神は、限界を迎えてしまうのではないだろうか？]
 69: 1289| [45] [絶望しかける夏彦の脇で、悠里が言う。]
 70: 1315| [47] [悠里]
 71: 1318| [45] [「でも、光明はあります」]
 72: 1344| [47] [恵那]
 73: 1347| [45] [「光明？」]
 74: 1373| [47] [悠里]
 75: 1376| [45] [「橘さんは、わたしやひこりんとは違って、ＢＣの訓練をちゃんと受けていない」]
 76: 1384| [47] [悠里]
 77: 1387| [45] [「センシズシンパシーを自由に使いこなせるとは限らないんですよ」]
 78: 1395| [47] [悠里]
 79: 1398| [45] [「副隊長さんの脳内で流れる、ほんのわずかな時間の間に、Ｎちゃんを――」]
 80: 1424| [47] [悠里]
 81: 1427| [45] [「いや、凪沙ちゃんを消去しきる事ができれば、勝てるはずなんです」]
 82: 1453| [47] [ましろ]
 83: 1456| [45] [「で、できそう？　夏彦……？」]
 84: 1461| [47] [夏彦]
 85: 1462| [45] [「……」]
 86: 1467| [45] [夏彦は答えられなかった。]
 87: 1472| [45] [それはとても光明と呼べないような、希望的観測に過ぎないから。]
 88: 1498| [47] [恵那]
 89: 1501| [45] [「そう……それじゃ……」]
 90: 1529| [47] [恵那]
 91: 1532| [45] [「やっぱり、私がなんとかするしかないわね」]
 92: 1540| [47] [夏彦]
 93: 1543| [45] [「え？　――あっ！」]
 94: 1548| [45] [夏彦が問い返した瞬間、]
 95: 1655| [45] [恵那が夏彦のベルトに手を伸ばし、銃を奪い取った。]
 96: 1663| [47] [夏彦]
 97: 1666| [45] [「な、何をするんですか先生！？」]
 98: 1692| [47] [恵那]
 99: 1695| [45] [「コミュニケーターのあなたたちがなんとかできない問題は、私たちが解決するしかない」]
100: 1703| [47] [恵那]
101: 1706| [45] [「私たち超科局の人間は、ずっとそうしてきたんだもの」]
102: 1733| [47] [ましろ]
103: 1736| [45] [「って……先生、まさか！？」]
104: 1768| [47] [恵那]
105: 1771| [45] [「私が橘さんを説得する。そしてもし、それが叶わなければ――」]
106: 1797| [47] [恵那]
107: 1800| [45] [「射殺するわ」]
108: 1823| [47] [夏彦]
109: 1826| [45] [「……っ！」]
110: 1852| [47] [ましろ]
111: 1855| [45] [「そんな、嫌ですよ、先生……！」]
112: 1863| [47] [ましろ]
113: 1866| [45] [「先生、コミュニケーターを護りたいって言ったじゃないですか！」]
114: 1874| [47] [ましろ]
115: 1877| [45] [「橘さんだってコミュニケーターなのに、殺しちゃうんですか！？」]
116: 1882| [45] [そう声を上げるましろに、恵那が寂しげに言う。]
117: 1908| [47] [恵那]
118: 1911| [45] [「……あなたたちも知っているはずでしょう？」]
119: 1919| [47] [恵那]
120: 1922| [45] [「１６年前、９月１６日。この街は火に包まれたの。たった１人の、Ｎ化したコミュニケーターによって」]
121: 1930| [47] [恵那]
