  0:   55| [55] [√After Chapter3]
  1:   70| [45] [――第５エリア外周棟・地下２階――]
  2:   75| [45] [苦労してたどり着いたそこは、地下１階と同じようなつくりになっていた。]
  3:   80| [45] [廊下には研究室が並んでいる。]
  4:   85| [45] [風見がその一室に目を止め、呟いた。]
  5:  147| [47] [風見]
  6:  150| [45] [「『脳科学実験室』……？」]
  7:  155| [45] [その部屋の前にかけられたプレートを見ると、確かにそう書いてあった。]
  8:  160| [45] [その時、部屋の中から声が聞こえた。]
  9:  168| [47] [宇喜多]
 10:  171| [45] [「――君の身のためを思って忠告しているのだよ」]
 11:  179| [47] [恵那]
 12:  182| [45] [「ご、ごめんなさい……」]
 13:  205| [45] [宇喜多と恵那の声だった。どうやらもう合流できたらしい。]
 14:  210| [45] [渡瀬たちは勇んで、その部屋に入った。]
 15:  309| [45] [だがそこには再会を喜んでいるというよりは、どこか険悪な雰囲気があった。]
 16:  314| [45] [宇喜多が恵那を睨みつけている。]
 17:  322| [47] [渡瀬]
 18:  325| [45] [「お、おい、今度は何事だ？」]
 19:  351| [47] [宇喜多]
 20:  354| [45] [「あぁ君たちか。いや……椿山さんがこの部屋にある機材やらを、いじくり回していたからね」]
 21:  380| [47] [恵那]
 22:  383| [45] [「だから謝っているでしょう……『脳科学実験室』という部屋名が気になったんですもの」]
 23:  388| [45] [そう言われて、渡瀬もふとその事が気にかかった。]
 24:  396| [47] [渡瀬]
 25:  399| [45] [「そういや、妙だなおっさん。『原子力』の研究に『脳科学』って、何か関係あるのか？」]
 26:  425| [47] [宇喜多]
 27:  428| [45] [「あるとも。そもそもこのラボの正式名称は『原子力生物学機構・第６研究所』――」]
 28:  436| [47] [宇喜多]
 29:  439| [45] [「原子力科学と生物学を、同時に研究しているんだ。だからこそＡＤのような薬品も開発できたのだよ」]
 30:  447| [47] [渡瀬]
 31:  450| [45] [「なるほどな……おっさんはどっちの研究をしてたんだ？」]
 32:  476| [47] [宇喜多]
 33:  479| [45] [「申し訳ないが、その手の質問には一切答えられない」]
 34:  487| [47] [渡瀬]
 35:  490| [45] [「え、なんでだ？」]
 36:  516| [47] [宇喜多]
 37:  519| [45] [「守秘義務というヤツだ。部外者の君たちに、研究内容を漏らすわけにはいかないのさ」]
 38:  545| [47] [宇喜多]
 39:  548| [45] [「国策に関わる研究もあるからね。例外は認められない。単独で探るなどもっての他だ」]
 40:  576| [47] [風見]
 41:  579| [45] [「わかります。ですが――捜索のために研究室に入るのは、認めて頂けますね？」]
 42:  605| [47] [宇喜多]
 43:  608| [45] [「今さら何を？　状況が状況だ、もちろん認めるとも」]
 44:  634| [47] [宇喜多]
 45:  637| [45] [「だが……第５エリアから先は、機密のレベルも極めて高い」]
 46:  663| [47] [宇喜多]
 47:  666| [45] [「ここから生きて出る事ができたとしても、ここで見たことを外で公言しない方がいいだろう」]
 48:  674| [47] [宇喜多]
 49:  677| [45] [「思いもよらないトラブルに、巻き込まれる可能性があるからね……」]
 50:  682| [45] [宇喜多の言葉は、どこか真に迫るものがあった。]
 51:  690| [47] [渡瀬]
 52:  693| [45] [「……その辺の事は、脱出後に考えよう。今はまずＡＤの捜索だ」]
 53:  736| [45] [渡瀬は空恐ろしいものを感じながら、皆と一緒にその部屋を捜索した。]
 54:  741| [45] [捜索していると確かに、その部屋にある大型機材が目についた。風見も訝しげに呟く。]
 55:  803| [47] [風見]
 56:  806| [45] [「ＭＲＩ装置、ＣＴスキャナ……それにこっちは、脳波計測器ですか？」]
 57:  832| [47] [宇喜多]
 58:  835| [45] [「ほう、ずいぶん詳しいんだね？」]
 59:  843| [47] [風見]
 60:  846| [45] [「ええ、救急の資格も持ってますので。隊長も救急の知識はありましたよ？」]
 61:  874| [47] [洵]
 62:  877| [45] [「あたしも簡単な手術くらいなら、できる自信はあるよ。まぁやったら犯罪だけど」]
 63:  920| [45] [そんな事を言いつつ探したが、ＡＤは見つからなかった。]
 64:  925| [45] [やがてユウリが声を上げる。]
 65:  987| [47] [ユウリ]
 66:  990| [45] [「あの……なんかこの部屋、何もない気がします」]
 67: 1017| [47] [宇喜多]
 68: 1020| [45] [「僕もそう思う。他の部屋を捜索しようじゃないか」]
 69: 1028| [47] [渡瀬]
 70: 1031| [45] [「そうだな……じゃあ地下２階も例によって、２チームに分かれて捜索しよう」]
 71: 1059| [47] [風見]
 72: 1062| [45] [「いいですね。では組み合わせはさきほどのままで……」]
 73: 1067| [45] [風見がそう言いかけた時、渡瀬は声を上げた。]
 74: 1075| [47] [渡瀬]
 75: 1078| [45] [「いや、それじゃちょっと効率が悪い」]
 76: 1086| [47] [渡瀬]
 77: 1089| [45] [「内周棟の方が外周棟より狭いんだし、４人と２人で分かれよう」]
 78: 1097| [47] [渡瀬]
 79: 1100| [45] [「内周棟は、オレと守部で調べるよ」]
 80: 1141| [47] [洵]
 81: 1144| [45] [「え？」]
 82: 1149| [45] [その言葉に、洵と恵那が目を見開いた。]
 83: 1157| [47] [恵那]
 84: 1160| [45] [「あら……じゃあ私は橘さんのチームに入ればいいのかしら？」]
 85: 1186| [47] [風見]
 86: 1189| [45] [「そうですね、いいと思います」]
 87: 1197| [47] [渡瀬]
 88: 1200| [45] [「だな。守部もいいな？」]
 89: 1272| [47] [洵]
 90: 1275| [45] [「う、うん」]
 91: 1280| [45] [あれこれ話し合ってる時間がもったいない。]
 92: 1285| [45] [渡瀬は早々に結論を出し、洵と共に部屋を飛び出した。]
 93: 1392| [45] [廊下を走りながら、洵が尋ねてくる。]
 94: 1472| [47] [洵]
 95: 1475| [45] [「ねーねー隊長、どうしてあんな提案したの？」]
 96: 1491| [47] [渡瀬]
 97: 1494| [45] [「え？　まぁ大した理由じゃないさ」]
 98: 1502| [47] [渡瀬]
 99: 1505| [45] [「ユウリが疲れてそうだったのと……それとお前となら２人でも、上手く連携取って捜索をこなせると思ってな」]
100: 1531| [47] [洵]
101: 1534| [45] [「ほほーぅ？　大きく出たねぇ、そろそろ勘が戻ってきた？」]
102: 1542| [47] [渡瀬]
103: 1545| [45] [「記憶は戻らんが、勘の方は多少はな」]
104: 1571| [47] [洵]
105: 1574| [45] [「いいねぇ、頼りにしとくよ」]
106: 1585| [47] [渡瀬]
107: 1588| [45] [「え？　気が利かないなぁ、お前も」]
108: 1596| [47] [渡瀬]
109: 1599| [45] [「ユウリがだいぶ疲れてそうだったからだよ。だったら人手を増やして、楽させてやろうと思ってな」]
110: 1625| [47] [洵]
111: 1628| [45] [「あ、そうか……」]
112: 1636| [47] [渡瀬]
113: 1639| [45] [「それに先生だったら、子供の扱いにも慣れてるだろ？　うまく気遣ってくれそうだ」]
114: 1665| [47] [洵]
