  0:   64| [45] [――テロ計画が固まってからというもの、瞬く間に月日は過ぎた。]
  1:   69| [45] [渡瀬は準備を進めつつも、表面上は全くそれをおくびにも出さず、それまでと同じレスキュー隊員として過ごした。]
  2:   74| [45] [同僚の堂島と桧山も同じだった。宇喜多と会う事も最小限に留め、ただ９月１６日を待つ。]
  3:   79| [45] [……そして決行日を３日後に控えた、９月１３日。]
  4:   84| [45] [その日、渡瀬は非番だった。]
  5:   89| [45] [レスキュー隊員として迎える、最後の休日。]
  6:   94| [45] [その１日を渡瀬は、街を歩く事に使おうと思った。]
  7:  166| [45] [――生まれ育った街を、あてどなく散歩する。]
  8:  171| [47] [渡瀬]
  9:  172| [45] [（……計画を遂行したら、もうこの街には戻ってこられないだろうな……）]
 10:  177| [45] [そんな想いが、渡瀬の感傷を誘った。]
 11:  228| [45] [情景が移り変わるごとに、様々な記憶が胸をよぎる。]
 12:  233| [45] [両親に連れて行ってもらったレストランがあった。]
 13:  300| [45] [姉と買い物をした服屋があった。]
 14:  305| [47] [渡瀬]
 15:  306| [45] [（街のそこかしこに、家族の思い出が……）]
 16:  311| [45] [普段は意識さえしなかったが、こんなにも街は懐かしいものに溢れていた。]
 17:  316| [45] [家族に関すること以外にも、様々な記憶が蘇る。]
 18:  380| [45] [レスキュー試験に受かった夜に、堂島や司令長と飲み歩いた飲み屋街。]
 19:  385| [45] [初めてできた恋人と、別れ話をした喫茶店。]
 20:  390| [45] [最後にできた恋人と、寄り添い、手を繋いで歩いた道。]
 21:  395| [45] [その全ての記憶をかなぐり捨てて、渡瀬は別の人生に踏み込もうとしているのだ。]
 22:  400| [47] [渡瀬]
 23:  401| [45] [（……迷いがないと言ったら、嘘になる）]
 24:  406| [45] [だが、それでもやるべきだ。]
 25:  411| [45] [その結論はとうに出ている。]
 26:  477| [47] [渡瀬]
 27:  478| [45] [（亘の、親父の、お袋の仇を取る事ができるのは……俺しかいないんだから）]
 28:  483| [45] [笠鷺家の唯一の生存者である自分が、復讐を止めてしまっては、それこそ家族の思い出を蔑ろにする事になる。]
 29:  488| [45] [渡瀬は自分に、そう言い聞かせた。]
 30:  539| [45] [――やがて空に暗雲が立ち込めてきた。]
 31:  544| [47] [渡瀬]
 32:  545| [45] [（雨になりそうだ……）]
 33:  550| [45] [濡れるのを嫌った渡瀬は、手近なバス停に歩み寄った。]
 34:  579| [45] [ほどなくしてバスがやってきた。]
