  0:   50| [55] [√Before Chapter2]
  1:   74| [47] [夏彦]
  2:   77| [45] [「！！」]
  3:   82| [45] [ふと気づくと、夏彦は閉ざされたゲートの前に立っていた。]
  4:  174| [45] [傍らには悠里とましろと、サリュがいる。]
  5:  182| [47] [夏彦]
  6:  185| [45] [「え……？　こ、ここは？」]
  7:  190| [45] [呆然とする夏彦に、ましろたちが言う。]
  8:  216| [47] [ましろ]
  9:  219| [45] [「どうしたの、夏彦！？」]
 10:  227| [47] [悠里]
 11:  230| [45] [「ここはラボだよ。火災が起きているラボ」]
 12:  256| [47] [サリュ]
 13:  259| [45] [「ぼーっとしている時間はない。炎が迫っている」]
 14:  267| [47] [夏彦]
 15:  270| [45] [「炎って……あっ」]
 16:  275| [45] [そう言われて、ようやく気づいた。]
 17:  280| [47] [夏彦]
 18:  281| [45] [（そ、そうだ……ぼくはラボの中を逃げてたんだ！）]
 19:  286| [45] [そして開かないゲートを開けようと、力を込めていたのだ。]
 20:  291| [45] [ゲートの反対側は炎に包まれており、徐々にこちらに迫ってきている。]
 21:  299| [47] [夏彦]
 22:  302| [45] [「わ、悪い！　一瞬意識が飛んでいた！」]
 23:  328| [47] [ましろ]
 24:  331| [45] [「大丈夫なの夏彦！？　やっぱり私も手伝うよ！？」]
 25:  339| [47] [夏彦]
 26:  342| [45] [「すまない、頼む！」]
 27:  651| [45] [夏彦たちは再び、ゲートに挑んだ。]
 28:  720| [45] [夏彦・ましろ・サリュ・悠里の４人がかりで、ゲートをこじ開けようと試みる。]
 29:  789| [45] [しかし――開かない。]
 30:  858| [45] [どれだけ力を込めても、びくともしなかった。]
 31:  866| [47] [夏彦]
 32:  869| [45] [「く、くそ！　なんで……！」]
 33:  895| [47] [ましろ]
 34:  898| [45] [「ま、まずいよ夏彦！　炎が――！」]
 35:  906| [47] [夏彦]
 36:  909| [45] [「！？」]
 37: 1033| [45] [はっとして振り返ると、すぐそこまで炎が近づいてきていた。]
 38: 1050| [45] [急速に煙が拡がり、周囲の空気を侵食する。]
 39: 1182| [47] [サリュ]
 40: 1185| [45] [「ぐっ……けほっ！」]
 41: 1190| [45] [最初に咳き込んだのはサリュだった。]
 42: 1251| [47] [ましろ]
 43: 1254| [45] [「ごほっ！　ごほごほっ！」]
 44: 1315| [47] [悠里]
 45: 1318| [45] [「う、くっ……かはっ！」]
 46: 1326| [47] [夏彦]
 47: 1329| [45] [「み、みんな頑張れ！　このゲートを開ければ――」]
 48: 1351| [47] [夏彦]
 49: 1354| [45] [「――うっ！　げほっ！」]
 50: 1359| [45] [そして夏彦も、煙を吸い込んでしまった。]
 51: 1381| [47] [夏彦]
 52: 1384| [45] [「がはっ！　ごほごほっごほッ！」]
 53: 1389| [45] [激しく咳き込み、夏彦はその場に膝をつく。]
 54: 1432| [47] [ましろ]
 55: 1435| [45] [「こほッ！　げほげほッ！」]
 56: 1478| [47] [悠里]
 57: 1481| [45] [「ごほごほごほっ！！　げほッ！　がはっ……！」]
 58: 1524| [47] [サリュ]
 59: 1527| [45] [「く……くはッ……！」]
 60: 1532| [45] [ましろもサリュもみんな、煙のせいで呼吸ができないらしい。]
 61: 1537| [45] [意思に反して涙が溢れ、視界が滲んでくる。]
 62: 1542| [47] [夏彦]
 63: 1543| [45] [（こ、これは……まずい！）]
 64: 1857| [45] [夏彦は呼吸を止め、そして再びゲートに挑んだ。]
 65: 1926| [45] [しかしそれでも、開かない。]
 66: 1995| [45] [ゲートはびくともしなかった。]
 67: 2038| [47] [ましろ]
 68: 2041| [45] [「けほっ！　けほけほっ、けほっ……！」]
 69: 2084| [47] [サリュ]
 70: 2087| [45] [「こほっ……こほっ……」]
 71: 2092| [45] [やがてましろたちの咳が、徐々に弱くなっていく。]
 72: 2097| [45] [夏彦はもう息を止めてられず、大きく息を吸った。]
 73: 2105| [47] [夏彦]
 74: 2108| [45] [「――はぁっ！」]
 75: 2113| [45] [その瞬間、煙が肺を満たした。]
 76: 2135| [47] [夏彦]
 77: 2138| [45] [「がッはッ！　げほげほげほっ！　かはッ！！」]
 78: 2143| [45] [酸素を渇望していた肺が、異物を思い切り摂取してしまった。]
 79: 2165| [47] [夏彦]
 80: 2168| [45] [「ごほっ！　ごほごほっ！」]
 81: 2173| [45] [いくら咳をしても、酸素は入ってこない。]
 82: 2195| [47] [夏彦]
 83: 2198| [45] [「かッ、はッ――……」]
 84: 2203| [47] [夏彦]
 85: 2204| [45] [（まずい――呼吸ができない！）]
 86: 2231| [47] [夏彦]
 87: 2234| [45] [「かひゅー……かッ！　かはっ……！」]
 88: 2239| [45] [酸素不足に、頭がぐらぐらしてくる。]
 89: 2292| [45] [急速に視界が暗くなっていく。]
 90: 2308| [45] [陸にいながら溺れるような感覚。]
 91: 2324| [45] [視界が滲み、黒く染まっていく。]
 92: 2340| [45] [その奥から迫ってくるもの。]
 93: 2357| [45] [それは――死の恐怖だった。]
 94: 2362| [47] [夏彦]
 95: 2363| [45] [（た、たすけて……！）]
 96: 2368| [47] [夏彦]
 97: 2369| [45] [（だれか……！）]
 98: 2374| [45] [必死でそう懇願する夏彦の耳に――]
 99: 2379| [45] [声が、聞こえた。]
100: 2393| [47] [悠里]
101: 2396| [45] [「……だ、ダメだよ、ひこりん……」]
102: 2401| [47] [夏彦]
103: 2402| [45] [（ゆ、悠里……！？）]
104: 2410| [47] [悠里]
105: 2413| [45] [「ねぇ、だから言ったでしょう……？」]
106: 2421| [47] [悠里]
107: 2424| [45] [「みんなで力を合わせなければ、こうなってしまうんだよ……」]
108: 2432| [47] [悠里]
109: 2435| [45] [「もしやりなおせるなら、今度こそ……あの子を、信じてあげて……！」]
110: 2440| [45] [その声もすぐに遠くなっていく。]
111: 2445| [47] [夏彦]
112: 2446| [45] [（悠里は、何を……）]
113: 2451| [45] [そう思った時、視界の端に時計が入った。]
114: 2462| [47] [夏彦]
115: 2463| [45] [（……！？）]
116: 2468| [45] [視覚がおかしくなっているのか――壊れたはずの時計が、なぜか時を刻んでいるように見えた。]
117: 2473| [45] [時針も分針もぼやけているのに、日付の表示だけがくっきりと見える。]
118: 2522| [45] [日付は『９月１１日』。]
119: 2527| [47] [夏彦]
120: 2528| [45] [（そ、そうか……悠里はあの日、この事を……！？）]
121: 2533| [45] [彼女は言っていた。]
122: 2538| [45] [『サリュちゃんたちと力を合わせなければ、命を落としてしまう』と。]
123: 2543| [47] [夏彦]
124: 2544| [45] [（で、でも、もう遅い……！）]
125: 2549| [45] [夏彦の胸を、後悔が満たした時――]
126: 2554| [45] [彼の意識は、闇に沈んだ。]
127: 2613| [45] [――――――]
128: 2618| [45] [――――]
129: 2623| [45] [――]
130: 2628| [45] [――――――]
131: 2633| [45] [――――]
132: 2638| [45] [――やがて、茫漠とした意識の奥で――]
133: 2643| [45] [目覚めよ、と呼ぶ声が聞こえた。]
134: 2648| [45] [あるいはそんな記憶があった。]
135: 2653| [45] [彼がその声を聞いた瞬間……]
136: 2658| [45] [時は再び、あの日に戻った。]
137: 2792| [85] [　%N　%N　%N]
138: 2795| [45] [√B バッドエンド1【信じぬ者の末路】]
139: 2798| [85] [　]
140: 2801| [45] [サリュの信頼関係が不足していた場合の結末。]
141: 2804| [85] [　]
142: 2807| [45] [ここまでの過程で、サリュの好感度を高めておき、]
143: 2810| [45] [このエンディング直前に入力できるセンシズで、サリュをとても高く設定したら、この結末は回避できたかもしれない。]
