  0:   81| [55] [√Current Chapter3]
  1:  140| [47] [風見]
  2:  143| [45] [「か、はっ……」]
  3:  151| [47] [サリュ]
  4:  154| [45] [「夏彦を解放して。でないとこの女の息の根を止める」]
  5:  159| [47] [夏彦]
  6:  160| [45] [（さ、サリュ！？）]
  7:  168| [47] [渡瀬]
  8:  171| [45] [「やめろ、サリュ！」]
  9:  179| [47] [渡瀬]
 10:  182| [45] [「オレたちは君たちを救いたいだけなんだ！　どうしてそれをわかろうとしない！」]
 11:  187| [45] [殺気を放つサリュに、渡瀬が必死に言い聞かせる。]
 12:  192| [45] [だがサリュは、渡瀬を鋭く睨みつけ――]
 13:  200| [47] [サリュ]
 14:  203| [45] [「だから、見え透いた嘘はやめろと言っている」]
 15:  211| [47] [サリュ]
 16:  214| [45] [「あなたが夏彦を、撃ったくせに」]
 17:  262| [47] [風見]
 18:  265| [45] [「な……今、なにを……！」]
 19:  273| [47] [サリュ]
 20:  276| [45] [「女、あなたは知らなかったの？」]
 21:  284| [47] [風見]
 22:  287| [45] [「嘘、ですよね……？　隊長が、そんな事するはずないですよね……？」]
 23:  295| [47] [渡瀬]
 24:  298| [45] [「…………っ」]
 25:  303| [45] [風見の言葉に、渡瀬がはっと息を呑む。]
 26:  308| [45] [すると、その時――]
 27:  510| [45] [渡瀬の中に、またあの時の記憶が明滅した。]
 28:  515| [47] [夏彦]
 29:  516| [45] [（まずい！　このままだと、渡瀬が記憶を取り戻してしまう可能性が――ッ！）]
 30:  521| [47] [夏彦]
 31:  522| [45] [（どうする！？　ぼくが自分の体に戻って、サリュを説得してみるか！？）]
 32:  527| [47] [夏彦]
 33:  528| [45] [（いや、でも……ッ）]
 34:  533| [47] [夏彦]
 35:  534| [45] [（ついさっきまで瀕死の重体だった体に、いきなり戻って平気なのか！？）]
 36:  539| [47] [夏彦]
 37:  540| [45] [（もし冬眠状態が解けたとたんに、体の容態が悪化したら――！）]
 38:  545| [45] [夏彦がためらっている内に、サリュが風見に向けて言う。]
 39:  553| [47] [サリュ]
 40:  556| [45] [「よく見て。あの男の懐にあるものを」]
 41:  653| [45] [渡瀬の懐にあるもの――それはＮエリアで手に入れた、拳銃だった。]
 42:  677| [47] [サリュ]
 43:  680| [45] [「あれは恐らく、この男の持ち物」]
 44:  688| [47] [サリュ]
 45:  691| [45] [「夏彦はあの銃で撃たれて――」]
 46:  696| [45] [サリュがそう言いかけた時、風見が乱暴にサリュを振り払った。]
 47:  755| [47] [風見]
 48:  758| [45] [「――もう、やめて！」]
 49:  836| [47] [サリュ]
 50:  839| [45] [「！」]
 51:  844| [45] [サリュの体が宙を舞う。]
 52:  849| [47] [夏彦]
 53:  850| [45] [（っ！？）]
 54:  855| [45] [夏彦はその一部始終を、見ている事しかできなかった。]
 55:  867| [45] [サリュはそのまま階段を転がり落ち――]
 56:  874| [45] [地下１階の踊り場で、ぐったりと動かなくなった。]
 57:  879| [47] [夏彦]
 58:  880| [45] [（――サリュ！）]
 59:  990| [45] [渡瀬が慌ててサリュに駆け寄り、容態を確認する。]
 60:  995| [45] [命に別状はなさそうだが、完全に失神しているようだった。]
 61: 1000| [47] [夏彦]
 62: 1001| [45] [（くそ！　ぼくがさっさと体に戻っていれば！）]
 63: 1006| [45] [夏彦が、サリュの説得を急がなかった事を後悔していると――]
 64: 1011| [45] [風見が頼りない足取りで、階段を降りてきた。]
 65: 1037| [47] [風見]
 66: 1040| [45] [「隊長……三ノ宮さんは……？」]
 67: 1048| [47] [渡瀬]
 68: 1051| [45] [「大丈夫、気を失っているだけだ」]
 69: 1077| [47] [風見]
 70: 1080| [45] [「そ、そうですか……」]
 71: 1085| [45] [そう言う風見の体は震えていて、どこか様子が変だった。]
 72: 1090| [45] [風見は渡瀬を見つめて言う。]
 73: 1116| [47] [風見]
