  0:   46| [55] [√After Chapter 3]
  1:   60| [45] [--And so, with Watase now leading them, the group all headed for Area 5.]
  2:   66| [45] [The card slot at the B2 security gate had been incinerated, so they went back up to B1--]
  3:   71| [45] [And opened the door that had remained shut up until now.]
  4:  152| [45] [Watase checked his Procyon as soon as it opened.]
  5:  253| [47] [Watase]
  6:  256| [45] ["Please...!"]
  7:  261| [45] [If it was a contaminated zone, then everything would have been for nothing.]
  8:  266| [45] [However-- the reading was "3451 mSv"-- within the safety standard.]
  9:  290| [47] [Watase]
 10:  293| [45] ["All right, let's go! Hurry up, guys!"]
 11:  357| [47] [Ena]
 12:  360| [45] ["He's right! That security camera footage showed that Mr. Tenkawa and the others ran this way!"]
 13:  365| [45] [Kazami's eyebrows twitched when she heard the survivors' names.]
 14:  392| [47] [Kazami]
 15:  395| [45] ["You are right that there's a high possibility that the survivors are just up ahead..."]
 16:  423| [47] [Jun]
 17:  426| [45] ["Right? Now that we don't have to worry 'bout fires anymore, we can put finding the survivors and AD above all else."]
 18:  431| [45] [Jun's voice also had a trace of hope to it.]
 19:  436| [45] [Though both of them were still recovering from the shock, it seemed that they were slowly returning to normal.]
 20:  441| [47] [Watase]
 21:  442| [45] [(Thank God...)]
 22:  447| [45] [Watase grinned slightly and walked through the connecting passageway--]
 23:  522| [45] [and then entered Area 5.]
 24:  571| [45] [--Area 5, outer ring, B1--]
 25:  577| [45] [The walls and the ceiling were both white, making the place a bright and sanitary block.]
 26:  585| [47] [Watase]
 27:  588| [45] ["Wow, this place is like a whole other world compared to everywhere else we've been..."]
 28:  650| [47] [Ena]
 29:  653| [45] ["Feels kinda like a hospital, doesn't it?"]
 30:  658| [45] [The fact that it was overly clean and had a somewhat cold atmosphere was indeed reminiscent of a hospital.]
 31:  707| [47] [Watase]
 32:  710| [45] ["Hey old man, what do they do here?"]
 33:  718| [47] [Ukita]
 34:  721| [45] ["This is the laboratory section where the 'Senior Fellows'--%Nin other words, the high-leveled researchers-- conduct experiments."]
 35:  747| [47] [Ukita]
 36:  750| [45] ["This division has far more advanced equipment than we 'Junior Fellows'--%Nnormal researchers, that is-- have in our laboratories."]
 37:  838| [47] [Jun]
 38:  841| [45] ["There's a ton of rooms here, so I guess it'd be better if we split up."]
 39:  849| [47] [Kazami]
 40:  852| [45] ["Then how will the teams be divided?"]
 41:  860| [47] [Watase]
 42:  863| [45] ["How about we go with virtually the same formation we used in Area 4?"]
 43:  871| [47] [Watase]
 44:  874| [45] ["Moribe and Teach will be with me. Tachibana will be with the old man and Yuuri..."]
 45:  900| [47] [Kazami]
 46:  903| [45] ["Yes, that works fine."]
 47:  961| [45] [But even though he'd been the one to suggest it, Watase was a bit concerned that Kazami wouldn't be with him.]
 48:  966| [45] [He walked over to her and whispered:]
 49:  974| [47] [Watase]
 50:  977| [45] ["Tachibana... you sure you're okay?"]
 51: 1003| [47] [Kazami]
 52: 1006| [45] ["Do not worry. More importantly than that, please take care of Moribe."]
 53: 1014| [47] [Watase]
 54: 1017| [45] ["... All right. Then we'll search the inner ring."]
 55: 1060| [47] [Kazami]
 56: 1063| [45] ["Roger that. We'll handle the outer ring."]
 57: 1074| [47] [Watase]
 58: 1077| [45] ["Then we'll search the inner ring."]
 59: 1103| [47] [Jun]
 60: 1106| [45] ["Mmm, roger!"]
 61: 1132| [47] [Ena]
 62: 1135| [45] ["Then shall we go?"]
 63: 1140| [45] [Watase's group then headed for the inner ring right away.]
 64: 1259| [45] [--Area 5, inner ring, B1--]
 65: 1337| [45] [Ena started talking to herself in a low voice as they walked down the halls.]
 66: 1391| [47] [Ena]
 67: 1394| [45] ["... The fires are out, so it's a lot easier to search now, but..."]
 68: 1402| [47] [Watase]
 69: 1405| [45] ["Hmm?"]
 70: 1431| [47] [Ena]
 71: 1434| [45] ["I wonder if Mr. Tenkawa and the others are okay."]
 72: 1439| [45] [There was a small ring of impatience in her voice.]
 73: 1444| [45] [Her concern had probably been reignited after having come across yet another body.]
 74: 1473| [47] [Watase]
 75: 1476| [45] ["... So you really are worried about your students, aren't you?"]
 76: 1502| [47] [Ena]
 77: 1505| [45] ["Well of course. The fact that I'm a teacher is part of it... but Mr. Tenkawa and Ms. Toba in particular are dear to me."]
 78: 1513| [47] [Watase]
 79: 1516| [45] ["Sounds like you get along with them really well on a personal level."]
 80: 1542| [47] [Ena]
 81: 1545| [45] ["Indeed. I know a teacher shouldn't have favorites--"]
 82: 1553| [47] [Ena]
 83: 1556| [45] ["But whenever I see those two, all I can think about is what charming kids they are. I think they'd make a cute couple."]
 84: 1561| [45] [It was at that point that Jun cut in.]
 85: 1594| [47] [Jun]
 86: 1597| [45] ["I know what you mean... Natsuhiko and Mashiro are good kids."]
 87: 1605| [47] [Watase]
 88: 1606| [45] [(Still, to think four people have already died here...)]
 89: 1611| [45] [They'd been finding bodies one after another-- it was no wonder that Ena was worried for her students.]
 90: 1616| [45] [Jun then began to show consideration for Ena.]
 91: 1649| [47] [Jun]
 92: 1652| [45] ["I get why you're worried... Natsuhiko and Mashiro are good kids, aren't they?"]
 93: 1678| [47] [Ena]
 94: 1681| [45] ["Yes..."]
 95: 1689| [47] [Watase]
 96: 1692| [45] ["Come to think of it, didn't you say you also knew those kids we saw in the security footage, Moribe?"]
 97: 1718| [47] [Jun]
 98: 1721| [45] ["That's right. We only just met a few days ago, but... we hit it off really well."]
 99: 1726| [45] [But there was something about her choice of words that caught Watase's interest.]
100: 1734| [47] [Watase]
101: 1737| [45] ["Hey, what about the other girl?"]
