  0:  111| [55] [√After Chapter4]
  1:  124| [47] [渡瀬]
  2:  127| [45] [「――ユウリが、いない！」]
  3:  195| [45] [はっとして叫ぶと、皆が振り返った。]
  4:  221| [47] [洵]
  5:  224| [45] [「ほ、ホントだ！　どうして！？」]
  6:  250| [47] [恵那]
  7:  253| [45] [「まさか、また逃げたの！？」]
  8:  279| [47] [風見]
  9:  282| [45] [「ユウリさん！？」]
 10:  325| [45] [風見が驚いてあたりを見回す。]
 11:  408| [45] [渡瀬も振り返り――そして見た。]
 12:  422| [45] [第５エリアのゲートが開き、その向こうにユウリが消えるのを。]
 13:  430| [47] [渡瀬]
 14:  433| [45] [「いた！　第５エリアに行った！」]
 15:  496| [47] [洵]
 16:  499| [45] [「そんな！？　どうやってゲートを――！？」]
 17:  526| [47] [恵那]
 18:  529| [45] [「セキュリティカードを隠し持っていたの！？」]
 19:  557| [47] [風見]
 20:  560| [45] [「いいから追いましょう！」]
 21:  586| [47] [宇喜多]
 22:  589| [45] [「う、うむ！」]
 23:  594| [45] [渡瀬たちは一斉に駆け出した。]
 24:  788| [45] [第５エリア外周棟地下２階。]
 25:  793| [45] [そこに駆け込むなり、風見が言う。]
 26:  872| [47] [風見]
 27:  875| [45] [「我々もはぐれる可能性があります！」]
 28:  901| [47] [風見]
 29:  904| [45] [「見つけても見つからなくても、１０分後に脳科学実験室に集合しましょう！」]
 30:  915| [45] [時計を見て時間を確認する。１２時３１分。]
 31:  923| [47] [渡瀬]
 32:  926| [45] [「わかった！」]
 33:  946| [45] [渡瀬たちはそう答え、散り散りになった。]
 34:  951| [45] [風見と洵はそのまま、第４エリア方面に向かった。他のエリアに逃げられる前に、出口を塞ぐつもりだろう。]
 35: 1005| [45] [恵那と宇喜多は手近な部屋を探す。]
 36: 1010| [45] [そして渡瀬は――内周棟に向かった。]
 37: 1015| [47] [渡瀬]
 38: 1016| [45] [（ユウリは内周棟が汚染区域だと言う事を知らない！）]
 39: 1021| [47] [渡瀬]
 40: 1022| [45] [（もし、そこに逃げていたとしたら――！）]
 41: 1027| [45] [そう思った時、渡瀬の頭の中で声が響いた。]
 42: 1085| [85] [《行け！　彼女を助けろ！》]
 43: 1086| [86] [幻聴]
 44: 1087| [86] [《行け！　彼女を助けろ！》]
 45: 1118| [47] [渡瀬]
 46: 1121| [45] [「！！」]
 47: 1126| [45] [それは久しぶりの幻聴だった。]
 48: 1131| [45] [渡瀬はそれに導かれるように、汚染区域に向かった。]
 49: 1180| [45] [連絡通路を抜け、内周棟に飛び込む。]
 50: 1236| [45] [途端にプロキオンが警告音を鳴らした。]
 51: 1241| [45] [数値は『９３５５ｍＳｖ』だが、それを無視して叫ぶ。]
 52: 1249| [47] [渡瀬]
 53: 1252| [45] [「ユウリ！　どこにいるんだ、ユウリ！」]
 54: 1301| [45] [部屋を片端から開けて探す。ユウリの姿は見えない。]
 55: 1306| [45] [まさかと思って、エレベーターホールに行くと――]
 56: 1371| [45] [彼女がいた。]
 57: 1379| [47] [渡瀬]
 58: 1382| [45] [「ユウリ！」]
 59: 1440| [45] [渡瀬が声をかけると、ユウリはびくっとして振り返った。]
 60: 1503| [47] [ユウリ]
 61: 1506| [45] [「あ……」]
 62: 1538| [47] [ユウリ]
 63: 1541| [45] [「やっぱり……追ってきてくれたんですね……？」]
 64: 1549| [47] [渡瀬]
 65: 1552| [45] [「やっぱりって、そりゃそうだろう！」]
 66: 1560| [47] [渡瀬]
 67: 1563| [45] [「それよりユウリ、ここは危険なんだ！　汚染区域なんだよ！」]
 68: 1568| [45] [渡瀬が言うと、ユウリは困ったような笑みを浮かべた。]
 69: 1594| [47] [ユウリ]
