  0:  147| [55] [√After Chapter 6]
  1:  161| [45] [Watase came to his senses, only to realize he was pinning Salyu down.]
  2:  166| [47] [Watase]
  3:  167| [45] [(Wha...?)]
  4:  172| [45] [The actions he'd taken just now had clearly been etched into him instinctively through training.]
  5:  177| [45] [But they were obviously not skills needed to save lives.]
  6:  182| [47] [Watase]
  7:  183| [45] [(Where did I ever pick up a skill like that..?)]
  8:  188| [45] [Salyu glared up at him, her eyes seething like cold blue flames.]
  9:  193| [45] [Watase shook off the chills running down his spine and tried reasoning with her.]
 10:  201| [47] [Watase]
 11:  204| [45] ["... Why did you attack me?"]
 12:  209| [47] [Salyu]
 13:  210| [45] ["..."]
 14:  218| [47] [Watase]
 15:  221| [45] ["Please tell me! I don't have the slightest idea why!"]
 16:  268| [45] [Salyu's eyes moved just then.]
 17:  273| [45] [Her gaze was now focused on Natsuhiko.]
 18:  281| [47] [Watase]
 19:  284| [45] ["... Wait, was it because you thought I attacked Natsuhiko?"]
 20:  292| [47] [Watase]
 21:  295| [45] ["If that's what it is, then you've got it all wrong!"]
 22:  305| [47] [Watase]
 23:  308| [45] ["I was about to take him to the infirmary before you attacked."]
 24:  316| [47] [Watase]
 25:  319| [45] ["I swear I wasn't going to hurt him more than he already is."]
 26:  324| [45] [Salyu then spoke in a near inaudible voice.]
 27:  374| [47] [Salyu]
 28:  377| [45] ["...top it."]
 29:  385| [47] [Watase]
 30:  388| [45] ["... Huh?"]
 31:  393| [45] [Watase brought his face closer to hers to hear her better.]
 32:  401| [47] [Salyu]
 33:  404| [45] ["Even I can see through your thinly veiled lies. Stop it."]
 34:  412| [47] [Watase]
 35:  415| [45] ["Wha--!? What are you--"]
 36:  420| [45] [But Salyu moved her right hand as fast as lightning before Watase could finish.]
 37:  546| [47] [Watase]
 38:  549| [45] ["Ugh!"]
 39:  554| [45] [She poked him in the eyes, temporarily blinding him.]
 40:  559| [45] [Watase felt Salyu slipping her body out from under him at the same time.]
 41:  564| [47] [Watase]
 42:  565| [45] [(Crap! I've gotta put some distance between us!)]
 43:  570| [45] [Watase had no way of dodging any axe swings at this time.]
 44:  575| [47] [Watase]
 45:  576| [45] [(Shit, shit, shit!)]
 46:  581| [45] [Watase blindly stretched out his hands in the darkness.]
 47:  586| [45] [His left hand came into contact with something.]
 48:  591| [45] [It was the sensation of cloth- a sleeve. Watase grabbed onto it and focused solely on pulling it towards him.]
 49:  599| [47] [Salyu]
 50:  602| [45] ["Ah!"]
 51:  607| [45] [Salyu's gasp echoed through the darkness.]
 52:  612| [45] [Watase kept clutching on to her with his left hand while his right hand remained free.]
 53:  617| [47] [Watase]
 54:  618| [45] [(I have to defeat her right here and now!)]
 55:  623| [45] [Watase's body, spurred on by his ever-growing fear, filled with fierce strength.]
 56:  633| [45] [He reluctantly clenched his hand into a fist so he could knock her unconscious when--]
 57:  691| [85] [{Stop! Don't hurt her!}]
 58:  692| [86] [Auditory Hallucination]
 59:  693| [86] [{Stop! Don't hurt her!}]
 60:  721| [45] [The auditory hallucination showed up again.]
 61:  729| [47] [Watase]
 62:  732| [45] ["!!"]
 63:  737| [45] [Watase came back to his senses and opened his raised fist.]
 64:  742| [45] [He then slipped behind Salyu and locked her into a chokehold.]
 65:  885| [47] [Salyu]
 66:  888| [45] ["L-let me go!"]
 67:  893| [45] [Salyu struggled. Watase's vision hadn't returned yet.]
 68:  898| [47] [Watase]
 69:  899| [45] [(Khh... I'm sorry about this!)]
 70:  924| [45] [Watase mentally apologized to Salyu as he applied pressure to her thin neck.]
 71:  929| [45] [All while being careful not to squeeze it too hard.]
 72:  990| [47] [Salyu]
 73:  993| [45] ["Gah, ack...!"]
 74: 1051| [47] [Salyu]
 75: 1052| [45] ["--..."]
 76: 1072| [45] [All the strength in her body soon faded away.]
 77: 1077| [45] [Watase let out a great big sigh once he'd confirmed this-- then loosened his grip.]
 78: 1092| [45] [His sight soon came back.]
 79: 1097| [45] [He could see Salyu was passed out cold in his grip.]
 80: 1102| [47] [Watase]
 81: 1103| [45] [(Th-that was too close... she really -did- want to kill me...!)]
 82: 1108| [47] [Watase]
 83: 1109| [45] [(But... anyway, what can I do for her now...?)]
 84: 1114| [45] [His head and skin still hurt like hell. His convulsions also hadn't let up.]
 85: 1119| [45] [He didn't know why, but his instincts were screaming that it was too dangerous for him to stay here too long.]
 86: 1127| [47] [Watase]
 87: 1130| [45] ["I've gotta get these two out of here...!"]
 88: 1135| [45] [Watase carried Natsuhiko and Salyu.]
 89: 1164| [45] [--They were heavy.]
 90: 1169| [45] [Watase's body truly was in poor shape if they felt that way to him.]
 91: 1174| [45] [He staggered out of Area N along with Natsuhiko and Salyu.]
 92: 1300| [45] [He left through the same door he'd come through.]
 93: 1305| [45] [And when he made his way out to the connecting passageway--]
 94: 1370| [47] [Kazami]
 95: 1373| [45] ["C-Captain...?"]
 96: 1378| [45] [He found Kazami standing there.]
 97: 1386| [47] [Watase]
 98: 1389| [45] ["!"]
 99: 1415| [47] [Kazami]
100: 1418| [45] ["Thank God... you're all right."]
101: 1426| [47] [Watase]
102: 1429| [45] ["Tachibana... what are you doing here...?"]
103: 1434| [45] [Watase was cautious of Kazami after what had transpired back in the surveillance room.]
104: 1460| [47] [Kazami]
105: 1463| [45] ["Well, umm... I was worried about you, so..."]
106: 1471| [47] [Kazami]
107: 1474| [45] ["So I checked the surveillance cameras and saw you going into Area N...!"]
108: 1500| [47] [Kazami]
109: 1503| [45] ["But... what in the world happened with those two!?"]
110: 1508| [45] [Kazami was looking at Natsuhiko and Salyu with shock.]
111: 1516| [47] [Watase]
112: 1519| [45] ["Oh... you mean Natsuhiko and Salyu. They're unconscious for now."]
113: 1545| [47] [Kazami]
114: 1548| [45] ["Where did you..."]
115: 1556| [47] [Watase]
116: 1559| [45] ["I found Natsuhiko collapsed in Area N."]
117: 1567| [47] [Watase]
118: 1570| [45] ["My guess is that Salyu probably followed me in there..."]
119: 1596| [47] [Kazami]
120: 1599| [45] ["Wait, he was collapsed in Area N...? But isn't that where the burning nuclear reactor is!?"]
121: 1607| [47] [Watase]
122: 1610| [45] ["No... I don't get why either, but..."]
123: 1618| [47] [Watase]
124: 1621| [45] ["There was nothing like that in Area N."]
125: 1647| [47] [Kazami]
126: 1650| [45] ["--Huh!?"]
127: 1655| [45] [That revelation left Kazami speechless.]
