  0:  139| [55] [√Double Chapter2]
  1:  151| [45] [――死体が、消失した。]
  2:  156| [45] [またしても奇妙な現象が起きたと思い、渡瀬は一瞬混乱したが――]
  3:  161| [47] [渡瀬]
  4:  162| [45] [（お、落ち着け……！）]
  5:  167| [47] [渡瀬]
  6:  168| [45] [（単に誰かが別の場所に、死体を運んだだけかもしれないじゃないか）]
  7:  173| [45] [もっともそうだとしても、誰がそんな事をするというのか。]
  8:  298| [45] [風見が？]
  9:  335| [45] [洵が？]
 10:  372| [45] [宇喜多が？]
 11:  393| [45] [それとも――？]
 12:  398| [45] [いくら考えても、渡瀬にはわからなかった。]
 13:  403| [47] [渡瀬]
 14:  404| [45] [（……いや、今はそんな事より……）]
 15:  409| [47] [渡瀬]
 16:  410| [45] [（あのましろって子の捜索と救助を優先しなければ……）]
 17:  430| [45] [渡瀬はそう思い、思考を無理やり打ち切った。]
 18:  436| [45] [リフトのコンパネに駆け寄り、修理を試みる。]
 19:  447| [47] [渡瀬]
 20:  448| [45] [（えーっと、まずこれをここに……）]
 21:  453| [45] [夏彦から渡された部品を、破損部に戻せるか試行錯誤する。]
 22:  458| [47] [渡瀬]
 23:  459| [45] [（いや違うか……こっちの配線が、これと繋がっていて……）]
 24:  464| [47] [渡瀬]
 25:  465| [45] [（これが扉を開くボタンで、こっちが閉じるボタンだから……）]
 26:  522| [45] [ちぎれた配線を手で繋ぎ、ボタンを押すという事を繰り返していると、やがて――]
 27:  576| [47] [渡瀬]
 28:  579| [45] [「……おっ！」]
 29:  584| [45] [コンパネが、電子音を響かせた。]
 30:  596| [45] [続いて、リフトが降りてくる音が聞こえてくる。]
 31:  604| [47] [渡瀬]
 32:  607| [45] [「せ、成功だ！」]
 33:  612| [45] [渡瀬は思わずガッツポーズを取った。]
 34:  617| [47] [渡瀬]
 35:  618| [45] [（あとは『鳥羽ましろ』が、この中に乗っていたらいいが……）]
 36:  623| [47] [渡瀬]
 37:  624| [45] [（ここ以外には、もう探すところはないんだ。頼む、乗っていてくれ……！）]
 38:  769| [45] [そう渡瀬が思った時、リフトが降り切る音がした。]
 39:  814| [45] [そして目の前の扉が開くと、]
 40:  837| [47] [渡瀬]
 41:  840| [45] [「！！」]
 42:  845| [45] [――その中に、少女が１人倒れていた。]
 43:  853| [47] [渡瀬]
 44:  856| [45] [「え……え！？　ちょっとおい！？」]
 45:  861| [45] [渡瀬は動転しながら、彼女に駆け寄る。]
 46:  866| [45] [要救助者がリフトに乗っていたのはいいが――ようやく見つけた彼女は、大怪我をしていたのだ。]
 47:  874| [47] [渡瀬]
 48:  877| [45] [「き、君、大丈夫か！？」]
 49:  885| [47] [？？]
 50:  888| [45] [「……」]
 51:  898| [45] [少女は腕から血を流し、]
 52:  908| [45] [顔は青ざめていた。]
 53:  913| [45] [渡瀬の呼びかけにも反応しない。]
 54:  918| [45] [だが脈と呼吸を確かめると、どちらも弱々しいが、確かにあった。]
 55:  923| [47] [渡瀬]
 56:  924| [45] [（気絶しているのか……！）]
 57:  929| [45] [よく見れば、その顔に見覚えがある。]
 58:  980| [45] [いつか監視ルームで見た映像の中に、夏彦と一緒に映っていた少女――]
 59: 1030| [47] [渡瀬]
 60: 1031| [45] [（間違いない……この子が『鳥羽ましろ』なんだ！）]
 61: 1048| [45] [だが映像の中では無傷だった彼女は、今はほとんど死に掛けているように見える。]
 62: 1053| [47] [渡瀬]
 63: 1054| [45] [（この子に、一体何が……！？）]
 64: 1059| [45] [そう思う渡瀬の脳裏に――]
 65: 1082| [47] [渡瀬]
 66: 1085| [45] [「っ！！」]
 67: 1170| [45] [奇妙な映像が明滅した。]
 68: 1273| [47] [？？]
 69: 1276| [45] [「熱ッ……！」]
 70: 1324| [47] [？？]
