  0:  111| [55] [√After Chapter 4]
  1:  124| [47] [Watase]
  2:  127| [45] ["--Yuuri's gone!"]
  3:  195| [45] [Watase's surprised declaration sent everyone turning around.]
  4:  221| [47] [Jun]
  5:  224| [45] ["Y-you're right! But why!?"]
  6:  250| [47] [Ena]
  7:  253| [45] ["Don't tell me she ran off again!?"]
  8:  279| [47] [Kazami]
  9:  282| [45] ["Ms. Yuuri!?"]
 10:  325| [45] [Kazami frantically looked around.]
 11:  408| [45] [Watase also turned around--]
 12:  422| [45] [--and saw the Area 5 gate open, with Yuuri running through it.]
 13:  430| [47] [Watase]
 14:  433| [45] ["Found her! She headed for Area 5!"]
 15:  496| [47] [Jun]
 16:  499| [45] ["No way!? How'd she get the gate open!?"]
 17:  526| [47] [Ena]
 18:  529| [45] ["Was she hiding a security card on her!?"]
 19:  557| [47] [Kazami]
 20:  560| [45] ["Enough talk, let's go after her!"]
 21:  586| [47] [Ukita]
 22:  589| [45] ["I-indeed!"]
 23:  594| [45] [The group all broke off into a dash at once.]
 24:  788| [45] [Area 5, outer ring, B2.]
 25:  793| [45] [Kazami spoke up to the rest of the group as soon as they all ran in there.]
 26:  872| [47] [Kazami]
 27:  875| [45] ["It's possible that we'll also get separated!"]
 28:  901| [47] [Kazami]
 29:  904| [45] ["Gather in the neuroscience laboratory in ten minutes whether you find her or not!"]
 30:  915| [45] [Watase checked the time on his watch. It said 12:31 PM.]
 31:  923| [47] [Watase]
 32:  926| [45] ["Got it!"]
 33:  946| [45] [The group all gave similar answers and split up.]
 34:  951| [45] [Kazami and Jun kept going straight towards Area 4. They probably planned to seal off the other exits before Yuuri could flee to another area.]
 35: 1005| [45] [Ena and Ukita checked all the nearby rooms.]
 36: 1010| [45] [And so Watase-- headed for the inner ring.]
 37: 1015| [47] [Watase]
 38: 1016| [45] [(I don't think Moribe ever told Yuuri that the inner ring was a contaminated zone!)]
 39: 1021| [47] [Watase]
 40: 1022| [45] [(If she ran there, then that means--!)]
 41: 1027| [45] [Watase's thoughts were interrupted by a voice echoing in his head.]
 42: 1085| [85] [{Go! Save her!}]
 43: 1086| [86] [Auditory Hallucination]
 44: 1087| [86] [{Go! Save her!}]
 45: 1118| [47] [Watase]
 46: 1121| [45] ["!!"]
 47: 1126| [45] [It was the first time in a while he'd heard that auditory hallucination.]
 48: 1131| [45] [Watase headed to the contaminated zone as if guided by the voice.]
 49: 1180| [45] [He ran through the connecting passageway and plunged straight into the inner ring.]
 50: 1236| [45] [His Procyon's alarm immediately started beeping.]
 51: 1241| [45] [The indicator read "9355 mSv", but he ignored it and started shouting.]
 52: 1249| [47] [Watase]
 53: 1252| [45] ["Yuuri! Where are you!? Yuuri!"]
 54: 1301| [45] [He checked every single room in his search, but Yuuri was nowhere to be seen.]
 55: 1306| [45] [To be safe, Watase went to check the elevator hall--]
 56: 1371| [45] [--and that was where he found her.]
 57: 1379| [47] [Watase]
 58: 1382| [45] ["Yuuri!"]
 59: 1440| [45] [Upon hearing Watase's shout, Yuuri twitched with a start and turned around.]
 60: 1503| [47] [Yuuri]
 61: 1506| [45] ["Ah..."]
 62: 1538| [47] [Yuuri]
 63: 1541| [45] ["So you really... did come after me..."]
 64: 1549| [47] [Watase]
 65: 1552| [45] ["What do you mean, 'you really did come after me'?! Of course I did!"]
 66: 1560| [47] [Watase]
 67: 1563| [45] ["Anyway, this place is dangerous! It's a contaminated zone!"]
 68: 1568| [45] [A troubled smile rose to Yuuri's face at those words.]
 69: 1594| [47] [Yuuri]
 70: 1597| [45] ["I see... and yet you came running through it just for me..."]
 71: 1605| [47] [Watase]
 72: 1608| [45] ["... Yuuri?"]
 73: 1613| [45] [Yuuri paid no heed to Watase's confusion and looked him dead in the eye.]
 74: 1621| [47] [Yuuri]
 75: 1624| [45] ["You're always worrying about me like this, aren't you...?"]
 76: 1650| [47] [Yuuri]
 77: 1653| [45] ["But... then why..."]
 78: 1679| [47] [Yuuri]
 79: 1682| [45] ["Why did you do something so horrible to me back then...!?"]
 80: 1690| [47] [Watase]
 81: 1693| [45] ["What!?"]
 82: 1698| [45] [Watase gasped. He had no recollection of ever doing anything of the sort.]
 83: 1706| [47] [Watase]
 84: 1709| [45] ["Wh-what do you mean by 'something so horrible'...!?"]
 85: 1735| [47] [Yuuri]
 86: 1738| [45] ["Do you really not remember...?"]
 87: 1743| [45] [Her voice was filled with some unknown emotion:]
 88: 1769| [47] [Yuuri]
 89: 1772| [45] ["A minute later and I would have died..."]
 90: 1777| [45] [A mixture of confusion and terror.]
 91: 1803| [47] [Yuuri]
 92: 1806| [45] ["I was really scared... when I found myself trapped all alone in that sea of flames..."]
 93: 1811| [45] [Her words were shaking Watase up.]
 94: 1837| [47] [Yuuri]
 95: 1840| [45] ["And yet you were also the one who saved me..."]
 96: 1845| [45] [Watase felt something new gripping his heart--]
 97: 1853| [47] [Yuuri]
 98: 1856| [45] ["What are you trying to do...?"]
 99: 1861| [45] [--An intense fear.]
100: 1869| [47] [Watase]
101: 1872| [45] ["Y-Yuuri... what are you talking about...?"]
102: 1877| [45] [He somehow knew that Yuuri was about to reveal something truly horrifying.]
103: 1882| [45] [Something he didn't know. No, something he -shouldn't- know.]
