  0:  186| [55] [√After Chapter 6]
  1:  193| [47] [Watase]
  2:  196| [45] ["Whoa!"]
  3:  201| [45] [Watase strafed to the side to dodge the sudden swing.]
  4:  206| [45] [He desperately put distance between him and his attacker, then confirmed their identity.]
  5:  211| [45] [Standing there was none other than--]
  6:  264| [47] [Watase]
  7:  267| [45] ["You're--!?"]
  8:  272| [45] [It was "Salyu", the girl who'd run away from him twice now.]
  9:  277| [45] [A light as cold as ice shimmered in the depths of her eyes.]
 10:  282| [45] [Gripped in her hand was a burnt axe.]
 11:  290| [47] [Watase]
 12:  293| [45] ["That axe... it's...!"]
 13:  370| [45] [--It was the one that had been clutched in the hand of his deceased coworker, "Hiyama".]
 14:  416| [45] [The one that had mysteriously disappeared later on.]
 15:  421| [45] [Watase had been wondering this whole time who had taken it, and now--!]
 16:  427| [45] [But they'd left it behind in Area 4. So why did Salyu have it--!?]
 17:  630| [47] [Watase]
 18:  633| [45] ["No way, did you take it...!?"]
 19:  638| [45] [Salyu ignored Watase's question,]
 20:  704| [45] [and charged straight at him again.]
 21:  771| [47] [Watase]
 22:  774| [45] ["Whoa!"]
 23:  779| [45] [She was aiming for Watase's neck.]
 24:  784| [45] [He barely leaned back in time, leaving the axe to slice only through air.]
 25:  789| [45] [The weight of the weapon was throwing her around, causing her to sway forward heavily.]
 26:  846| [47] [Watase]
 27:  847| [45] [(Now!)]
 28:  852| [45] [He immediately grabbed for Salyu.]
 29:  857| [45] [But she swung her leg up a second earlier.]
 30:  983| [47] [Watase]
 31:  986| [45] ["Gah!?"]
 32:  991| [45] [She made use of her centrifugal force to launch a swift kick, connecting solidly with his temple.]
 33:  996| [45] [Watase's brain rattled and his vision grew dark.]
 34: 1001| [45] [Despite that, he still managed to quickly thrust Salyu away.]
 35: 1156| [45] [He then jumped back and put some distance between them again.]
 36: 1205| [45] [He was greeted with a cold look on Salyu's face when his sight came back.]
 37: 1210| [47] [Watase]
 38: 1211| [45] [(Wh... what's she doing...!?)]
 39: 1216| [45] [She attacked without the slightest hesitation using battle techniques that didn't befit a girl of her size and age--]
 40: 1224| [47] [Watase]
 41: 1227| [45] ["Khh...!"]
 42: 1232| [45] [Worse, Watase's headaches and convulsions were only getting stronger.]
 43: 1237| [45] [It was likely he'd die for real if he fought in this condition.]
 44: 1244| [45] [And fighting with the pistol, his first natural choice, was simply not an option here.]
 45: 1249| [47] [Watase]
 46: 1250| [45] [(Dammit... I've got to find a way to subdue her without getting her hurt...!)]
 47: 1256| [45] [Watase hesitated for a moment, wondering if he should take out the pistol in his breast pocket.]
 48: 1261| [47] [Watase]
 49: 1262| [45] [(... No, what am I thinking!? I can't hurt someone else to protect myself!)]
 50: 1267| [45] [Just as he thought that-- he noticed that Salyu's body was faintly trembling.]
 51: 1272| [45] [She was convulsing the same way Watase had been for a while now.]
 52: 1280| [47] [Watase]
 53: 1283| [45] ["H-hey! You wouldn't happen to have a headache too, would you!?"]
 54: 1291| [47] [Salyu]
 55: 1294| [45] ["..."]
 56: 1302| [47] [Watase]
 57: 1305| [45] ["Then get out of here right now!"]
 58: 1313| [47] [Watase]
 59: 1316| [45] ["What good is fighting me if it means putting your body in such extreme danger!?"]
 60: 1321| [45] [Salyu suddenly stopped in what appeared to be surprise.]
 61: 1329| [47] [Salyu]
 62: 1332| [45] ["... That line again."]
 63: 1340| [47] [Watase]
 64: 1343| [45] ["'Again'?"]
 65: 1351| [47] [Salyu]
 66: 1354| [45] ["You said the same thing last time as well."]
 67: 1362| [47] [Watase]
 68: 1365| [45] ["Wh... what!?"]
 69: 1370| [45] [Watase's body froze with surprise and confusion.]
 70: 1375| [47] [Watase]
 71: 1376| [45] [(When was this "last" time!? When did this girl and I--!?)]
 72: 1381| [45] [That moment of confusion left Watase wide open.]
 73: 1437| [45] [Salyu charged at him yet again.]
 74: 1442| [47] [Watase]
 75: 1443| [45] [(Shit!)]
 76: 1448| [45] [I can't hold out next time! I'll be done for!]
 77: 1453| [45] [When Watase thought that-- his body moved on its own.]
 78: 1644| [47] [Watase]
 79: 1645| [45] [(!)]
 80: 1650| [45] [Watase then lowered his body as if he was putting himself into a crouch start for a 100 meter dash.]
 81: 1655| [45] [He filled his legs with strength, then released it all at once and sprung at Salyu.]
 82: 1743| [47] [Salyu]
 83: 1746| [45] ["!?"]
 84: 1751| [45] [Her face was filled with shock.]
 85: 1756| [45] [Watase tackled her with the force of a bullet a second later, hitting her right in the waist.]
 86: 1877| [47] [Salyu]
 87: 1880| [45] ["*cough*!"]
 88: 1885| [45] [The axe slipped out of Salyu's hand as she fell on her back.]
 89: 1890| [45] [Watase used his remaining momentum to straddle her.]
