  0:  395| [55] [√Double Chapter0]
  1:  397| [86] [Blessed is he who, in the name of charity and good will,shepherds the weak through the valley of darkness,]
  2:  398| [86] [for he is truly his brother's keeper and the finder of lost children.]
  3:  399| [86] [(The Old Testament / Ezekiel 25:17)]
  4:  400| [85] [　%N　%N　%N　%N　%N]
  5:  404| [47] [――全ては、この施設の中で起きた出来事だった――]
  6:  449| [47] [悠里]
  7:  452| [45] [「ひっく……ひぐ……」]
  8:  499| [47] [悠里]
  9:  502| [45] [「ど、どうしようひこりん……こわいよぅ……！」]
 10:  510| [47] [夏彦]
 11:  513| [45] [「泣くなって、悠里！　ぼくがなんとかするから！」]
 12:  551| [85] [　%N　%N　%N　%N　%N]
 13:  555| [47] [――９年前、幼い彼が、彼女を必死で救おうとした事も――]
 14:  654| [47] [悠里]
 15:  657| [45] [「……ひこりん、お別れの時が来たよ」]
 16:  695| [85] [　%N　%N　%N　%N　%N]
 17:  699| [47] [――彼女の幻影と、別離の時を迎えた事も。]
 18:  780| [47] [ましろ]
 19:  783| [45] [「……私、夏彦のそばにいられてよかったよ」]
 20:  821| [85] [　%N　%N　%N　%N　%N]
 21:  825| [47] [そしてずっと彼を支えてくれた幼馴染と、心を通わせ――]
 22:  928| [85] [　%N　%N　%N　%N　%N]
 23:  932| [47] [彼女を救うため、命を賭して戦った事も。]
 24: 1011| [47] [夏彦]
 25: 1014| [45] [「逃がすかあッ！！」]
 26: 1022| [47] [渡瀬]
 27: 1025| [45] [「が……はッ……！」]
 28: 1063| [85] [　%N　%N　%N　%N　%N]
 29: 1067| [47] [そして彼は最後の力を振り絞って、悪意に満ちた男を倒し……]
 30: 1170| [85] [　%N　%N　%N　%N　%N]
 31: 1174| [47] [彼らの時は、一度止まった。]
 32: 1323| [85] [　%N　%N　%N]
 33: 1327| [47] [――しかし、それから４８９６秒が経過した後――]
 34: 1335| [47] [時は、また動き出す。]
 35: 1460| [47] [風見]
 36: 1463| [45] [「――……長！」]
 37: 1471| [47] [風見]
 38: 1474| [45] [「……隊長、しっかりして下さい！　隊長！」]
 39: 1482| [47] [洵]
 40: 1485| [45] [「起きなよ隊長！　隊長ってば！」]
 41: 1546| [47] [風見]
 42: 1549| [45] [「あ……！　気がついたのですね！」]
 43: 1557| [47] [渡瀬]
 44: 1560| [45] [「オレは……いったい……？」]
 45: 1598| [85] [　%N　%N　%N　%N　%N]
 46: 1602| [47] [――『レスキュー隊の隊長』という役目を背負い、彼は目覚め――]
 47: 1700| [47] [悠里]
 48: 1703| [45] [「……どうしてそうまでして、わたしを救おうとしたりするんですか？」]
 49: 1711| [47] [渡瀬]
 50: 1714| [45] [「あ、当たり前だろ……オレは、レスキュー隊の、隊長なん、だぜ」]
 51: 1752| [85] [　%N　%N　%N　%N　%N]
 52: 1756| [47] [その役目を全うするため、身を呈して戦った。]
 53: 1859| [85] [　%N　%N　%N　%N　%N]
 54: 1863| [47] [――だがその奮戦の甲斐もなく、幾つもの命が失われ――]
 55: 1966| [85] [　%N　%N　%N　%N　%N]
 56: 1970| [47] [そして救うべき仲間たちにまで、]
 57: 2073| [85] [　%N　%N　%N　%N　%N]
 58: 2077| [47] [彼は牙を剥かれた。]
 59: 2158| [47] [渡瀬]
 60: 2161| [45] [「――オレたちは君たちを救いたいだけなんだ！　どうしてそれをわかろうとしない！」]
 61: 2169| [47] [サリュ]
