  0:   45| [55] [√Before Chapter 6]
  1:   67| [45] [--And soon enough, the taxi stopped.]
  2:   72| [45] [The kids were shocked to see what lay before them as they got down.]
  3:  118| [47] [Natsuhiko]
  4:  121| [45] ["Here!?"]
  5:  126| [45] [It was the PRC, the same institution that they had known to be a Q target since yesterday.]
  6:  131| [45] [An explosion probably happened here. There were shards of glass everywhere. The building was wrecked.]
  7:  136| [45] [Jun's team was apparently already inside fighting fires and saving lives.]
  8:  184| [47] [Natsuhiko]
  9:  187| [45] ["So this place really was being targeted...!"]
 10:  213| [47] [Mashiro]
 11:  216| [45] ["The terrorists have finally sprung into action!"]
 12:  221| [45] [Natsuhiko nodded and looked around.]
 13:  226| [45] [There were onlookers gathered around the building.]
 14:  231| [45] [The crowd of course included staff members who escaped the building as well as policemen and security department people, but--]
 15:  296| [47] [Salyu]
 16:  299| [45] ["The culprit could be in the crowd...!"]
 17:  307| [47] [Natsuhiko]
 18:  310| [45] ["Yeah, the culprit always appears at the scene of the crime, they say."]
 19:  315| [45] [They weren't quite sure of the authenticity of that saying, but that was all they could rely on for now.]
 20:  320| [45] [But it was quite a difficult task to find the culprit since they had no leads.]
 21:  328| [47] [Natsuhiko]
 22:  331| [45] ["Mashiro. Can you search the crowd for the man you saw on the bus two days ago?"]
 23:  357| [47] [Mashiro]
 24:  360| [45] ["Hmm~... In a crowd this big, it's obviously going to be hard. He might not be wearing the same sunglasses, after all."]
 25:  386| [47] [Mashiro]
 26:  389| [45] ["... But maybe we can find him with unconventional methods?"]
 27:  397| [47] [Natsuhiko]
 28:  400| [45] ["Hmm? Like what?"]
 29:  444| [47] [Mashiro]
 30:  447| [45] ["Let's just there's more than one way to use telepathy."]
 31:  452| [45] [Mashiro gave a bold smile as she placed a finger at her temple.]
 32:  478| [47] [Mashiro]
 33:  481| [45] ["The culprit hates Communicators... so let's exploit that hatred."]
 34:  489| [47] [Mashiro]
 35:  492| [45] ["I'll send 'untargeted' telepathy to all the onlookers. You guys watch for anyone whose reaction looks suspicious."]
 36:  500| [47] [Natsuhiko]
 37:  503| [45] ["G-got it!"]
 38:  529| [47] [Salyu]
 39:  532| [45] ["Roger."]
 40:  558| [47] [Mashiro]
 41:  561| [45] ["I apologize for the language in advance, so don't be surprised, okay...? Well, here goes!"]
 42:  614| [45] [And with that, Mashiro closed her eyes--]
 43:  672| [85] [{Hey, you dumbass bomber! You think you got away, stupid?}]
 44:  673| [86] [Mashiro]
 45:  674| [86] [{Hey, you dumbass bomber! You think you got away, stupid?}]
 46:  692| [85] [{You hate Communicators, huh?]
 47:  694| [85] [So why the hell are you watching the fire when one's right behind you!?}]
 48:  695| [86] [Mashiro]
 49:  696| [86] [{You hate Communicators, huh? So why the hell are you watching the fire when one's right behind you!?}]
 50:  730| [45] [The head-splitting telepathy echoed inside their heads.]
 51:  735| [45] [And at the same time, all the onlookers cowered in fear.]
 52:  765| [47] [Natsuhiko]
 53:  766| [45] [(Do anyone's reactions look off!?)]
 54:  771| [45] [Natsuhiko and Salyu darted their eyes around the crowd.]
 55:  776| [45] [People were bewildered. People were looking around. There were various reactions, but--]
 56:  827| [47] [Natsuhiko]
 57:  828| [45] [(!!)]
 58:  833| [45] [But just one person's reaction stood out as different--]
 59:  838| [45] [--The same time Mashiro's telepathy rang out, a man turned and looked behind his shoulder in shock.]
 60:  843| [47] [Natsuhiko]
 61:  844| [45] [(Huh...!?)]
 62:  849| [45] [That man looked familiar to Natsuhiko.]
 63:  854| [45] [His stern face, huge body, and finally his uniform--]
 64:  904| [47] [Natsuhiko]
 65:  907| [45] ["Mashiro, Salyu, it's him!"]
 66:  912| [45] [The girls followed the path of Natsuhiko's finger and their faces stiffened.]
 67:  953| [47] [Salyu]
 68:  956| [45] ["!?"]
 69:  964| [47] [Mashiro]
 70:  967| [45] ["That's...!"]
 71: 1039| [45] [--The very same security guard they ran into when they trespassed into the PRC yesterday.]
 72: 1044| [45] [The words they had heard from Ena earlier that day came to mind.]
 73: 1123| [47] [Ena]
 74: 1126| [45] ["Oftentimes they choose staff members with connections to the target buildings to be the perpetrators."]
 75: 1134| [47] [Ena]
 76: 1137| [45] ["The use of such sleeper agents increases the success rate of their terrorist acts."]
 77: 1243| [45] [A sleeper agent-- that was exactly the answer to the question that had been bugging Natsuhiko since yesterday.]
 78: 1248| [45] [The answer to why the security guard overreacted to what they said back then, too.]
 79: 1253| [45] [The answer to why he had filed a false report to the security department.]
 80: 1258| [47] [Natsuhiko]
 81: 1259| [45] [(It's because -he's- the culprit behind everything!)]
 82: 1264| [45] [The moment he made that realization, he heard the onlookers start a commotion.]
 83: 1269| [47] [Onlooker 1]
 84: 1272| [45] ["What was that telepathy just now...?"]
 85: 1277| [47] [Onlooker 2]
 86: 1280| [45] ["Yeah, she said something about a bomber..."]
 87: 1285| [45] [That's when Mashiro sent in more telepathy.]
 88: 1363| [85] [{Officers! Security department people!]
 89: 1365| [85] [The bomber's that guy who looks like a security guard!}]
 90: 1366| [86] [Mashiro]
 91: 1367| [86] [{Officers! Security department people! The bomber's that guy who looks like a security guard!}]
 92: 1382| [85] [{He's super duper dangerous,]
 93: 1384| [85] [so all you onlookers need to be careful, okay!}]
 94: 1385| [86] [Mashiro]
 95: 1386| [86] [{He's super duper dangerous, so all you onlookers need to be careful, okay!}]
 96: 1420| [45] [The commotion grew even louder.]
 97: 1425| [45] [The security guard in question became quite uncomfortable and tried to slip his way out of the crowd of onlookers.]
 98: 1433| [47] [Natsuhiko]
