  0:  172| [55] [√Before Chapter 7]
  1:  180| [47] [Natsuhiko]
  2:  183| [45] ["Wha!?"]
  3:  206| [45] [Natsuhiko fell to the ground as if a rug had been pulled from under him.]
  4:  219| [45] [He heard something shatter by his wrist.]
  5:  224| [45] [But the roaring sounds kept coming.]
  6:  390| [47] [Mashiro]
  7:  393| [45] ["Kyaah!"]
  8:  398| [45] [Mashiro screamed from beside him.]
  9:  563| [47] [Salyu]
 10:  566| [45] ["Ghh...!"]
 11:  571| [45] [They could feel tremors coming through from the floor.]
 12:  743| [47] [Security Guard 2]
 13:  746| [45] ["Wh... what was that sound?"]
 14:  751| [45] [The security guard muttered in shock.]
 15:  756| [45] [The kids were well aware of what it was.]
 16:  800| [47] [Salyu]
 17:  803| [45] ["... Explosions? Several of them...!?"]
 18:  811| [47] [Mashiro]
 19:  814| [45] ["N-Natsuhiko, could this be...!?"]
 20:  819| [45] [Natsuhiko gritted his teeth at those words.]
 21:  827| [47] [Natsuhiko]
 22:  830| [45] ["Yeah, it is..."]
 23:  835| [45] [He endured the pain to stand up and wring words out of his lungs.]
 24:  843| [47] [Natsuhiko]
 25:  846| [45] ["... We didn't make it in time."]
 26:  851| [45] [His words were drowned out by the shrill shriek of an alarm.]
 27:  867| [47] [Automatic PA]
 28:  870| [45] ["--Intense tremors detected in B1 Area 1."]
 29:  875| [47] [Automatic PA]
 30:  878| [45] ["--Intense tremors detected in B2 Area 3."]
 31:  883| [47] [Automatic PA]
 32:  886| [45] ["--A fire has broken out in B1 Area 2."]
 33:  891| [47] [Automatic PA]
 34:  894| [45] ["--Intense tremors detected in B2 Area 2."]
 35:  899| [45] [The automatic disaster prevention system rang out a flurry of warning broadcasts.]
 36:  904| [45] [A mechanical, robotic voice. An unending stream of fragmentary information.]
 37:  909| [45] [But regardless, everyone could tell that an unprecedented crisis was upon this facility.]
 38:  914| [47] [Natsuhiko]
 39:  915| [45] [(--It's the same as nine years ago!)]
 40:  920| [47] [Natsuhiko]
 41:  921| [45] [(This same alarm, these same warnings rang out back then too--!)]
 42:  926| [45] [The moment Natsuhiko made that realization, another memory came back.]
 43: 1036| [47] [Automatic PA]
 44: 1039| [45] ["--A fire has broken out in B1 Area 2."]
 45: 1044| [47] [Automatic PA]
 46: 1047| [45] ["--A fire has broken out in B2 Area 3."]
 47: 1052| [47] [Automatic PA]
 48: 1055| [45] ["--A fire has broken out in B1 Area 5."]
 49: 1060| [45] [Natsuhiko and Yuuri heard those warnings as they stood in front of the iron door.]
 50: 1068| [47] [Natsuhiko]
 51: 1071| [45] ["Wh-what!? What happened!?"]
 52: 1134| [47] [Yuuri]
 53: 1137| [45] ["A fire...! Oh no, there's a fire down below!"]
 54: 1145| [47] [Natsuhiko]
 55: 1148| [45] ["A fire down below!?"]
 56: 1153| [45] [As Natsuhiko yelled, the automatic announcement continued.]
 57: 1158| [47] [Automatic PA]
 58: 1161| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 59: 1166| [47] [Automatic PA]
 60: 1169| [45] ["All personnel, please calmly evacuate to the surface levels."]
 61: 1271| [47] [Natsuhiko]
 62: 1272| [45] [(--So that's it!)]
 63: 1277| [45] [Back then, it was just a fire alarm, but the situation was similar.]
 64: 1282| [45] [Once Natsuhiko made the connection, he heard the same announcement as he did nine years ago.]
 65: 1287| [47] [Automatic PA]
 66: 1290| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 67: 1295| [47] [Automatic PA]
 68: 1298| [45] ["All personnel, please calmly evacuate to the surface levels."]
 69: 1303| [45] [And at the same time, the iron door opened up further down the entrance.]
 70: 1430| [45] [--And in the same way, the iron door opened up nine years ago.]
 71: 1438| [47] [Natsuhiko]
 72: 1441| [45] ["A fire down below...? But Mom's down there...!"]
 73: 1467| [47] [Yuuri]
 74: 1470| [45] ["Wh-what do we do, Hikorin...!?"]
 75: 1478| [47] [Natsuhiko]
 76: 1481| [45] ["I... I gotta go save her!"]
 77: 1489| [47] [Natsuhiko]
 78: 1492| [45] ["Wait right here, Yuuri!"]
 79: 1497| [45] [Natsuhiko yelled that command as he rushed through to the other side of the door.]
 80: 1609| [47] [Natsuhiko]
 81: 1612| [45] ["I gotta go... Or else things will take a turn for the worse!"]
 82: 1617| [45] [Natsuhiko tried to run off, but the security guard grabbed his arm.]
 83: 1622| [47] [Security Guard 2]
 84: 1625| [45] ["Hold on a second, kid! Whaddaya mean for the worse!?"]
 85: 1633| [47] [Natsuhiko]
 86: 1636| [45] ["Officer, this isn't the time for you to mind us!"]
 87: 1641| [47] [Security Guard 2]
 88: 1644| [45] ["What!?"]
 89: 1652| [47] [Natsuhiko]
 90: 1655| [45] ["This is a terrorist attack! Call the police and the fire department immediately!"]
 91: 1660| [47] [Security Guard 2]
 92: 1663| [45] ["T-terrorist attack!? No way--...!?"]
 93: 1719| [45] [Natsuhiko shook off the confused security guard's arm and dashed off.]
 94: 1724| [47] [Natsuhiko]
 95: 1725| [45] [(The terrorists had the sleeper agent cause a commotion in the facility so that the gates would open!)]
 96: 1730| [47] [Natsuhiko]
 97: 1731| [45] [(At this rate, it's just a repeat of what happened nine years ago-- No, something far worse!)]
 98: 1764| [47] [Mashiro]
 99: 1767| [45] ["Wait, Natsuhiko, where are you going!?"]
100: 1775| [47] [Natsuhiko]
101: 1778| [45] ["To the basement!"]
102: 1811| [47] [Salyu]
103: 1814| [45] ["The basement? But the explosions--"]
104: 1822| [47] [Natsuhiko]
105: 1825| [45] ["You two stay here. No matter what happens, don't you dare move from this spot!!"]
106: 1890| [45] [Saying just that much, Natsuhiko plunged toward the iron door.]
107: 2006| [45] [He searched for a nearby staircase and ran down.]
108: 2110| [45] [As he descended the staircase, he heard the screams of LABO staff members off in the distance.]
109: 2115| [47] [Researcher 1]
110: 2118| [45] ["W-what happened!?"]
111: 2123| [47] [Researcher 2]
112: 2126| [45] ["I don't know! Were those explosions...?"]
113: 2131| [47] [Researcher 3]
114: 2134| [45] ["Explosions!? In -this- facility!?"]
115: 2139| [45] [The basement floors were already engulfed in dreadful chaos.]
116: 2144| [45] [Nobody seemed to know what was going on.]
117: 2175| [47] [Natsuhiko]
118: 2176| [45] [(Where are the terrorists!? Where did they set the bombs!?)]
119: 2190| [45] [As he looked around with that in mind,]
120: 2198| [47] [Natsuhiko]
121: 2201| [45] ["!?"]
122: 2239| [45] [he noticed Mashiro and Salyu right behind him.]
123: 2247| [47] [Natsuhiko]
124: 2250| [45] ["Wh... what are you doing!? Why did you come down here!?"]
125: 2276| [47] [Mashiro]
126: 2279| [45] ["We should ask you the same thing! Where do you think you're going all by yourself!?"]
127: 2287| [47] [Salyu]
128: 2290| [45] ["It's dangerous to go alone!"]
129: 2298| [47] [Natsuhiko]
130: 2301| [45] ["I know, I know! But--"]
131: 2306| [45] [As soon as Natsuhiko began to speak,]
132: 2311| [45] [another memory of the past came to him--!]
133: 2418| [45] [--It was the same back then.]
134: 2423| [45] [Yuuri had followed him even though he had told her to wait for him.]
135: 2485| [47] [Natsuhiko]
136: 2488| [45] ["Yuuri, you can't come! There's a fire, you know!?"]
137: 2496| [47] [Yuuri]
138: 2499| [45] ["I-I want to save the professor too, okay...!"]
139: 2525| [47] [Yuuri]
140: 2528| [45] ["I don't want to sit by and wait while you and the professor are in danger, okay!"]
141: 2536| [47] [Natsuhiko]
142: 2539| [45] ["...!"]
143: 2544| [45] [Yuuri sounded somehow different from usual.]
144: 2549| [45] [That was the first time he had heard such a powerful voice from her.]
145: 2554| [45] [So the Natsuhiko of nine years ago--]
146: 2562| [47] [Natsuhiko]
147: 2565| [45] ["... Okay..."]
148: 2570| [45] [--ended up answering that way.]
149: 2578| [47] [Natsuhiko]
150: 2581| [45] ["Then let's go together! Let's both save Mom!"]
151: 2607| [47] [Yuuri]
152: 2610| [45] ["Yeah!"]
153: 2747| [47] [Natsuhiko]
154: 2748| [45] [(--Why is everything repeating itself!?)]
155: 2753| [45] [It didn't seem like a mere coincidence, but something tinged with fate.]
156: 2758| [47] [Natsuhiko]
157: 2759| [45] [(What happened after we went down nine years ago!?)]
158: 2764| [45] [When he tried to remember, he was struck by another intense headache.]
159: 2798| [47] [Natsuhiko]
160: 2801| [45] ["Oww!"]
161: 2827| [47] [Salyu]
162: 2830| [45] ["Natsuhiko, do you have a headache again!?"]
163: 2838| [47] [Natsuhiko]
164: 2841| [45] ["Gh... guh, uuuuuuggh...!"]
165: 2867| [47] [Mashiro]
166: 2870| [45] ["Are you okay, Natsuhiko!? Hang in there!"]
167: 2904| [47] [Natsuhiko]
168: 2907| [45] ["..."]
169: 2912| [45] [The headache made him nauseous.]
170: 2917| [45] [Each time he tried to invoke his memory, he was struck by this pain.]
171: 2922| [47] [Natsuhiko]
172: 2923| [45] [(Damn... it...! Is my desire not to remember really that bad!?)]
173: 2928| [47] [Natsuhiko]
174: 2929| [45] [(It should be obvious to me what happened after that, shouldn't it!?)]
175: 2934| [45] [He got caught in the fire with Yuuri and almost died.]
176: 2939| [47] [Natsuhiko]
177: 2940| [45] [(But there's no way I can yield to that fear...!)]
178: 2945| [45] [The moment that thought crossed his mind, he heard another explosion from nearby.]
179: 3010| [47] [All 3]
180: 3013| [45] ["!?"]
181: 3098| [45] [Natsuhiko promptly covered Mashiro and Salyu.]
182: 3103| [45] [One second later, a blazing wind shot by,]
183: 3111| [47] [Natsuhiko]
184: 3114| [45] ["Aghh!!"]
185: 3191| [45] [and the kids were blown away.]
186: 3299| [47] [Broadcast]
187: 3302| [45] ["Heightened readings confirmed in Area N...! Emergency shutdown system has been initiated!"]
188: 3310| [47] [Broadcast]
189: 3313| [45] ["All personnel, including those in the Area N control room, please evacuate to the surface levels immediately!"]
190: 3338| [47] [Natsuhiko]
191: 3341| [45] ["Ghh...!"]
192: 3349| [47] [Natsuhiko]
193: 3352| [45] ["A-are you two okay!?"]
194: 3357| [45] [They slowly got up after having fallen on top of each other.]
195: 3391| [47] [Salyu]
196: 3394| [45] ["... Y... yeah..."]
197: 3428| [47] [Mashiro]
198: 3431| [45] ["I-I'm okay...!"]
199: 3436| [45] [The two groaned, but they appeared to be uninjured.]
200: 3441| [47] [Natsuhiko]
201: 3442| [45] [(Thank goodness...!)]
202: 3447| [45] [Though relieved, Natsuhiko searched for the origin of the explosion.]
203: 3452| [45] [The explosion sounded like it came from the direction of the staircase they just descended--]
204: 3460| [47] [Natsuhiko]
205: 3463| [45] ["--No way!?"]
206: 3468| [45] [Natsuhiko gasped and dashed for the staircase.]
207: 3517| [45] [But,]
208: 3615| [47] [Natsuhiko]
209: 3618| [45] ["... Dammit!"]
210: 3623| [45] [what was waiting for them was the collapsed ruins of a staircase.]
211: 3631| [47] [Mashiro]
212: 3634| [45] ["They destroyed the staircase!?"]
213: 3642| [47] [Salyu]
214: 3645| [45] ["But there wasn't anyone here, so how...!?"]
215: 3653| [47] [Natsuhiko]
216: 3656| [45] ["Dammit, this is all their doing!"]
217: 3661| [45] [It was the very same trick they used at the PRC.]
218: 3666| [45] [The sleeper agent carried in a time bomb and set it in the facility-- and probably not just one bomb, but several.]
219: 3671| [47] [Natsuhiko]
220: 3672| [45] [(They've destroyed the exit...! We're trapped in the basement!)]
221: 3680| [47] [Salyu]
222: 3683| [45] ["How could the situation have gotten this bad...?"]
223: 3785| [47] [Mashiro]
224: 3788| [45] ["What do we do, Natsuhiko!?"]
225: 4000| [45] [Natsuhiko gritted his teeth and looked at his watch.]
226: 4005| [45] [He wanted to know how just how much time they had left--]
227: 4013| [47] [Natsuhiko]
228: 4016| [45] ["Ah..."]
229: 4021| [45] [But his watch had broken before he realized it.]
230: 4026| [45] [Apparently it had slammed onto the floor when the first explosion knocked him over.]
231: 4031| [45] [The watch's date had stopped at 9/16. Its hands at 6:19.]
232: 4036| [45] [A time he'd likely never forget for the rest of his life.]
233: 4089| [47] [Natsuhiko]
234: 4090| [45] [(If only we had gotten here just a little bit sooner...!)]
235: 4095| [45] [But even if they were late, there was still meaning in their arrival.]
236: 4208| [45] [Natsuhiko tried to walk off unsteadily, but Mashiro grabbed his hand.]
237: 4216| [47] [Mashiro]
238: 4219| [45] ["Hold it, Natsuhiko! Where do you think you're going in a crisis like this!?"]
239: 4227| [47] [Natsuhiko]
240: 4230| [45] ["I'm gonna find those bastards...!"]
241: 4256| [47] [Salyu]
242: 4259| [45] ["--Wait, Natsuhiko, you don't mean!?"]
243: 4267| [47] [Natsuhiko]
244: 4270| [45] ["... I'm gonna put an end to their plan. I can still do something--"]
245: 4311| [47] [Mashiro]
246: 4314| [45] ["No, you can't! Natsuhiko, calm down!"]
247: 4322| [47] [Natsuhiko]
248: 4325| [45] ["Why!? You agreed that we should come here, didn't you, Mashiro!?"]
249: 4351| [47] [Mashiro]
250: 4354| [45] ["The situation's completely changed! It's too late now!"]
251: 4362| [47] [Natsuhiko]
252: 4365| [45] ["It's never too late! I'm sure I can still make it!"]
253: 4391| [47] [Natsuhiko]
254: 4394| [45] ["Besides, even if we do run, it's not gonna change anything! So in that case--"]
255: 4464| [45] [The moment those words left his lips, a sharp pain ran through his cheek.]
256: 4471| [45] [Mashiro had slapped him.]
257: 4479| [47] [Natsuhiko]
258: 4482| [45] ["...!"]
259: 4490| [47] [Mashiro]
260: 4493| [45] ["Do you want to suffer another loss that badly...!?"]
261: 4498| [45] [Those words gouged out Natsuhiko's heart.]
262: 4588| [45] [--And then, another roar rang out.]
263: 4596| [47] [Natsuhiko]
264: 4599| [45] ["!?"]
265: 4625| [47] [Salyu]
266: 4628| [45] ["Another explosion... where...?"]
267: 4654| [47] [Mashiro]
268: 4657| [45] ["Please, Natsuhiko. Let's get out of here already!"]
269: 4662| [45] [Mashiro's pleading voice caused Natsuhiko's heart to waver.]
270: 4667| [45] [--The current situation was progressing as if it were following the incident nine years ago to a tee.]
271: 4672| [45] [Natsuhiko didn't want to repeat the same mistakes he made that time.]
272: 4677| [45] [He didn't want any of the people precious to him to suffer again--]
273: 4682| [45] [Holding those convictions in his heart, he forced himself to speak.]
274: 4690| [47] [Natsuhiko]
275: 4693| [45] ["... Okay. Let's look for a way out of here first...!"]
276: 4731| [45] [Mashiro and Salyu's faces relaxed in relief at those words.]
277: 4739| [47] [Natsuhiko]
278: 4742| [45] ["I'll lead the way. Salyu, you take the rear."]
279: 4750| [47] [Natsuhiko]
280: 4753| [45] ["... Let's work under the assumption that we will come across the terrorists."]
281: 4779| [47] [Salyu]
282: 4782| [45] ["Roger."]
283: 4808| [47] [Mashiro]
284: 4811| [45] ["O-okay."]
285: 5011| [45] [The three of them ran off with tense looks in their faces.]
286: 5092| [45] [As they ran, Natsuhiko glanced at his broken watch.]
287: 5097| [45] [At the only present he ever received from his mother.]
288: 5102| [47] [Natsuhiko]
289: 5103| [45] [(... There's something I need to do before I escape.)]
290: 5108| [45] [His mother was likely still inside the facility.]
291: 5113| [47] [Natsuhiko]
292: 5114| [45] [(We were too late to stop the terrorist attack, but at the very least, I want to ensure an escape route for Mashiro, Salyu, and...)]
293: 5119| [45] [And his mother.]
294: 5124| [45] [That was Natsuhiko's earnest wish.]
295: 5235| [47] [Natsuhiko]
296: 5238| [45] ["Let's look for another staircase! There has to be a safe one somewhere!"]
297: 5264| [47] [Mashiro]
298: 5267| [45] ["Do you know the layout of the facility!?"]
299: 5275| [47] [Natsuhiko]
300: 5278| [45] ["No, I obviously can't remember all the details--"]
301: 5304| [47] [Salyu]
302: 5307| [45] ["Then we should look into it first. It's dangerous to run blindly without an escape plan."]
303: 5312| [45] [And with that, Salyu dashed into a nearby room.]
304: 5574| [45] [It was a laboratory devoid of any people.]
305: 5674| [45] [Salyu looked for a computer that was left on and connected Alice to it.]
306: 5682| [47] [Natsuhiko]
307: 5685| [45] ["Salyu, what are you doing!?"]
308: 5778| [47] [Salyu]
309: 5781| [45] ["I'm looking up a map of the facility. Though I'm not sure if there is one."]
310: 5808| [47] [Salyu]
311: 5811| [45] ["Alice, start command."]
312: 5819| [47] [Salyu]
313: 5822| [45] ["Search all networked files."]
314: 5830| [47] [Salyu]
315: 5833| [45] ["Search with high priority on terms synonymous with 'map' and 'chart' and with lower priority on 'facility', 'LABO' and 'lab'."]
316: 5841| [47] [Salyu]
317: 5844| [45] ["Check for password protected files and folders and access them."]
318: 5852| [47] [Salyu]
319: 5855| [45] ["Download all relevant files. End command."]
