  0:   51| [55] [√After Chapter 5]
  1:   55| [45] [Watase suddenly felt that he had to say something to Kazami.]
  2:   60| [45] [And at that moment-- a memory abruptly resurfaced in his mind.]
  3:  149| [47] [Kazami]
  4:  152| [45] ["H-how does it look?"]
  5:  178| [47] [Kazami]
  6:  181| [45] ["It's been ages since I last wore a skirt... It... doesn't look weird, does it?"]
  7:  189| [47] [Watase]
  8:  192| [45] ["Not at all. It looks really good on you, Kazami."]
  9:  306| [47] [Watase]
 10:  309| [45] ["Wha... what was that memory!?"]
 11:  314| [45] [It'd only been for a second-- but he'd seen himself with Kazami in what appeared to be a park.]
 12:  322| [47] [Kazami]
 13:  325| [45] ["? Did you remember something?"]
 14:  333| [47] [Watase]
 15:  336| [45] ["Well... for some reason, I remembered you wearing a skirt..."]
 16:  384| [47] [Kazami]
 17:  387| [45] ["--Huh!?"]
 18:  395| [47] [Kazami]
 19:  398| [45] ["Could that memory be...!?"]
 20:  406| [47] [Watase]
 21:  409| [45] ["What is it, Tachibana? You know what it was?"]
 22:  417| [47] [Watase]
 23:  420| [45] ["Tell me, what was that memory about?"]
 24:  428| [47] [Kazami]
 25:  431| [45] ["W-well..."]
 26:  439| [47] [Watase]
 27:  442| [45] ["Please! This could the key to unlocking more memories, right?"]
 28:  487| [45] [Kazami started blushing for some reason when she heard Watase's heartfelt plea--]
 29:  495| [47] [Kazami]
 30:  498| [45] ["Why did -that- have to be the one thing you remembered!?"]
 31:  506| [47] [Kazami]
 32:  509| [45] ["That's... that just doesn't feel fair!"]
 33:  517| [47] [Watase]
 34:  520| [45] ["Huh? What do you mean by...?"]
 35:  525| [45] [But at that moment-- Watase turned around in shock.]
 36:  591| [45] [The dark monitor next to him was reflecting his face.]
 37:  649| [45] [He recognized that face. It was the same as the one he'd seen in the photo in Kazami's locket.]
 38:  700| [47] [Watase]
 39:  701| [45] [(N-no way...)]
 40:  746| [47] [Watase]
 41:  747| [45] [(Then that means that memory was...!)]
 42:  759| [47] [Watase]
 43:  762| [45] ["H... hey, Tachibana, were we..."]
 44:  770| [47] [Watase]
 45:  773| [45] ["... going out with each other?"]
 46:  778| [45] [When Watase said that, Kazami--]
 47:  852| [47] [Kazami]
 48:  855| [45] ["... We used to."]
 49:  860| [45] [Confirmed his guess.]
 50:  868| [47] [Watase]
 51:  871| [45] ["'Used to'... then what about now?"]
 52:  879| [47] [Kazami]
 53:  882| [45] ["We broke up a while back."]
 54:  890| [47] [Watase]
 55:  893| [45] ["... I see."]
 56:  898| [45] [Watase had no clue as to what he should say.]
 57:  906| [47] [Kazami]
 58:  909| [45] ["You saw that photo in my locket, right?"]
 59:  917| [47] [Watase]
 60:  920| [45] ["... Yeah."]
 61:  928| [47] [Kazami]
 62:  931| [45] ["The reason your picture is still in there... is just because I can't find the time to take it out, that's all..."]
 63:  936| [45] [Watase didn't press her on that rather flimsy excuse.]
 64:  941| [45] [He decided to ask another question instead.]
 65:  949| [47] [Watase]
 66:  952| [45] ["... Why did we ever break up?"]
 67:  957| [47] [Kazami]
 68:  958| [45] ["..."]
 69:  966| [47] [Kazami]
 70:  969| [45] ["... You and I are very similar."]
 71:  977| [47] [Kazami]
 72:  980| [45] ["It was that part that drew us to each other, but the fact that we were -too- much alike meant that it got too painful for us to be together for long."]
 73:  988| [47] [Kazami]
 74:  991| [45] ["... That's probably why."]
 75:  999| [47] [Watase]
 76: 1002| [45] ["I see..."]
 77: 1007| [45] [Now that he thought about it, Kazami had mentioned something like that way back then.]
 78: 1012| [45] [She'd said that he was an "intellectual rescue worker who always made rational decisions no matter what the crisis".]
 79: 1017| [45] [That described Kazami perfectly, so it seemed they really were a lot alike.]
 80: 1025| [47] [Watase]
 81: 1028| [45] ["But man... I must have been a real dumbass to break up with you."]
 82: 1036| [47] [Kazami]
 83: 1039| [45] ["Huh?"]
 84: 1047| [47] [Watase]
 85: 1050| [45] ["Women as good as you are only come by once in a lifetime, after all."]
 86: 1055| [45] [Those words came instinctively flowing to his mouth straight from the bottom of his heart.]
 87: 1103| [47] [Kazami]
 88: 1106| [45] ["Wh... why are you saying that...?"]
 89: 1114| [47] [Watase]
 90: 1117| [45] ["Huh...? Was that weird?"]
 91: 1125| [47] [Kazami]
 92: 1128| [45] ["I mean... it doesn't sound like anything you'd ever say."]
 93: 1136| [47] [Kazami]
 94: 1139| [45] ["You would never talk that way at all..."]
 95: 1147| [47] [Watase]
 96: 1150| [45] ["... Maybe losing my memories made me a bit more honest?"]
 97: 1158| [47] [Watase]
 98: 1161| [45] ["If that's the case, maybe getting amnesia wasn't such a bad thing after all."]
 99: 1209| [47] [Kazami]
100: 1212| [45] ["No, never say that, not even as a joke...!"]
101: 1220| [47] [Watase]
102: 1223| [45] ["Yeah, I was just kidding. But you know--"]
103: 1231| [47] [Watase]
104: 1234| [45] ["I was being totally serious when I said you were a good woman."]
105: 1242| [47] [Watase]
106: 1245| [45] ["You've saved my life more times than I can count, and you're reliable to a fault."]
107: 1253| [47] [Watase]
108: 1256| [45] ["You're strong, surprisingly kind, and you even show a cute side from time to time..."]
109: 1264| [47] [Watase]
110: 1267| [45] ["... In all honesty, it makes me want to regret that we ever broke up."]
111: 1272| [47] [Kazami]
112: 1273| [45] ["..."]
113: 1328| [47] [Kazami]
114: 1331| [45] ["I'm... very happy... to hear you say that... but..."]
115: 1339| [47] [Kazami]
116: 1342| [45] ["Right now... we need to worry about escaping this place."]
117: 1350| [47] [Watase]
118: 1353| [45] ["R-right."]
119: 1358| [45] [Watase's face tensed up when he said that.]
120: 1363| [45] [He decided to push all that sentimentalism off to a far corner of his heart for now.]
121: 1371| [47] [Watase]
122: 1374| [45] ["... Then I'd better get back to searching now."]
123: 1382| [47] [Kazami]
124: 1385| [45] ["Oh, then I'll come along too."]
