  0:  105| [55] [√Before Chapter 6]
  1:  116| [45] [Natsuhiko gasped and looked back.]
  2:  121| [45] [There was a single man walking on the other side of the street.]
  3:  126| [45] [He was covering his face with a jacket hood and sunglasses even though it was nighttime.]
  4:  134| [47] [Natsuhiko]
  5:  137| [45] ["--Mashiro, Salyu. That man...!"]
  6:  142| [45] [Mashiro and Salyu looked at the man after Natsuhiko whispered to them.]
  7:  147| [45] [The man was tall, and they could tell he was quite muscular even through his jacket.]
  8:  152| [45] [There was a strange intensity about him as well.]
  9:  194| [47] [Natsuhiko]
 10:  197| [45] ["Is that the man who was on the bus...?"]
 11:  205| [47] [Mashiro]
 12:  208| [45] ["M-Maybe... At least he looks like he has the same build."]
 13:  234| [47] [Salyu]
 14:  237| [45] ["He's coming this way...!"]
 15:  296| [45] [The man walked straight towards them, never looking to either side. ]
 16:  301| [47] [Natsuhiko]
 17:  302| [45] [(What if he's a terrorist--!?)]
 18:  307| [45] [The fact that he was approaching without hiding or running away probably meant that he had business with them.]
 19:  312| [45] [The fact that he wasn't on guard meant--]
 20:  317| [47] [Natsuhiko]
 21:  318| [45] [(He could be armed...)]
 22:  323| [47] [Natsuhiko]
 23:  324| [45] [(Don't tell me he's here to silence us...!?)]
 24:  329| [45] [Natsuhiko promptly put himself on guard.]
 25:  335| [45] [If the man wasn't a terrorist, he'd just walk past them.]
 26:  340| [45] [The man stopped about 50 m away from the kids, but then--]
 27:  351| [45] [--he suddenly made a mad dash at them.]
 28:  416| [47] [Salyu]
 29:  419| [45] ["!!"]
 30:  427| [47] [Natsuhiko]
 31:  430| [45] ["Mashiro, Salyu, let's get out of here!"]
 32:  456| [47] [Mashiro]
 33:  459| [45] ["Y-yeah!"]
 34:  464| [45] [Natsuhiko turned back and tried to run.]
 35:  469| [45] [--But on the other side of the road was just a single straight path continuing on forever.]
 36:  474| [45] [It was not a distance he could run while taking Mashiro with him.]
 37:  482| [47] [Natsuhiko]
 38:  485| [45] ["This way! Turn to the side road!"]
 39:  490| [45] [In a daze, Natsuhiko dragged Mashiro and Salyu into the side road.]
 40:  544| [45] [They ran down the unpaved road.]
 41:  549| [45] [They could tell the man was following them.]
 42:  554| [45] [They made a desperate run for their life in the darkness with nary a streetlight.]
 43:  562| [47] [Natsuhiko]
 44:  565| [45] ["...!"]
 45:  570| [45] [Soon enough, Natsuhiko realized something: this street was familiar.]
 46:  575| [47] [Natsuhiko]
 47:  576| [45] [(This path leads to--!)]
 48:  581| [45] [That's right. It should lead to the ruined factory.]
 49:  586| [45] [He didn't know if taking refuge in those ruins would be a blessing or a curse.]
 50:  591| [45] [But he knew that if they kept running, their chances of escaping were low.]
 51:  599| [47] [Natsuhiko]
 52:  602| [45] ["This way, guys!"]
 53:  607| [45] [Natsuhiko shouted and rushed into the ruined factory.]
 54:  660| [47] [Natsuhiko]
 55:  663| [45] ["Haah, haah...!"]
 56:  696| [47] [Mashiro]
 57:  699| [45] ["Whew...!"]
 58:  732| [47] [Salyu]
 59:  735| [45] ["...!"]
 60:  740| [45] [They tried to catch their breath as quietly as they could.]
 61:  776| [45] [And with stealthy steps, they hid under cover.]
 62:  781| [45] [As they held their breath, they heard Mashiro using telepathy.]
 63:  856| [85] [{... You think we'll be okay if we hide here...?}]
 64:  857| [86] [Mashiro]
 65:  858| [86] [{... You think we'll be okay if we hide here...?}]
 66:  886| [45] [Natsuhiko and Salyu answered her in a whisper.]
 67:  894| [47] [Natsuhiko]
 68:  897| [45] ["... I don't know. Hopefully he overlooks this ruined factory and passes it by..."]
 69:  923| [47] [Salyu]
 70:  926| [45] ["We can't be optimistic. If he does come here--"]
 71:  952| [47] [Salyu]
 72:  955| [45] ["I'll stall him with a surprise attack."]
 73:  960| [45] [Mashiro quietly gasped at those words.]
 74: 1035| [85] [{A surprise attack? You're gonna attack that huge a man?}]
 75: 1036| [86] [Mashiro]
 76: 1037| [86] [{A surprise attack? You're gonna attack that huge a man?}]
 77: 1068| [47] [Salyu]
 78: 1071| [45] ["There should be no problem as long as he doesn't have any hand-to-hand combat skills."]
 79: 1097| [47] [Salyu]
 80: 1100| [45] ["Even if he is trained in hand-to-hand combat or he's armed, I'll be able to manage if I take him by surprise."]
 81: 1108| [47] [Natsuhiko]
 82: 1111| [45] ["... Will you really be okay?"]
 83: 1137| [47] [Salyu]
 84: 1140| [45] ["I will... as long as he's alone, that is."]
 85: 1145| [47] [Natsuhiko]
 86: 1146| [45] [(Then what if he's not alone!?)]
 87: 1157| [45] [As soon as that thought crossed Natsuhiko's mind, he heard footsteps outside the factory.]
 88: 1183| [47] [Natsuhiko]
 89: 1186| [45] ["!"]
 90: 1191| [45] [Natsuhiko shrunk down and held his breath.]
 91: 1196| [45] [The footsteps slowly came into the factory.]
 92: 1201| [45] [The number of footsteps revealed--]
 93: 1206| [45] [--that he was alone.]
 94: 1281| [85] [{He seems to be alone... Can you manage?}]
 95: 1282| [86] [Mashiro]
 96: 1283| [86] [{He seems to be alone... Can you manage?}]
 97: 1329| [45] [Salyu silently nodded.]
 98: 1386| [85] [{Should we help?}]
 99: 1387| [86] [Mashiro]
100: 1388| [86] [{Should we help?}]
101: 1434| [45] [Salyu silently shook her head.]
102: 1509| [85] [{You can do it by yourself...?}]
103: 1510| [86] [Mashiro]
104: 1511| [86] [{You can do it by yourself...?}]
105: 1557| [45] [Salyu nodded and smiled. As if to tell Mashiro to relax.]
106: 1586| [45] [... The footsteps drew closer.]
107: 1591| [45] [So close they could almost feel the man's breath.]
108: 1596| [45] [Salyu slowly calculated her timing--]
109: 1625| [45] [--and jumped out of her cover.]
110: 1673| [47] [Man]
111: 1676| [45] ["!?"]
112: 1895| [45] [Salyu's shadow danced in the darkness.]
113: 1900| [45] [They could hear the man gasp.]
114: 1918| [47] [Salyu]
115: 1921| [45] ["Shah!!"]
116: 1926| [45] [Salyu moved faster than the man could ready himself--]
117: 1997| [45] [--and landed a roundhouse kick solidly on his head.]
118: 2142| [47] [Man]
119: 2145| [45] ["...!"]
120: 2150| [45] [The man silently fell to the floor.]
121: 2158| [47] [Natsuhiko]
122: 2161| [45] ["Y-you did it!"]
123: 2169| [47] [Mashiro]
124: 2172| [45] ["Amazing! Way to go, Salyu!"]
125: 2177| [45] [Salyu looked away, as if embarrassed by Natsuhiko and Mashiro's praise.]
126: 2185| [47] [Salyu]
127: 2188| [45] ["... More importantly, who is this man?"]
128: 2196| [47] [Natsuhiko]
129: 2199| [45] ["Judging by the circumstances, he seems like a terrorist, but..."]
130: 2207| [47] [Salyu]
131: 2210| [45] ["Should we wait until he wakes up and ask him?"]
132: 2218| [47] [Natsuhiko]
133: 2221| [45] ["No... that seems too dangerous."]
134: 2229| [47] [Natsuhiko]
135: 2232| [45] ["Mashiro, can you read his mind with empathy?"]
136: 2240| [47] [Mashiro]
137: 2243| [45] ["Hmm, I don't know... I've never tried reading the mind of an unconscious person before."]
138: 2251| [47] [Mashiro]
139: 2254| [45] ["But I'll try it out."]
140: 2262| [47] [Natsuhiko]
141: 2265| [45] ["Yeah, I'll try too."]
142: 2270| [45] [Natsuhiko and Mashiro put their fingers to their brows.]
143: 2275| [45] [They concentrated their consciousnesses on the fainted man and focused deeply on the desire to read his mind.]
144: 2280| [47] [Natsuhiko]
145: 2281| [45] [(Tell me... Who are you?)]
146: 2286| [47] [Natsuhiko]
147: 2287| [45] [(Are you really a terrorist!?)]
148: 2292| [45] [He focused on that question with all his heart. All his mind.]
149: 2298| [45] [He deepened his concentration and eventually his five senses faded.]
150: 2413| [47] [Natsuhiko]
151: 2414| [45] [(... Yes, that's the sensation... I've activated empathy!)]
152: 2419| [45] [The moment he made that realization, his lost senses were replaced--]
153: 2424| [45] [With the sound of a bizarre voice.]
154: 2638| [85] [{--...--...h ...--... u--...---}]
155: 2639| [86] [Man]
156: 2640| [86] [{--...--...h ...--... u--...---}]
157: 2668| [45] [But the voice was nothing but the unintelligible vestiges of thought.]
158: 2725| [85] [{...--...--.. i--...--..--}]
159: 2726| [86] [Man]
160: 2727| [86] [{...--...--.. i--...--..--}]
161: 2755| [45] [He only heard fragments of noise.]
162: 2760| [45] [No matter how carefully he searched, the result was the same.]
163: 2765| [47] [Natsuhiko]
164: 2766| [45] [(Dammit, I can't figure out anything like this...)]
165: 2771| [47] [Natsuhiko]
166: 2772| [45] [(I guess it really doesn't work, huh? Can't exactly "open your heart" if you're conked out.)]
167: 2890| [45] [Natsuhiko stopped concentrating and spoke to Mashiro.]
168: 2898| [47] [Natsuhiko]
169: 2901| [45] ["Mashiro, how's it going on--"]
170: 2906| [45] [Natsuhiko gasped before he could finish.]
171: 2911| [45] [Mashiro was standing stock still with her eyes peeled wide open.]
172: 2952| [47] [Mashiro]
173: 2955| [45] ["N-Natsuhiko...!"]
174: 2963| [47] [Natsuhiko]
175: 2966| [45] ["!?"]
176: 2971| [45] [He gasped and traced Mashiro's gaze--]
177: 3103| [45] [--only to see two unfamiliar men suddenly standing there in the darkness.]
