  0:   51| [55] [√Current Chapter2]
  1:   68| [47] [夏彦]
  2:   69| [45] [（………………）]
  3:   74| [45] [罠、爆弾、発砲、不発――。]
  4:   79| [45] [立て続けに起こった出来事に、夏彦は茫然としていた。]
  5:  162| [45] [そこへ洵と宇喜多が、続けざまに駆けて来る。]
  6:  188| [47] [洵]
  7:  191| [45] [「あっ、隊長！　それに椿山さんも！」]
  8:  317| [47] [宇喜多]
  9:  320| [45] [「妙な音が聞こえたが、何があったのかね！？」]
 10:  326| [45] [渡瀬がはっとして恵那の手元を見ると、そこには黒光りする拳銃がある。]
 11:  373| [47] [宇喜多]
 12:  376| [45] [「つ、椿山さん……！」]
 13:  384| [47] [洵]
 14:  387| [45] [「拳銃っ！？　そ、それどうしたの！？」]
 15:  419| [45] [だが夏彦の驚きは、彼らの比ではなかった。]
 16:  424| [47] [夏彦]
 17:  425| [45] [（なんで……先生が銃なんか……？？？）]
 18:  430| [45] [恵那に対する疑惑が、急速に濃くなってきた。]
 19:  512| [45] [――彼女は夏彦たちが協力を求めに行ったあの時、力になってはくれなかった。]
 20:  517| [45] [ましろは『先生は心を開いていない』と言っていた。]
 21:  522| [45] [だが、だからと言って夏彦が恵那を嫌いになったかというと、それは違う。]
 22:  527| [45] [夏彦にとって恵那は、時に優しく、時に厳しく、時に愛嬌を持って接してくれる――そんな『いい先生』だったのだ。]
 23:  532| [45] [その恵那が今、その手に拳銃を持っている。]
 24:  537| [45] [夏彦の、全く知らない恵那がそこにいた。]
 25:  547| [47] [夏彦]
 26:  548| [45] [（先生は……何者なんだ？）]
 27:  553| [45] [そう思った途端、あの凄惨な情景が蘇る。]
 28:  784| [47] [夏彦]
 29:  785| [45] [（い、いや、違う！　先生が犯人のわけはない！）]
 30:  790| [45] [そう思う夏彦をよそに、宇喜多たちが恵那を追及する。]
 31:  816| [47] [宇喜多]
 32:  819| [45] [「どういうことだね！？　どうして君がそんな物を持っているのかね！？」]
 33:  845| [47] [洵]
 34:  848| [45] [「そうだよ！　あんた教師じゃなかったの！？」]
 35:  874| [47] [恵那]
 36:  877| [45] [「ちょっと待って、みんな誤解しているわ！」]
 37:  903| [47] [恵那]
 38:  906| [45] [「この拳銃は私の持ち物なんかじゃないの、このラボで拾ったものよ！」]
 39:  911| [45] [それは言い訳のように聞こえたが、渡瀬は『信じよう』とみんなに言った。]
 40:  937| [47] [洵]
 41:  940| [45] [「え……信じちゃうの？」]
 42:  948| [47] [渡瀬]
 43:  951| [45] [「証明できないんだからしょうがないだろ」]
 44:  956| [45] [やがて渡瀬の提案で、恵那の拳銃は分解され、渡瀬以外の３人が別々に保管する事になった。]
 45:  961| [45] [だがそれでも夏彦のわだかまりが解けることはない。]
 46: 1134| [47] [夏彦]
 47: 1135| [45] [（……先生……）]
 48: 1140| [45] [渡瀬たちがサリュを追って第６エリアへ移動する中、夏彦の心には、どこか寂しい風が吹いていた。]
