  0:   49| [55] [√Current Chapter2]
  1:   60| [45] [その後渡瀬たちは、ユウリの捜索をいったん切り上げ、第５エリアの『脳科学実験室』に集った。]
  2:  173| [47] [恵那]
  3:  176| [45] [「――私は地下２階を探していたんだけど、どこにもいなかったわ」]
  4:  184| [47] [宇喜多]
  5:  187| [45] [「僕もだ、が……」]
  6:  195| [47] [風見]
  7:  198| [45] [「……やはり、見失ってしまいましたか……」]
  8:  285| [45] [沈んだ顔で報告し合う皆を見ながら、夏彦は思う。]
  9:  290| [47] [夏彦]
 10:  291| [45] [（結果的に彼女の逃走を手助けしちゃったけど……本当にあれで良かったのか？）]
 11:  296| [47] [夏彦]
 12:  297| [45] [（でも……あの時は、他にやりようがなかったわけだし）]
 13:  302| [45] [夏彦はそうして自分を納得させながら、実験室内に意識を向けた。]
 14:  307| [45] [そこに並ぶ設備を見ているうち、ふとある疑問が浮かび上がってくる。]
 15:  312| [47] [夏彦]
 16:  313| [45] [（……妙だな……）]
 17:  318| [47] [夏彦]
 18:  319| [45] [（こういう研究所の実験って、普通マウスとか使うもんじゃないか？）]
 19:  324| [47] [夏彦]
 20:  325| [45] [（なのにどうしてここには、人間用の設備ばかりがそろってるんだ……？）]
 21:  340| [45] [そんな事を考えている夏彦をよそに――宇喜多が急に、渡瀬を追及し始めた。]
 22:  366| [47] [宇喜多]
 23:  369| [45] [「――だいたい君は、どうして地下に降りてきたんだね？　なぜ記憶を失った？」]
 24:  377| [47] [渡瀬]
 25:  380| [45] [「そ、それは……」]
 26:  406| [47] [宇喜多]
 27:  409| [45] [「外傷による記憶喪失は、時間とともに回復するのが常だ。なのにいつまで経っても回復しない……妙ではないかね？」]
 28:  435| [47] [洵]
 29:  438| [45] [「……宇喜多さん……何か言いたい事があるの？」]
 30:  465| [47] [宇喜多]
 31:  468| [45] [「あるとも。それは――隊長さんの記憶喪失は、嘘なのではないかという事だよ」]
 32:  530| [47] [風見]
 33:  533| [45] [「そ、そんな！　なぜそんな嘘をつく必要があるんですか！？」]
 34:  559| [47] [宇喜多]
 35:  562| [45] [「何か隠したい事があるから……そう思ったのさ」]
 36:  588| [47] [宇喜多]
 37:  591| [45] [「いや、実を言ってしまえば、僕は最初からそう睨んでいたんだ」]
 38:  596| [47] [夏彦]
 39:  597| [45] [（おじさん、急にどうしたんだ！？　ユウリがいなくなったとたん、渡瀬を糾弾し始めるなんて！？）]
 40:  602| [47] [夏彦]
 41:  603| [45] [（おじさんは渡瀬の仲間じゃないって事か！？）]
 42:  608| [45] [そんな事を考えていると、渡瀬が宇喜多に反論した。]
 43:  616| [47] [渡瀬]
 44:  619| [45] [「お、オレは何も悪い事はしていない！　たとえ記憶がなかろうと――」]
 45:  645| [47] [宇喜多]
 46:  648| [45] [「ならばその潔白を、証明してくれたまえ！」]
 47:  653| [45] [全員の疑惑の眼が、渡瀬へと突き刺さる。]
 48:  658| [45] [宇喜多の主張には、それだけ説得力があった。]
 49:  663| [47] [夏彦]
 50:  664| [45] [（でも……このまま疑いが強まれば、渡瀬はどうなってしまうんだ？）]
 51:  669| [47] [夏彦]
 52:  670| [45] [（もしみんなに縛られでもしたら、ぼくの行動も制限されることになるんだぞ？）]
 53:  675| [47] [夏彦]
 54:  676| [45] [（それに――）]
 55:  968| [47] [夏彦]
 56:  969| [45] [（――万が一にもおじさんが、全員を殺した殺人犯だったとしたら……！）]
 57:  974| [47] [夏彦]
 58:  975| [45] [（テロリスト同士の仲間割れが、この施設の中で起こってるとしたら！）]
 59:  980| [45] [だとすれば、渡瀬はいずれ宇喜多に殺されるかもしれない。]
 60:  985| [45] [そうなれば恐らく、夏彦の魂も消滅する事になるだろう。]
 61:  990| [47] [夏彦]
 62:  991| [45] [（ど、どうする……？　今の渡瀬じゃ、おじさんの疑惑をかわせそうにないぞ）]
 63:  996| [47] [夏彦]
 64:  997| [45] [（いったんこいつの記憶を復活させてみるか？）]
 65: 1002| [47] [夏彦]
 66: 1003| [45] [（……いや、ダメだ！　そんなことしたら、それこそ殺人鬼の復活じゃないか！）]
 67: 1008| [47] [夏彦]
 68: 1009| [45] [（じゃあ、いったいどうすれば……！？）]
 69: 1014| [47] [夏彦]
 70: 1015| [45] [（今のぼくにできること……今のぼくにできることは……）]
 71: 1020| [45] [そう思った時、ふと数日前の授業を思い出した。]
 72: 1108| [47] [恵那]
 73: 1111| [45] [「……つまるところＢＣってのは、脳と脳の直接的コミュニケーションなの」]
 74: 1119| [47] [恵那]
 75: 1122| [45] [「例えばテレパシーは、脳の聴覚を司る場所に、『実際に音を聞いた時と同じ反応』を与えるのね」]
 76: 1208| [47] [ましろ]
 77: 1211| [45] [「つまり、一種の錯覚なんですよね？」]
 78: 1263| [47] [恵那]
 79: 1266| [45] [「そうね。でも脳が『認識』するという事は、そもそも錯覚的なのかもしれないわよ」]
 80: 1292| [47] [恵那]
 81: 1295| [45] [「という事は理論上、働きかけられるのは聴覚だけじゃない……ＢＣの可能性は無限なのよ」]
 82: 1437| [47] [夏彦]
 83: 1438| [45] [（そうか……！）]
 84: 1443| [47] [夏彦]
 85: 1444| [45] [（もし聴覚以外にも、脳に錯覚を起こさせることができるとしたら……！）]
 86: 1449| [45] [聴覚だけではなく、視覚も、触覚も、時間の感覚も――ひいては認識そのものも。]
 87: 1454| [45] [それはつまり、記憶の改竄。脳の中に虚構を１つ作り上げるという事だ。]
 88: 1477| [47] [夏彦]
 89: 1478| [45] [（や、やれるか……！？）]
 90: 1483| [47] [夏彦]
 91: 1484| [45] [（いや、やるしかない！）]
 92: 1489| [45] [夏彦は瞬時に精神を集中し、渡瀬の意識に潜り込んだ。]
 93: 1649| [45] [時間が現実世界よりも、ゆるやかに流れているのがわかる。]
 94: 1654| [47] [夏彦]
 95: 1655| [45] [（えぇと……要は、渡瀬がレスキュー隊員として活動していた事を証明できればいいんだから……）]
 96: 1660| [45] [夏彦は手始めに、そこに自分の記憶を投影してみた。]
 97: 1775| [47] [夏彦]
 98: 1778| [45] [「あなたたちは……？」]
 99: 1783| [47] [テロリスト１]
100: 1786| [45] [「我々はラボから要請を受け、救助活動に来たレスキュー隊だ」]
101: 1794| [47] [ましろ]
102: 1797| [45] [「レスキュー隊！？」]
103: 1802| [47] [テロリスト１]
