  0:  105| [55] [√Before Chapter6]
  1:  116| [45] [夏彦ははっとして、振り返った。]
  2:  121| [45] [道の向こうから、男が１人歩いてくる。]
  3:  126| [45] [夜だと言うのにサングラスをかけ、パーカーのフードを目深に被った男が。]
  4:  134| [47] [夏彦]
  5:  137| [45] [「――ましろ、サリュ。あの男……！」]
  6:  142| [45] [夏彦がささやくと、ましろとサリュも男を見た。]
  7:  147| [45] [背は高く、パーカー越しでも、かなりの筋肉質である事がわかる。]
  8:  152| [45] [どこか異様な迫力を持った男だった。]
  9:  194| [47] [夏彦]
 10:  197| [45] [「バスの中にいた男か……？」]
 11:  205| [47] [ましろ]
 12:  208| [45] [「そ、そうかも……少なくとも体格は似てるよ」]
 13:  234| [47] [サリュ]
 14:  237| [45] [「近づいてくる……！」]
 15:  296| [45] [男が脇目も振らず、真っ直ぐ歩いてくるのを見て、夏彦は危機感を覚えた。]
 16:  301| [47] [夏彦]
 17:  302| [45] [（もしあいつがテロリストだとしたら――！？）]
 18:  307| [45] [逃げ隠れせず姿を現したところを見ると、夏彦たちに用があるのだろう。]
 19:  312| [45] [警戒している様子でもない、という事は――]
 20:  317| [47] [夏彦]
 21:  318| [45] [（武装している可能性がある……）]
 22:  323| [47] [夏彦]
 23:  324| [45] [（まさかぼくらの口を、塞ぎにきたのか……！？）]
 24:  329| [45] [夏彦はとっさに身構えた。]
 25:  335| [45] [テロリストなどでなければ、このまま通り過ぎてくれるはずだ。]
 26:  340| [45] [だが男は、夏彦たちの５０ｍほど先で立ち止まったかと思うと――]
 27:  351| [45] [突然、夏彦たち目掛けて走り出した。]
 28:  416| [47] [サリュ]
 29:  419| [45] [「ッ！！」]
 30:  427| [47] [夏彦]
 31:  430| [45] [「ましろ、サリュ、逃げるぞ！」]
 32:  456| [47] [ましろ]
 33:  459| [45] [「う、うん！」]
 34:  464| [45] [夏彦は踵を返し、駆け出そうとした。]
 35:  469| [45] [――だが、道の反対側は、どこまでも続く一本道だった。]
 36:  474| [45] [ましろを連れて逃げられる距離ではない。]
 37:  482| [47] [夏彦]
 38:  485| [45] [「こっちだ！　わき道に入れ！」]
 39:  490| [45] [夏彦は無我夢中で、ましろたちをわき道に引きずり込んだ。]
 40:  544| [45] [そのまま未舗装の道路を走る。]
 41:  549| [45] [男が追ってくる気配がある。]
 42:  554| [45] [街灯もない闇の中、夏彦たちは必死で走った。]
 43:  562| [47] [夏彦]
 44:  565| [45] [「……！」]
 45:  570| [45] [やがて夏彦は気付いた。この道に見覚えがある事に。]
 46:  575| [47] [夏彦]
 47:  576| [45] [（この道の先には――！）]
 48:  581| [45] [そうだ、あの廃工場があるはずだ。]
 49:  586| [45] [そこに逃げ込むことが、吉と出るか凶と出るかはわからない。]
 50:  591| [45] [だがこのままでは追いつかれてしまう可能性が大だ。]
 51:  599| [47] [夏彦]
 52:  602| [45] [「２人とも、こっちだ！」]
