  0:  112| [55] [√After Chapter1]
  1:  116| [45] [その一言が、彼の背中を押した。]
  2:  121| [47] [男]
  3:  122| [45] [（オレがあの子を助けるんだ！）]
  4:  127| [45] [決意を胸に、男は火炎満ちる部屋に飛び込んだ。]
  5:  267| [47] [男]
  6:  270| [45] [「ぐっ！」]
  7:  275| [45] [だが部屋に入るなり、彼は立ち往生した。]
  8:  280| [45] [焦げ付くような熱波が、彼の歩みを止める。]
  9:  329| [45] [すぐそこに例の少女がいるのだが、そこまで行くのも難しい。]
 10:  334| [45] [その時、すぐ傍で声がした。]
 11:  421| [47] [女隊員]
 12:  424| [45] [「なにやってんの隊長！」]
 13:  429| [45] [いつのまにかさっきの女が、彼を追って部屋に入ってきていた。]
 14:  437| [47] [男]
 15:  440| [45] [「あ、い、いやその……」]
 16:  445| [45] [そう言いかけた時――]
 17:  468| [47] [男]
 18:  471| [45] [「熱ッ！」]
 19:  476| [45] [頭に酷い熱を感じた。]
 20:  481| [45] [一瞬後に、不快な臭いが――]
 21:  486| [47] [男]
 22:  487| [45] [（髪が燃えてる！？）]
 23:  492| [45] [それが彼のパニックを誘った。]
 24:  515| [47] [男]
 25:  518| [45] [「うわっ！　ああっ！　くそっ！　くそっ！」]
 26:  523| [45] [男は頭をバタバタと叩いて、火を消そうとする。]
 27:  549| [47] [女隊員]
 28:  552| [45] [「隊長、なにそんな素人みたいなこと……！？」]
 29:  578| [47] [女隊員]
 30:  581| [45] [「副隊長、隊長の様子が変だよ！？」]
 31:  589| [47] [副隊長]
 32:  592| [45] [「いま、放水援護を――！」]
 33:  625| [45] [部屋の外で声が響き、続いて放水が来た。]
 34:  651| [45] [水が霧のように、室内に満ちる。]
 35:  656| [45] [だが男の頭の火は消えず、彼は恐慌に陥った。]
 36:  668| [47] [男]
 37:  671| [45] [「くそ！　消えろ、消えろ！」]
 38:  680| [45] [少女の救助の事など、もう頭から消えていた。]
 39:  689| [45] [思い余った彼は、放水を直接浴びて火を消そうとする。]
 40:  698| [45] [しかし、放水の射線上に入った瞬間――]
 41:  752| [47] [男]
 42:  755| [45] [「がっ！」]
 43:  760| [45] [水の勢いに、弾き飛ばされた。]
 44:  808| [47] [男]
 45:  811| [45] [「ッ！！！」]
 46:  816| [45] [男は仰向けに倒れこみ、後頭部を打った。]
 47:  824| [47] [男]
 48:  827| [45] [「ぐっ……」]
 49:  883| [45] [急速に目の前が暗くなる。]
 50:  900| [47] [副隊長]
 51:  903| [45] [「ああ！　隊長！」]
 52:  917| [45] [遠くで誰かの声が聞こえる。]
 53:  934| [47] [副隊長]
 54:  937| [45] [「隊長、どうしてこんな……！」]
 55:  951| [45] [その声もすぐに遠ざかる。]
 56:  965| [47] [男]
 57:  966| [45] [（な、なんだこれ……これで終わりか？）]
 58:  980| [47] [男]
 59:  981| [45] [（なんて、マヌケな………―――）]
 60:  998| [45] [――それが彼の、最後の思考となった。]
 61: 1086| [85] [　%N　%N　%N]
 62: 1089| [45] [√A バッドエンド1【己を知らぬ者】]
 63: 1092| [85] [　]
 64: 1095| [45] [女隊員の警告を無視してしまった場合の結末。]
 65: 1098| [85] [　]
 66: 1101| [45] [このエンディング直前に入力できるセンシズで、主人公よりも女隊員を高く設定したら、この結末は回避できたかもしれない。]
