  0:   66| [55] [√After Chapter 6]
  1:   73| [47] [Watase]
  2:   76| [45] ["...!"]
  3:   81| [45] [Kazami's pained statement was absolutely correct.]
  4:   86| [45] [But Watase couldn't accept that.]
  5:   91| [47] [Watase]
  6:   92| [45] [(... Moribe and I are buddies...)]
  7:   97| [47] [Watase]
  8:   98| [45] [(Even though she doubts me and thinks I've betrayed her trust...)]
  9:  103| [47] [Watase]
 10:  104| [45] [(There's no way in hell I could let myself run away from her!)]
 11:  109| [45] [Watase steeled himself and turned to Kazami.]
 12:  117| [47] [Watase]
 13:  120| [45] ["Tachibana... take care of those kids."]
 14:  146| [47] [Kazami]
 15:  149| [45] ["!? What are you thinking!?"]
 16:  157| [47] [Watase]
 17:  160| [45] ["I'm gonna bet all or nothing on persuading her! Don't follow me, you hear!?"]
 18:  165| [45] [Watase left Natsuhiko in Kazami's capable hands--]
 19:  170| [45] [And leapt out from the shadow of the passageway.]
 20:  254| [47] [Watase]
 21:  257| [45] ["Moribe!"]
 22:  265| [47] [Jun]
 23:  268| [45] ["!!"]
 24:  274| [45] [Jun's body shook with a start.]
 25:  279| [45] [She gripped the engine cutter firmly and stared at Watase.]
 26:  328| [47] [Jun]
 27:  331| [45] ["... Captain."]
 28:  339| [47] [Watase]
 29:  342| [45] ["Moribe, what do you think you're doing with that thing?"]
 30:  350| [47] [Jun]
 31:  353| [45] ["What, you ask...?"]
 32:  361| [47] [Jun]
 33:  364| [45] ["You're asking me that...?"]
 34:  372| [47] [Watase]
 35:  375| [45] ["...!"]
 36:  383| [47] [Watase]
 37:  386| [45] ["Moribe... were you the one who broke the door to that office?"]
 38:  391| [47] [Jun]
 39:  392| [45] ["..."]
 40:  397| [45] [Watase took her silence as a "yes".]
 41:  402| [45] [He could tell that a look of sorrow was forming on his face.]
 42:  407| [47] [Watase]
 43:  408| [45] [(... Goddammit.)]
 44:  413| [45] [The Jun who was prowling the facility while muttering curses and wielding a tool of destruction-- she seemed like a totally different person from the Jun he knew.]
 45:  418| [45] [The Jun who kept on running around and doing her best in spite of her small stature.]
 46:  423| [45] [The Jun who plunged right into the contaminated zone alongside him without any concern for her own safety.]
 47:  428| [45] [The Jun who chose this line of work in order to save people in spite of the wounds she carried on her heart and back from Nagisa's death--]
 48:  433| [47] [Watase]
 49:  434| [45] [(So why...!?)]
 50:  442| [47] [Watase]
 51:  445| [45] ["Why the hell... do you need to carry that thing around!?"]
 52:  450| [45] [Jun gave Watase a sad smile after she heard his shouts.]
 53:  458| [47] [Jun]
 54:  461| [45] ["... You see, Captain, it just hit me all of a sudden."]
 55:  469| [47] [Jun]
 56:  472| [45] ["You can't protect everyone in this screwed-up place without getting your hands dirty."]
 57:  480| [47] [Jun]
 58:  483| [45] ["So I'll...!"]
 59:  491| [47] [Watase]
 60:  494| [45] ["Stop it! That's not the right way!"]
 61:  499| [45] [Watase walked up to Jun.]
 62:  504| [45] [Her face froze over at that action.]
 63:  558| [47] [Jun]
 64:  561| [45] ["Captain! Stay back!"]
 65:  569| [47] [Jun]
 66:  572| [45] ["I don't trust you either! I won't be able to stop myself if you get any closer!"]
 67:  590| [47] [Watase]
 68:  593| [45] ["Shut up! If you're gonna kill me, then do it already!"]
 69:  598| [45] [Resolution filled Jun's eyes. Watase was just 5 m away from her.]
 70:  603| [45] [Watase took another step forward. Just then, Kazami shouted from behind.]
 71:  611| [47] [Kazami]
 72:  614| [45] ["Captain, it's too dangerous! Fall back!"]
 73:  629| [45] [The resolution in Jun's eyes wavered. Just 3 m left.]
 74:  634| [45] [Watase then slipped right past the engine cutter--]
 75:  639| [45] [Then leapt at Jun.]
 76:  700| [47] [Jun]
 77:  703| [45] ["--!!"]
 78:  819| [45] [Jun gasped.]
 79:  824| [45] [Watase embraced her.]
 80:  832| [47] [Jun]
 81:  835| [45] ["H... huh?"]
 82:  843| [47] [Watase]
 83:  846| [45] ["What's wrong? Aren't you going to kill me...?"]
 84:  854| [47] [Watase]
 85:  857| [45] ["I'd be fine with it if you were the one who ended up killing me."]
 86:  865| [47] [Jun]
 87:  868| [45] ["...!"]
 88:  873| [45] [Jun's body froze right up.]
 89:  923| [47] [Jun]
 90:  926| [45] ["Are you being serious...?"]
 91:  934| [47] [Watase]
 92:  937| [45] ["Half-serious, yeah. But--"]
 93:  945| [47] [Watase]
 94:  948| [45] ["But I believe that you're not that kind of woman."]
 95:  956| [47] [Jun]
 96:  959| [45] ["You believe in me? On what grounds?"]
 97:  967| [47] [Jun]
 98:  970| [45] ["You don't know a thing about me."]
 99:  978| [47] [Watase]
100:  981| [45] ["Yes I do. You're my buddy-- my partner who's always got my back."]
101:  989| [47] [Watase]
102:  992| [45] ["I trust you even if you don't trust me. That won't change."]
103:  997| [45] [Just then-- Jun breathed a silent breath.]
104: 1045| [47] [Jun]
105: 1048| [45] ["I see... So that's how it is, huh?"]
106: 1056| [47] [Jun]
107: 1059| [45] ["So you're my buddy no matter how much I doubt you, huh..."]
108: 1064| [45] [The edge in Jun's voice had vanished.]
109: 1069| [45] [Watase carefully chose his words as he spoke.]
110: 1077| [47] [Watase]
111: 1080| [45] ["... If you truly believe that... then please stop before you do something you'll regret."]
112: 1088| [47] [Watase]
113: 1091| [45] ["You're a rescue worker, right? Isn't it your job to save people?"]
114: 1100| [47] [Jun]
115: 1103| [45] ["Yeah..."]
116: 1111| [47] [Jun]
