  0:   46| [55] [√After Chapter4]
  1:   61| [45] [――第５エリア外周棟・地下２階。脳科学実験室――]
  2:   66| [45] [そこに渡瀬たちは集まった。]
  3:   71| [45] [恵那と宇喜多も、ほどなくしてやって来た。しかし誰もユウリを見なかったと言う。]
  4:  178| [47] [恵那]
  5:  181| [45] [「私は地下２階を探していたんだけど、どこにもいなかったわ」]
  6:  189| [47] [宇喜多]
  7:  192| [45] [「僕もだ、が……」]
  8:  200| [47] [風見]
  9:  203| [45] [「……やはり、見失ってしまいましたか……」]
 10:  208| [45] [重い表情で言う風見に、渡瀬は頭を下げる。]
 11:  216| [47] [渡瀬]
 12:  219| [45] [「……すまん」]
 13:  245| [47] [洵]
 14:  248| [45] [「隊長のせいじゃないよ、みんなで探して見つけられなかったんだし……」]
 15:  253| [45] [洵がそう言った時、宇喜多が声を上げた。]
 16:  325| [47] [宇喜多]
 17:  328| [45] [「……隊長さんのせいじゃない？　本当に、そうなのだろうか」]
 18:  336| [47] [渡瀬]
 19:  339| [45] [「え？」]
 20:  365| [47] [宇喜多]
 21:  368| [45] [「前から気になっていたんだが……ユウリくんは君に対して、怯えていたようなそぶりがあったじゃないか」]
 22:  376| [47] [渡瀬]
 23:  379| [45] [「……！」]
 24:  391| [45] [それはずっと、渡瀬自身も気にしていた事だったが――]
 25:  396| [47] [渡瀬]
 26:  397| [45] [（ついに、他人に指摘されてしまった……！）]
 27:  402| [45] [だが風見は訝しげに、問いを返す。]
 28:  428| [47] [風見]
 29:  431| [45] [「……あの、宇喜多さん。それはどういう意味でしょう？」]
 30:  457| [47] [宇喜多]
 31:  460| [45] [「そのままの意味だよ」]
 32:  468| [47] [宇喜多]
 33:  471| [45] [「第３エリアでの捜索中、ユウリくんが姿を消したことがあったね？」]
 34:  479| [47] [渡瀬]
 35:  482| [45] [「あ、ああ……」]
 36:  510| [45] [痛いところを突かれ、渡瀬は思わず声を荒げた。]
 37:  518| [47] [渡瀬]
 38:  521| [45] [「お、おいおっさん、それはどういう意味だ！？」]
 39:  547| [47] [宇喜多]
 40:  550| [45] [「ふん、そのままの意味だよ」]
 41:  558| [47] [宇喜多]
 42:  561| [45] [「第３エリアでの捜索中、ユウリくんが姿を消したことがあったね？」]
 43:  569| [47] [渡瀬]
 44:  572| [45] [「それがどうしたって言うんだ？」]
 45:  580| [47] [宇喜多]
 46:  583| [45] [「僕はね、あれはユウリくんが君から逃げようとしたんじゃないかと、ずっと思っていたんだ」]
 47:  591| [47] [渡瀬]
 48:  594| [45] [「なに！？」]
 49:  620| [47] [恵那]
 50:  623| [45] [「宇喜多さん……どうしてそう思うの」]
 51:  649| [47] [宇喜多]
 52:  652| [45] [「いや、君らは気づかなかったのかね？」]
 53:  678| [47] [宇喜多]
 54:  681| [45] [「隊長さんが話しかけると、彼女はいつもびくっと身を震わせていただろう」]
 55:  722| [47] [風見・洵]
 56:  725| [45] [「……！」]
 57:  730| [45] [風見も洵も、その言葉に表情を強張らせた。]
 58:  756| [47] [洵]
 59:  759| [45] [「た、確かに……そんなそぶりはあったけど……」]
 60:  785| [47] [風見]
 61:  788| [45] [「災害の現場で、要救助者が極度に怯えるのはよくある事です」]
 62:  796| [47] [風見]
 63:  799| [45] [「ましてこの場は、稀に見る劣悪環境……あのくらいの反応は、普通のはずなんです」]
 64:  825| [47] [宇喜多]
 65:  828| [45] [「ふむ。みんながそう思いたいなら構わないがね」]
 66:  854| [47] [宇喜多]
 67:  857| [45] [「しかしどうだね隊長さん。君自身には、何か心当たりはないかね？」]
 68:  865| [47] [渡瀬]
 69:  868| [45] [「い、いや……」]
 70:  873| [45] [そう答える声に力はなかった。]
 71:  878| [45] [渡瀬には、宇喜多の疑惑を否定する根拠がない。]
 72:  883| [45] [なぜなら――目覚める前の記憶がないのだから。]
 73:  888| [47] [渡瀬]
 74:  889| [45] [（オレは、記憶喪失になる前に……）]
 75:  894| [47] [渡瀬]
 76:  895| [45] [（ユウリに何か、ひどい事でもしたのか……？）]
 77:  903| [47] [宇喜多]
 78:  906| [45] [「どうなんだね、隊長さん。本当に心当たりがないと言い切れるのかね？」]
 79:  914| [47] [宇喜多]
 80:  917| [45] [「だいたい君は、どうして地下に降りてきたんだね？　なぜ記憶を失った？」]
 81:  925| [47] [渡瀬]
 82:  928| [45] [「そ、それは……」]
 83:  954| [47] [宇喜多]
 84:  957| [45] [「外傷による記憶喪失は、時間とともに回復するのが常だ。なのにいつまで経っても回復しない……妙ではないかね？」]
 85:  962| [45] [宇喜多がねちっこく問い詰めてくる。洵がそこに口を挟んだ。]
 86:  988| [47] [洵]
 87:  991| [45] [「宇喜多さん……何か言いたい事があるの？」]
 88: 1018| [47] [宇喜多]
 89: 1021| [45] [「あるとも。それは――」]
 90: 1047| [47] [宇喜多]
 91: 1050| [45] [「隊長さんの記憶喪失は、嘘なのではないかという事だよ」]
 92: 1103| [47] [全員]
 93: 1106| [45] [「！！」]
 94: 1117| [45] [その言葉に、全員が息を呑んだ。]
 95: 1143| [47] [風見]
 96: 1146| [45] [「そ、そんな！　なぜそんな嘘をつく必要があるんですか！？」]
 97: 1172| [47] [宇喜多]
 98: 1175| [45] [「何か隠したい事があるから……そう思ったのさ」]
 99: 1201| [47] [宇喜多]
100: 1204| [45] [「いや、実を言ってしまえば、僕は最初からそう睨んでいたんだ」]
101: 1212| [47] [渡瀬]
102: 1215| [45] [「なに？」]
103: 1241| [47] [宇喜多]
104: 1244| [45] [「僕は数時間前、君にセキュリティカードを奪われたね？　おかげで僕は、第３エリアから移動できなくなってしまった」]
105: 1270| [47] [宇喜多]
106: 1273| [45] [「だがいま考えれば、あれだってかなり妙だ。なぜセキュリティカードを奪う必要があるんだ？」]
107: 1281| [47] [宇喜多]
108: 1284| [45] [「我々職員に隠れて、何かしたい事があったんじゃないのか？」]
109: 1338| [47] [渡瀬]
110: 1341| [45] [「何かって……なんだよ」]
111: 1349| [47] [宇喜多]
112: 1352| [45] [「そんな事、僕に聞かれてもわかるわけがない。だがユウリ君の怯えと、何か関係があるように思えてしょうがない」]
113: 1378| [47] [宇喜多]
114: 1381| [45] [「その上、他殺体がいくつも出ているんだ……怪しまざるを得ないだろう？」]
115: 1389| [47] [渡瀬]
116: 1392| [45] [「お、オレは何も悪い事はしていない！　たとえ記憶がなかろうと――」]
117: 1418| [47] [宇喜多]
118: 1421| [45] [「ならばその潔白を、証明してくれたまえ！」]
119: 1436| [47] [渡瀬]
120: 1439| [45] [「無茶言うな！　言いがかりだ！」]
121: 1447| [47] [渡瀬]
122: 1450| [45] [「記憶がないってのに、どうやって証明するんだよ！　そうだろみんな！」]
123: 1455| [45] [渡瀬はそう言って、風見たちを見た。]
124: 1481| [47] [風見]
125: 1484| [45] [「いや、しかし……！」]
