  0:   75| [55] [√After Chapter 2]
  1:   83| [45] [The group opened the security gate and walked through the connecting passageway.]
  2:   89| [45] [--They were totally out of AD.]
  3:   94| [45] [And they were still in a situation that left no margin for error.]
  4:  147| [47] [Watase]
  5:  148| [45] [(It's not just for Tachibana... it's an issue that we need to think about in the next hour.)]
  6:  154| [47] [Watase]
  7:  155| [45] [(It's not just for me... it's an issue that we need to think about in the next hour.)]
  8:  160| [45] [The last time they'd taken AD was at "10:16 AM".]
  9:  165| [45] [They had to find 6 or more AD by the time their effects wore off at "11:16 AM".]
 10:  170| [45] [Even though they'd just learned that their coworker had died, there was no time to grieve.]
 11:  175| [45] [That was probably why Kazami was putting on such a brave face.]
 12:  244| [45] [Watase quietly walked over to her and whispered.]
 13:  252| [47] [Watase]
 14:  255| [45] ["Tachibana, are you sure you're okay?"]
 15:  281| [47] [Kazami]
 16:  284| [45] ["Captain, your concern is unneeded. It's more important that you worry about yourself."]
 17:  289| [47] [Watase]
 18:  290| [45] ["..."]
 19:  298| [47] [Watase]
 20:  301| [45] ["... All right, let's hurry on ahead."]
 21:  332| [47] [Watase]
 22:  335| [45] ["Pick up the pace, guys."]
 23:  397| [47] [Kazami]
 24:  400| [45] ["Yes."]
 25:  405| [45] [Watase and Kazami said this, then broke off in a run down the connecting passageway.]
 26:  448| [45] [But the moment they rounded the corner--]
 27:  453| [45] [everyone came to a dead stop.]
 28:  506| [47] [Watase]
 29:  509| [45] ["What the...!?"]
 30:  575| [45] [That part of the passageway was partially flooded.]
 31:  580| [45] [A fire hose had been left lying around not too far ahead.]
 32:  585| [45] [Water poured out of it, creating a puddle in the passageway.]
 33:  649| [47] [Ena]
 34:  652| [45] ["Oh come on, it's just a puddle. Let's get a move on already."]
 35:  660| [47] [Watase]
 36:  663| [45] ["No, look more closely, Teach..."]
 37:  668| [45] [Watase pointed to the wall.]
 38:  673| [45] [Part of it had collapsed, most likely due to an explosion.]
 39:  678| [45] [Something that appeared to be a disconnected cable jotted out of there, touching the puddle and shooting sparks.]
 40:  710| [47] [Ena]
 41:  713| [45] ["Is that a high voltage line...!?"]
 42:  755| [47] [Ukita]
 43:  758| [45] ["What in the world caused this, and why?"]
 44:  799| [47] [Kazami]
 45:  802| [45] ["Perhaps someone was trying to hose down something, and then this happened by coincidence."]
 46:  845| [47] [Watase]
 47:  846| [45] [(... Coincidence? Could something like this really have happened naturally?)]
 48:  851| [45] [He thought this for a second, but then chose not to say anything.]
 49:  859| [47] [Watase]
 50:  862| [45] ["Well, whatever caused it, we still need to think of a way to get past it."]
