  0:  139| [55] [√After Chapter 3]
  1:  150| [45] [They found themselves in a labyrinth of pipes that seemed to cover the entire room.]
  2:  155| [45] [The group laid down the unconscious members they were carrying.]
  3:  217| [47] [Kazami]
  4:  220| [45] ["... It appears that we've made it here safely."]
  5:  225| [45] [Kazami's face looked deathly pale.]
  6:  230| [45] [Was it because of the effects of the radiation, or was it extreme fatigue--?]
  7:  235| [45] [Either way, Watase spoke to her.]
  8:  243| [47] [Watase]
  9:  246| [45] ["Tachibana, let's start the sprinkler system up right away. We're done for if the fire makes it here."]
 10:  272| [47] [Kazami]
 11:  275| [45] ["Un... understood..."]
 12:  302| [47] [Ukita]
 13:  305| [45] ["Wait... I'll go with you. I know where the sprinkler system is."]
 14:  313| [47] [Ukita]
 15:  316| [45] ["They showed it to me during my orientation days... I also think it'd be best for Lieutenant Tachibana to get some rest."]
 16:  324| [47] [Watase]
 17:  327| [45] ["Thanks, that'd be a huge help-- but are you sure you'll be okay?"]
 18:  332| [45] [Ukita's face was just as pale as Kazami's.]
 19:  358| [47] [Ukita]
 20:  361| [45] ["Don't fret, I'm still a man just like you... so allow me to show off for a bit here..."]
 21:  369| [47] [Watase]
 22:  372| [45] ["... I see. Sorry, that'd be great."]
 23:  436| [45] [With those words, Watase walked over to Ukita with faltering steps and lent the latter his shoulder.]
 24:  444| [47] [Watase]
 25:  447| [45] ["So where's the sprinkler system?"]
 26:  473| [47] [Ukita]
 27:  476| [45] ["Oh... over there..."]
 28:  502| [47] [Kazami]
 29:  505| [45] ["My apologies... please take care of it, you two."]
 30:  548| [45] [Watase and Ukita nodded to Kazami, then promptly started heading deeper into the engine room.]
 31:  553| [45] [They proceeded to weave their way through the labyrinth of pipes.]
 32:  616| [47] [Ukita]
 33:  619| [45] ["W-we're here..."]
 34:  624| [45] [Ukita said that and pointed to countless valves next to a giant tank.]
 35:  632| [47] [Watase]
 36:  635| [45] ["That's the sprinkler system...?"]
 37:  661| [47] [Ukita]
 38:  664| [45] ["Right... We have to open all the valves there..."]
 39:  672| [47] [Watase]
 40:  675| [45] ["--Got it. Leave it to me."]
 41:  708| [45] [Watase quickly followed Ukita's instructions.]
 42:  748| [45] [The tank began to groan, and the pipes connected to it all started vibrating at once.]
 43:  774| [47] [Ukita]
 44:  777| [45] ["Good... that should take care of matters..."]
 45:  785| [47] [Watase]
 46:  788| [45] ["Great, then let's hurry back. We need to find some AD and fast."]
 47:  814| [47] [Ukita]
