  0:   68| [55] [√After Chapter 6]
  1:   80| [47] [Watase]
  2:   83| [45] ["--Let's find a way to escape."]
  3:   88| [45] [Watase said that to Kazami as they entered Area 3.]
  4:   96| [47] [Watase]
  5:   99| [45] ["If there's nowhere safe in the facility, then getting outside's our only shot."]
  6:  107| [47] [Watase]
  7:  110| [45] ["However, we can't try to end the lockdown by putting the fires out in Area N, naturally.%NWe'll have to find another way."]
  8:  136| [47] [Kazami]
  9:  139| [45] ["Yes...! But is there a way out somewhere else?"]
 10:  144| [47] [Watase]
 11:  145| [45] ["..."]
 12:  171| [47] [Kazami]
 13:  174| [45] ["Moribe and I searched high and low for one before you woke up. I'm sure the Commander and the other rescue workers outside did the same."]
 14:  182| [47] [Kazami]
 15:  185| [45] ["... But when you consider that there are no signs that they've broken their way in... our odds don't look very good."]
 16:  193| [47] [Watase]
 17:  196| [45] ["... Good point."]
 18:  201| [45] [Watase had also looked for alternate escape routes after they'd found that escape via the cargo lift was impossible.]
 19:  206| [45] [But then other problems had taken over while he'd tried (and failed) to do that.]
 20:  211| [45] [And now they were--]
 21:  219| [47] [Watase]
 22:  222| [45] ["...!?"]
 23:  227| [45] [Watase suddenly remembered something at that moment.]
 24:  235| [47] [Watase]
 25:  238| [45] ["Wait, that's right...!"]
 26:  264| [47] [Kazami]
 27:  267| [45] ["!? Have you remembered something!?"]
 28:  272| [45] [Watase nodded and looked Kazami in the eye.]
 29:  280| [47] [Watase]
 30:  283| [45] ["The pipes."]
 31:  291| [47] [Watase]
 32:  294| [45] ["Did you notice that thick pipe near the ceiling when we went to the engine room?"]
 33:  320| [47] [Kazami]
 34:  323| [45] ["Y-yes..."]
 35:  370| [47] [Watase]
 36:  373| [45] ["The old man told me that it's an intake pipe used to take water from the nearby lake to use as a coolant for the nuclear reactor."]
 37:  381| [47] [Watase]
 38:  384| [45] ["He also said that there was constantly water running through the pipe, so it'd leak out and flood LABO if we ever broke a hole in there--"]
 39:  396| [47] [Watase]
 40:  399| [45] ["But since there's no nuclear reactor, doesn't that cast doubt on the pipe's true purpose?"]
 41:  425| [47] [Kazami]
 42:  428| [45] ["...!"]
 43:  436| [47] [Watase]
 44:  439| [45] ["If that's just a dummy, and we can escape through there...!"]
 45:  465| [47] [Kazami]
 46:  468| [45] ["You're right... but I don't think it's a dummy."]
 47:  494| [47] [Kazami]
 48:  497| [45] ["Perhaps it acts as the coolant for that giant machine?"]
 49:  523| [47] [Kazami]
 50:  526| [45] ["If that's the case, then that means there's still a risk that LABO will flood if we break a hole in that pipe."]
 51:  534| [47] [Watase]
 52:  537| [45] ["I see... Dammit, if only we had a way to turn off the flow of water."]
 53:  563| [47] [Kazami]
 54:  566| [45] ["We may be able to come up with a plan if we figure out what that machine truly is...!"]
 55:  571| [45] [Once she said that--]
 56:  576| [45] [Watase's eyes widened.]
 57:  584| [47] [Watase]
 58:  587| [45] ["Hold on... that machine, it's...!?"]
 59:  613| [47] [Kazami]
 60:  616| [45] ["Huh?"]
 61:  624| [47] [Watase]
 62:  627| [45] ["I-I just remembered where I've seen that machine before!"]
 63:  653| [47] [Kazami]
 64:  656| [45] ["Where!?"]
 65:  664| [47] [Watase]
 66:  667| [45] ["The engine room!"]
 67:  675| [47] [Watase]
 68:  678| [45] ["There was a list of machine manuals in the terminal in that room--"]
 69:  686| [47] [Watase]
 70:  689| [45] ["And there was a picture of that giant machine on the very first page!"]
 71:  715| [47] [Kazami]
 72:  718| [45] ["!! You're right!"]
 73:  726| [47] [Watase]
 74:  729| [45] ["Maybe there's a way to turn off the water written in that very manual!"]
 75:  755| [47] [Kazami]
 76:  758| [45] ["C-Captain! Let's go check it out right away!"]
 77:  763| [45] [Watase nodded and headed for the engine room.]
 78:  861| [45] [--They entered the engine room for the first time in what felt like forever--]
 79:  866| [45] [Watase and Kazami laid Natsuhiko and Salyu onto the floor, ran up to the terminal, and began fiddling with it.]
 80:  913| [47] [Watase]
 81:  916| [45] ["'WX Particle Amplifier Operation Manual'... this is it!"]
 82:  921| [45] [Watase and Kazami brought their shoulders together as they looked over the image on the monitor.]
 83:  959| [45] ["WX particle amplifier operation manual"]
 84:  962| [85] [　]
 85:  965| [45] [<Introduction>]
 86:  968| [85] [　]
 87:  971| [45] [This document is an instruction manual for the WX particle amplifier.]
 88:  974| [45] [Due to the fact that there is great danger involved in its operation,%Nplease read the manual carefully before you proceed.]
 89:  977| [85] [　]
 90:  980| [45] [Furthermore, the properties of WX particles have extremely harmful effects to the body.]
 91:  983| [45] [Examples of this include dysesthesia, brain dysfunctions, genetic abnormalities, etc.]
