  0:   49| [55] [√Current Chapter2]
  1:   60| [45] [――夏彦の意識がようやく恵那から離れたのは、渡瀬が第６エリア内周棟で、１人になってからだった。]
  2:   65| [45] [渡瀬がサリュの姿を求め、次々と部屋を調べて行く。]
  3:  202| [45] [やがて渡瀬の眼が、あるＰＣモニターに止まった。]
  4:  207| [47] [夏彦]
  5:  208| [45] [（……？）]
  6:  252| [45] [＜被験体とＩＧＦ２Ｒ遺伝子タイプ＞]
  7:  255| [85] [　]
  8:  258| [45] [被験体Ａ　：先天性ＩＧＦ２Ｒ遺伝子異常　タイプＳ（死亡）]
  9:  261| [45] [被験体Ｎ　：先天性ＩＧＦ２Ｒ遺伝子異常　タイプＳ]
 10:  264| [45] [被験体Ｙ　：ＩＧＦ２Ｒ遺伝子　タイプ４]
 11:  267| [45] [　　　　　　（ＷＸ粒子による遺伝子変異は見られず／破棄）]
 12:  270| [45] [被験体ＹⅡ：後天性ＩＧＦ２Ｒ遺伝子異常　タイプＳ]
 13:  273| [45] [　　　　　　（生来のＩＧＦ２Ｒ遺伝子異常タイプはＣ）]
 14:  276| [85] [　]
 15:  279| [45] [Ｙの破棄→解放については前例無し　予想しうる問題：記憶復帰等]
 16:  283| [45] [＜監視対象とＩＧＦ２Ｒ遺伝子タイプ＞]
 17:  286| [85] [　]
 18:  289| [45] [特別監視対象ナ号　：先天性ＩＧＦ２Ｒ遺伝子異常　タイプＳ]
 19:  292| [45] [特別監視対象ナ２号：後天性ＩＧＦ２Ｒ遺伝子異常　タイプＳ]
 20:  295| [45] [　　　　　　　　　　（生来のＩＧＦ２Ｒ遺伝子異常タイプはＣ）]
 21:  298| [45] [特別監視対象ユ号　：ＩＧＦ２Ｒ遺伝子　タイプ４]
 22:  301| [45] [監視対象カ号　　　：先天性ＩＧＦ２Ｒ遺伝子異常　タイプＤ]
 23:  304| [45] [監視対象マ号　　　：先天性ＩＧＦ２Ｒ遺伝子異常　タイプＢ]
 24:  307| [85] [　]
 25:  310| [45] [※マ号はレベル５相当　→　照射実験を検討]
 26:  313| [45] [※ナ号　→　被験体Ｎ（２０２１／０４／０７）]
