  0:   46| [55] [√Current Chapter2]
  1:   59| [45] [だが何一つ成果を得られぬまま、渡瀬の捜索は続き――]
  2:   65| [45] [そして宇喜多と合流することも、有益な成果も得られぬまま、渡瀬たちの捜索は続き――]
  3:  122| [45] [やがて『資料室』という部屋に着いた。]
  4:  127| [45] [渡瀬が本棚の１つに眼を向けると、そこにぎっしりと書籍や論文が並んでいる。]
  5:  132| [45] [『情報力場仮説入門／著：天川美夜子』]
  6:  137| [45] [『素粒子・情報・意識／著：天川美夜子』]
  7:  142| [45] [『超感覚知覚同期仮説／著：アントワーヌ・クールベ　訳：天川美夜子』]
  8:  147| [45] [『大脳　～迷宮の生理学～／著：柏木鍄兼』]
  9:  152| [45] [『擬似科学からの脱却　～超心理学の未来と展望～／著：隅田高貴』]
 10:  157| [45] [『Ｂｅｆｏｒｅ　Ｃｒｉｍｅ　＊　Ａｆｔｅｒ Ｄａｙｓ／著：苑村千薗』]
 11:  162| [45] [『粒子と心、そして脳／著：江里口秀也』]
 12:  167| [47] [夏彦]
 13:  168| [45] [（……ずいぶん母さんの書籍があるみたいだけど――）]
 14:  173| [47] [夏彦]
 15:  174| [45] [（『情報力場』とか『超感覚知覚同期』とか、母さんは何の研究をしてるんだ？）]
 16:  179| [47] [夏彦]
 17:  180| [45] [（これも原子力研究の一貫なのか……？）]
 18:  185| [45] [すると夏彦の意識が影響を与えたのか、渡瀬が『情報力場仮説入門／著：天川美夜子』を手に取った。]
 19:  229| [45] [『情報力場仮説入門』]
 20:  232| [85] [　]
 21:  235| [45] [＜序文＞]
 22:  238| [45] [現代物理学においては、自然を形作っている現象を、４種類の力で全て説明できる。]
 23:  241| [45] [しかし、宇宙の加速膨張など、４つの力だけでは説明のつかない現象がある。]
 24:  244| [45] [近年の高精度の観測により、膨張速度が時間とともに加速していることは明白であった。]
 25:  247| [45] [そこで、ダークエネルギーという未知のエネルギー（重力に対する斥力）を仮定する考え方がある。]
 26:  250| [45] [仮にダークエネルギーが存在するとしたら、それは何なのか？]
 27:  253| [45] [様々な説が考え出されたが、それらは全て推測の域を出ていなかった。]
 28:  257| [85] [　%N]
