  0:   69| [55] [√Before Chapter 5]
  1:   77| [45] ["Let's go somewhere, just the two of us."]
  2:   82| [45] [After he had said that in the park--]
  3:   87| [45] [Natsuhiko took Yuuri by the hand and first headed back to the Tenkawa household.]
  4:  151| [45] [His mother was late getting back, as usual.]
  5:  156| [45] [Normally, it made him lonely, but that day it was actually more convenient for her to be absent.]
  6:  161| [47] [Natsuhiko]
  7:  162| [45] [(I'm sure Mom would get mad at me if she found out...)]
  8:  167| [45] [And if that happened, she'd probably send Yuuri home right off the bat.]
  9:  172| [45] [Natsuhiko couldn't ask any adults for help. Not even his own mother.]
 10:  177| [45] [He had to be the one to protect Yuuri.]
 11:  185| [47] [Natsuhiko]
 12:  188| [45] ["Okay. Let's prepare, Yuuri."]
 13:  214| [47] [Yuuri]
 14:  217| [45] ["Prepare... what exactly?"]
 15:  225| [47] [Natsuhiko]
 16:  228| [45] ["I've got a backpack, so let's put everything we need inside."]
 17:  236| [47] [Natsuhiko]
 18:  239| [45] ["First, we obviously need food. No questions there."]
 19:  265| [47] [Yuuri]
 20:  268| [45] ["Yeah. Or we'll get hungry."]
 21:  273| [45] [The kids fished around the kitchen.]
 22:  278| [45] [They looked for foods that didn't need to be cooked, particularly on the snacks shelf.]
 23:  304| [47] [Yuuri]
 24:  307| [45] ["Hey, Natsuhiko? You think we should bring these too?"]
 25:  315| [47] [Natsuhiko]
 26:  318| [45] ["What's that...? Wait, that's instant ramen, isn't it?"]
 27:  326| [47] [Natsuhiko]
 28:  329| [45] ["No, no, no. We might have to go somewhere without a kitchen, you know?"]
 29:  355| [47] [Yuuri]
 30:  358| [45] ["We just need to make a fire in that case."]
 31:  384| [47] [Yuuri]
 32:  387| [45] ["So we're taking them! No buts!"]
 33:  395| [47] [Natsuhiko]
 34:  398| [45] ["H-hey now..."]
 35:  424| [47] [Yuuri]
 36:  427| [45] ["Ah! If we need to make a fire, we should bring a lighter then, right?"]
 37:  432| [45] [Yuuri gleefully picked out the things for them to bring.]
 38:  437| [45] [Her mood had shifted so suddenly. She was enjoying herself now.]
 39:  445| [47] [Natsuhiko]
 40:  448| [45] ["... Well, fine."]
 41:  453| [45] [Deep down, Natsuhiko was excited too.]
 42:  458| [45] [It was a brand new adventure. A journey of justice to protect Yuuri. An illusion of a new future.]
 43:  463| [45] [The kids were exhilarated.]
 44:  468| [45] [--A short while later, the backpack was stuffed to the brim.]
 45:  473| [45] [Natsuhiko put on his precious watch, and they were ready to disembark.]
 46:  481| [47] [Natsuhiko]
 47:  484| [45] ["All right... Let's go, Yuuri!"]
 48:  510| [47] [Yuuri]
 49:  513| [45] ["Yeah!"]
 50:  518| [45] [Natsuhiko took Yuuri by the arm and left the house.]
 51:  664| [47] [Natsuhiko]
 52:  667| [45] ["--Where should we go?"]
 53:  675| [47] [Yuuri]
 54:  678| [45] ["Anywhere's fine."]
 55:  704| [47] [Yuuri]
 56:  707| [45] ["Anywhere far away from that house, at least..."]
 57:  715| [47] [Natsuhiko]
 58:  718| [45] ["Okay, then let's head to the secret base."]
 59:  744| [47] [Yuuri]
 60:  747| [45] ["Secret base?"]
 61:  755| [47] [Natsuhiko]
 62:  758| [45] ["It's in the outskirts of town. We found it the other day when we went exploring."]
 63:  784| [47] [Yuuri]
 64:  787| [45] ["Let's go there then. I'll follow you, Natsuhiko."]
 65:  795| [47] [Natsuhiko]
 66:  798| [45] ["Okay! Full speed ahead!"]
 67:  824| [47] [Yuuri]
 68:  827| [45] ["Yeah!"]
 69:  878| [45] [With an enthusiastic cheer,]
 70:  883| [45] [the kids walked in the opposite direction from Yuuri's house--]
 71:  940| [45] [They walked alone on the long road to the "secret base".]
 72:  945| [45] [It was the end of May, and yet the night air was surprisingly chilly.]
 73:  950| [45] [Each time the wind blew, their body heat gradually sapped away.]
 74:  955| [45] [But that was only a trivial matter to them.]
 75:  960| [45] [They advanced down their path feeling like they were the only people on Earth.]
 76: 1019| [45] [Eventually, they reached a discolored building.]
 77: 1024| [45] [It was a ruined factory that was no longer in use.]
 78: 1111| [47] [Yuuri]
 79: 1114| [45] ["This is the secret base?"]
 80: 1122| [47] [Natsuhiko]
