  0:   68| [55] [√After Chapter6]
  1:   80| [47] [渡瀬]
  2:   83| [45] [「――脱出の術を探るんだ」]
  3:   88| [45] [第３エリアに入った渡瀬は、風見にそう告げた。]
  4:   96| [47] [渡瀬]
  5:   99| [45] [「施設内のどこにも安全な場所がないなら、外に逃げるしかない」]
  6:  107| [47] [渡瀬]
  7:  110| [45] [「だが『Ｎエリアの消火によって隔壁を開く』と言う手段は使えなかった。他に脱出方法を探さなきゃならん」]
  8:  136| [47] [風見]
  9:  139| [45] [「えぇ……！　しかし、どこかにそれがあるんでしょうか？」]
 10:  144| [47] [渡瀬]
 11:  145| [45] [「……」]
 12:  171| [47] [風見]
 13:  174| [45] [「我々も隊長が目覚める前から、ずっとそれを探していました。恐らくは外にいる司令長たちも」]
 14:  182| [47] [風見]
 15:  185| [45] [「しかし司令長たちが突入してこないところを見ると……厳しいように思います」]
 16:  193| [47] [渡瀬]
 17:  196| [45] [「……確かにな」]
 18:  201| [45] [搬出リフトからの脱出が叶わなかったあの時、渡瀬も他の脱出手段を探った。]
 19:  206| [45] [だがそれを見つけられずにいる内に、他の問題が頻出するようになった。]
 20:  211| [45] [そして今に至るわけだが――]
 21:  219| [47] [渡瀬]
 22:  222| [45] [「……！？」]
 23:  227| [45] [その時、渡瀬はある事を思い出した。]
 24:  235| [47] [渡瀬]
 25:  238| [45] [「待てよ、そう言えば……！」]
 26:  264| [47] [風見]
 27:  267| [45] [「！？　何か思い出したのですか！？」]
 28:  272| [45] [渡瀬はうなずき、風見を見据えた。]
 29:  280| [47] [渡瀬]
 30:  283| [45] [「パイプだよ」]
 31:  291| [47] [渡瀬]
 32:  294| [45] [「エンジンルームに行った時、天井近くを太いパイプが走っていたのに気づいたか？」]
 33:  320| [47] [風見]
 34:  323| [45] [「え、ええ……」]
 35:  370| [47] [渡瀬]
 36:  373| [45] [「あれはこの施設の近くにある湖から、原子炉の冷却水を取っているパイプだと、おっさんが説明していたんだ」]
 37:  381| [47] [渡瀬]
 38:  384| [45] [「あのパイプの中には常に水が流れていて、パイプに穴を開けると水が漏れて、ラボが水没するとの事だが――」]
 39:  396| [47] [渡瀬]
 40:  399| [45] [「原子炉がなかったのなら、あのパイプの正体も怪しくなってくるんじゃないのか？」]
 41:  425| [47] [風見]
 42:  428| [45] [「……！」]
 43:  436| [47] [渡瀬]
