  0:   60| [55] [√After Chapter 5]
  1:  106| [47] [Jun]
  2:  109| [45] ["What do you mean, my back was inj... agh! Ow!!"]
  3:  114| [45] [Jun's body writhed in agony. It seemed she'd just noticed her own wound.]
  4:  122| [47] [Watase]
  5:  125| [45] ["So well, you see... I'm sorry, but you'll have to remove your clothes so I can seal up the wound."]
  6:  151| [47] [Jun]
  7:  154| [45] ["... Oh, well in that case... guess we've got no other choice then."]
  8:  162| [47] [Jun]
  9:  165| [45] ["But don't be surprised about what you see, okay?"]
 10:  170| [45] [Jun said that in a defeated voice, turned her back to Watase--]
 11:  175| [45] [And unzipped her uniform.]
 12:  224| [45] [Jun didn't hesitate for a moment as she removed her uniform, then took off her bloodstained T-shirt.]
 13:  229| [45] [Her back was now exposed.]
 14:  345| [45] [Watase had thought she was short-statured, but only now did it hit him just how small her body was.]
 15:  350| [45] [There was a wound about 2 cm wide bleeding below her right shoulder-blade.]
 16:  355| [45] [But that wasn't what caught Watase's eye.]
 17:  363| [47] [Watase]
 18:  366| [45] ["...!"]
 19:  371| [45] [There was a wide scar that looked like badly inflamed skin that spanned from her right shoulder to about halfway down her back.]
 20:  376| [47] [Watase]
 21:  377| [45] [(Is this... a burn scar?)]
 22:  382| [45] [It was clear that she hadn't gotten it recently, but rather a long time ago.]
 23:  390| [47] [Jun]
 24:  393| [45] ["Captain, hurry up."]
 25:  401| [47] [Watase]
 26:  404| [45] ["R-right..."]
 27:  449| [45] [Watase quickly spread the Chiron on Jun's wound at her urging.]
 28:  457| [47] [Jun]
 29:  460| [45] ["..."]
 30:  465| [45] [Jun's body twitched as if she were being tickled.]
 31:  473| [47] [Watase]
 32:  476| [45] ["Sorry Moribe, but put up with it for a while."]
 33:  481| [45] [Watase said that and continued treating her.]
 34:  486| [45] [Jun's wound finally closed up after Watase had used half the tube on it.]
 35:  494| [47] [Watase]
 36:  497| [45] ["... Done."]
 37:  542| [45] [Jun let the tension out of her shoulders when she heard that.]
 38:  547| [45] [Her back was sweaty, dyeing the burn scar a pale crimson.]
 39:  595| [47] [Jun]
 40:  598| [45] ["... Does it bother you?"]
 41:  606| [47] [Watase]
 42:  609| [45] ["Ah, no... sorry..."]
 43:  617| [47] [Jun]
 44:  620| [45] ["No, don't worry about it. I'm letting you see it because it's you."]
 45:  625| [45] [There was a faint hint of expectation in her words.]
 46:  630| [45] [Watase decided to take her up on that and satisfy his curiosity.]
 47:  638| [47] [Watase]
 48:  641| [45] ["Say... how'd you get that burn scar? It's pretty obvious you've had it for quite a while."]
 49:  689| [47] [Jun]
 50:  692| [45] ["I got it in a gas explosion accident ten years ago..."]
 51:  700| [47] [Watase]
 52:  703| [45] ["A 'gas explosion accident'...?"]
 53:  708| [45] [Watase was taken aback.]
 54:  713| [45] [That's right, Kazami's little sister had died in a--!]
 55:  721| [47] [Watase]
 56:  724| [45] ["Moribe, don't tell me you were there when it happened!"]
 57:  729| [45] [Jun quietly began talking.]
 58:  737| [47] [Jun]
 59:  740| [45] ["... Yeah. I went to visit Nagisa at her apartment that day."]
 60:  748| [47] [Jun]
 61:  751| [45] ["The two of us were just playing around, when all of a sudden we heard this noise so loud that it felt like my ears were gonna burst--"]
 62:  759| [47] [Jun]
 63:  762| [45] ["By the time I came to my senses, we were trapped under rubble."]
 64:  770| [47] [Jun]
 65:  773| [45] ["We couldn't move around, and no one came to help no matter how much we cried for it..."]
 66:  778| [45] [--So that burn scar was probably from then.]
 67:  783| [45] [Jun continued in an awfully low voice.]
 68:  791| [47] [Jun]
 69:  794| [45] ["Eventually, help did come, and Nagisa and I were saved..."]
 70:  802| [47] [Jun]
 71:  805| [45] ["But Nagisa'd been hit on the head... and she passed away two days later."]
 72:  813| [47] [Watase]
 73:  816| [45] ["I see... so that's what..."]
 74:  821| [45] [Watase let his voice trail off as he remained unsure of what to do.]
 75:  826| [45] [Jun continued without a hint of sorrow in her voice.]
 76:  874| [47] [Jun]
 77:  877| [45] ["... I loved Nagisa, you know."]
 78:  885| [47] [Jun]
 79:  888| [45] ["She was so pure-hearted, kind, and considerate..."]
 80:  896| [47] [Jun]
 81:  899| [45] ["I always felt like she was my salvation whenever I was with her."]
 82:  907| [47] [Jun]
 83:  910| [45] ["So when that accident happened, I wanted to do whatever I could to save her... but I was totally powerless back then..."]
 84:  915| [45] [Jun gritted her teeth in resentment toward her past self.]
 85:  920| [45] [Watase understood everything when he saw that look on her face.]
 86:  928| [47] [Watase]
 87:  931| [45] ["So that's why you became a rescue worker...?"]
 88:  936| [45] [With that small body of hers, Jun was not suited to be a rescue worker in any definition of the term.]
 89:  941| [45] [And yet here she was.]
 90:  946| [45] [How much had she put herself through to make her body fit enough to become a rescue worker?]
 91:  951| [45] [Watase felt true admiration for that ironclad conviction of hers.]
 92:  959| [47] [Watase]
 93:  962| [45] ["... So you entered this line of work for the same reasons as Tachibana, huh?"]
 94:  970| [47] [Jun]
 95:  973| [45] ["Yeah... well, there's more to it than just that, but yeah, it was the biggest reason."]
 96:  981| [47] [Jun]
 97:  984| [45] ["I don't want a repeat of that day ever again. I don't want my powerlessness to stop me from helping someone close to me, not when they're suffering right before my eyes."]
 98:  992| [47] [Jun]
 99:  995| [45] ["This burn scar is a symbol of that time in my life where I was weak."]
100: 1003| [47] [Jun]
101: 1006| [45] ["So I thought I'd never show it to anyone except someone I completely trust..."]
102: 1054| [47] [Jun]
103: 1057| [45] ["But I never thought that someone would be you of all people. Funny, huh?"]
104: 1062| [45] [Jun gave him an awkward smile.]
105: 1067| [45] [Watase understood painfully well just how significant this scar was to Jun.]
106: 1072| [45] [So he also forced a smile and answered her.]
107: 1080| [47] [Watase]
108: 1083| [45] ["No, I don't deserve that right. Not after I let you get hurt like that."]
109: 1091| [47] [Jun]
110: 1094| [45] ["What're you talking about? We're buddies, so a few scratches here and there mean nothing, right?"]
111: 1102| [47] [Watase]
112: 1105| [45] ["... Buddies, huh?"]
113: 1110| [45] [That was right. Watase remembered the promise they'd made just before they ran into that contaminated zone--]
114: 1115| [45] [He and Jun were partners who held a mutual trust in each other.]
115: 1123| [47] [Watase]
116: 1126| [45] ["... I'm surprised you're calling me that. I mean, I've just been an unreliable greenhorn who let his squadmate get hurt."]
117: 1134| [47] [Jun]
118: 1137| [45] ["You're not unreliable. If you were, then I wouldn't have shown you this scar that I've never let anyone else see."]
119: 1145| [47] [Jun]
120: 1148| [45] ["... I did it because I have high hopes in you."]
121: 1156| [47] [Jun]
122: 1159| [45] ["So please... please don't do anything to betray my hopes, you hear?"]
123: 1167| [47] [Watase]
124: 1170| [45] ["Yeah, you can bet on that."]
125: 1178| [47] [Jun]
126: 1181| [45] ["Absolutely positively?"]
127: 1189| [47] [Watase]
128: 1192| [45] ["I keep my promises."]
129: 1200| [47] [Watase]
130: 1203| [45] ["I'll keep living up to the trust you've put in me... as your buddy."]
131: 1208| [45] [Jun then gave him a tender smile.]
132: 1216| [47] [Jun]
133: 1219| [45] ["... Thanks, Captain. You really are a whole lot different today, you know that?"]
134: 1227| [47] [Watase]
135: 1230| [45] ["Well, I'm only half as efficient and persuasive as I normally am, but bear with me."]
136: 1238| [47] [Jun]
137: 1241| [45] ["No, that's not what I mean."]
138: 1249| [47] [Jun]
139: 1252| [45] ["I mean that you're much kinder and gentler than normal."]
140: 1260| [47] [Watase]
