  0:   40| [55] [√Before Chapter 4]
  1:   60| [45] [But once breakfast was over and they headed to school--]
  2:   65| [45] [Natsuhiko came to the sudden realization that it was anything but a good morning.]
  3:  130| [45] [First thing today was parapsychology class. A full two-hour block, to boot.]
  4:  135| [45] [Natsuhiko grumbled as they headed to the BC room.]
  5:  143| [47] [Natsuhiko]
  6:  146| [45] ["We've got way too many BC-related classes, don't you think...?"]
  7:  224| [47] [Salyu]
  8:  227| [45] ["... I think so too."]
  9:  235| [47] [Mashiro]
 10:  238| [45] ["Well, what kind of a school do you think we go to?"]
 11:  243| [45] [Mashiro was calm because she enjoyed BC.]
 12:  269| [47] [Salyu]
 13:  272| [45] ["But still, it's troublesome. Why do we have to move to a specialized classroom for BC classes?"]
 14:  280| [47] [Natsuhiko]
 15:  283| [45] ["Oh, that's so we don't bother the students in other classrooms."]
 16:  309| [47] [Salyu]
 17:  312| [45] ["?? Meaning?"]
 18:  320| [47] [Natsuhiko]
 19:  323| [45] ["The BC room's walls are made with a 'BC insulator', a special building material meant to block out BC."]
 20:  331| [47] [Natsuhiko]
 21:  334| [45] ["I'm not exactly sure how it works, but apparently it can absorb telepathy and stuff."]
 22:  342| [47] [Natsuhiko]
 23:  345| [45] ["Kinda like a music room, I guess. Without any insulation, they leak noise and make it hard to conduct other classes, you know?"]
 24:  371| [47] [Mashiro]
 25:  374| [45] ["Basically, in the BC room, you can go as crazy as you want with untargeted telepathy."]
 26:  400| [47] [Mashiro]
 27:  403| [45] ["This is your first day of practice, right Salyu? You won't bother anybody,%Nso feel free to go nuts!"]
 28:  411| [47] [Natsuhiko]
 29:  414| [45] ["How can you always be so enthusiastic...?"]
 30:  419| [45] [Natsuhiko entered the BC room as he shook his head in exasperation.]
 31:  587| [47] [Ena]
 32:  590| [45] ["--Okay, class! It's everyone's favorite BC time~!"]
 33:  595| [45] [Ena cheerfully addressed her students as soon as class began.]
 34:  621| [47] [Ena]
 35:  624| [45] ["And since today's a special two-hour block period, I think I'll start off with a detailed explanation of the theoretical mechanisms behind BC."]
 36:  632| [47] [Ena]
 37:  635| [45] ["But before that-- I also need to explain what exactly 'information' is in the context of BC."]
 38:  661| [47] [Ena]
 39:  664| [45] ["While it isn't directly related to the use of telepathy, it is a key concept to the fundamentals of BC."]
 40:  690| [47] [Ena]
 41:  693| [45] ["This may be a little hard to follow, but please try to listen closely."]
 42:  698| [45] [Ena worked on her computer as she spoke.]
 43:  703| [45] [Upon which, words began to appear on the screen.]
 44:  792| [47] [Ena]
 45:  795| [45] ["--What -is- 'information'?"]
 46:  803| [47] [Ena]
 47:  806| [45] ["Before we can explain information in definite terms, we first need to go over the 'second law of thermodynamics'."]
 48:  811| [47] [Natsuhiko]
 49:  812| [45] [(The second law of thermodynamics...?)]
 50:  820| [47] [Ena]
 51:  823| [45] ["This is an absolute, universal law."]
 52:  831| [47] [Ena]
 53:  834| [45] ["It states that 'all bodies of energy mix upon contact in a trend towards homogeneity'."]
 54:  888| [45] [Ena used the PC to bring a figure to life on the screen.]
 55:  893| [45] [Blue dots and red dots floated about in a partitioned box.]
 56:  901| [47] [Ena]
 57:  904| [45] ["This is a model of a box with two partitions, each partition containing either 2 or 100 degrees Celsius water."]
 58:  912| [47] [Ena]
 59:  915| [45] ["The dots moving on the screen are the 'molecules' that exist in nature."]
 60:  923| [47] [Ena]
 61:  926| [45] ["The red dots are 'hot molecules'. The blue dots are 'cold molecules'."]
 62:  934| [47] [Ena]
 63:  937| [45] ["And, naturally, the 'heat' energy of these molecules mixes as they come in contact with each other."]
 64:  945| [47] [Ena]
 65:  948| [45] ["For example, if you mixed '1L of hot water' with '1L of cold water', you'd get '2L of lukewarm water', correct?"]
 66:  953| [45] [And with that, Ena removed the divider that partitioned the box.]
 67: 1010| [47] [Ena]
 68: 1013| [45] ["The 'hot water' and the 'cold water' mix, and as the 'hot molecules' and 'cold molecules' come in contact with each other--"]
 69: 1021| [47] [Ena]
 70: 1024| [45] ["They eventually reach homogeneity and become 'lukewarm water'."]
 71: 1032| [47] [Ena]
 72: 1035| [45] ["It's quite simple, but the same cannot be said of the reverse process."]
 73: 1043| [47] [Ena]
 74: 1046| [45] ["Lukewarm water doesn't spontaneously separate into cold water and hot water, does it?"]
 75: 1054| [47] [Ena]
 76: 1057| [45] ["That's what the second law of thermodynamics illustrates. It's a rule that should be impossible to break."]
 77: 1124| [45] [The students nodded in agreement.]
 78: 1129| [45] [That was a sensible conclusion to make and would likely be experimentally demonstrable.]
 79: 1190| [47] [Ena]
 80: 1193| [45] ["But around 160 years ago--"]
 81: 1201| [47] [Ena]
 82: 1204| [45] ["A physicist by the name of James Maxwell reached an epiphany one day."]
 83: 1230| [47] [Ena]
 84: 1233| [45] ["'What if we could observe the movement of these molecules?'"]
 85: 1241| [47] [Ena]
 86: 1244| [45] ["'If we could use observational information to direct the molecules... could we not contradict the second law?'"]
 87: 1252| [47] [Ena]
 88: 1255| [45] ["And thus, as a thought experiment, he created an imaginary creature that could observe molecules."]
 89: 1313| [47] [Ena]
 90: 1316| [45] ["The name of that creature is 'Maxwell's demon'."]
 91: 1324| [47] [Ena]
 92: 1327| [45] ["By observing molecules, Maxwell's demon can do things like this."]
 93: 1384| [47] [Mashiro]
 94: 1387| [45] ["Oh, oh my, oh my...!"]
 95: 1392| [45] [Soon enough, Mashiro spoke out as she watched the screen.]
 96: 1400| [47] [Mashiro]
 97: 1403| [45] ["The water's separating into hot and cold...?"]
 98: 1411| [47] [Ena]
 99: 1414| [45] ["Exactly. By observing the molecules, you can do crazy things like that."]
100: 1422| [47] [Ena]
101: 1425| [45] ["From a physics perspective, the demon 'processed information'."]
102: 1433| [47] [Mashiro]
103: 1436| [45] ["Information?"]
104: 1444| [47] [Ena]
105: 1447| [45] ["The 'state' and 'location' of a molecule are types of 'information', correct?"]
106: 1455| [47] [Ena]
107: 1458| [45] ["By merely processing that information, the demon can manipulate the energy in the system."]
108: 1466| [47] [Mashiro]
109: 1469| [45] ["I see..."]
110: 1477| [47] [Ena]
111: 1480| [45] ["Furthermore, if the demon selectively removed hot molecules from the system--"]
112: 1537| [47] [Ena]
113: 1540| [45] ["He could even use their heat to start a fire."]
114: 1548| [47] [Ena]
115: 1551| [45] ["Now class, doesn't this sound a little strange to you?"]
116: 1559| [47] [Ena]
117: 1562| [45] ["To create energy out of mere information seems like creating something out of nothing, doesn't it?"]
118: 1570| [47] [Mashiro]
119: 1573| [45] ["Y-yeah... that clearly is strange."]
120: 1578| [45] [Several people in the classroom nodded in agreement.]
121: 1648| [47] [Ena]
122: 1651| [45] ["In reality, Mr. Maxwell's thought experiment tormented physicists worldwide for over a hundred years."]
123: 1659| [47] [Ena]
124: 1662| [45] ["'Information processing can break the second law of thermodynamics.'%N'Energy can be created out of nothing.'"]
125: 1688| [47] [Ena]
126: 1691| [45] ["Accepting either of those statements would throw universal laws into disarray.%NIt would make perpetual motion a possibility."]
127: 1699| [47] [Ena]
128: 1702| [45] ["So everyone wanted to believe that the demon couldn't possibly exist..."]
129: 1728| [47] [Ena]
130: 1731| [45] ["But surprisingly enough, physicists of recent years have recreated this demon in the real world."]
131: 1826| [47] [Mashiro]
132: 1829| [45] ["Huh!?"]
133: 1924| [47] [Ena]
134: 1927| [45] ["In November 2010, a professor at Chuo University recreated Maxwell's demon in the real world, successfully converting information into a minuscule amount of energy."]
135: 1935| [47] [Ena]
136: 1938| [45] ["In July 2012, a Technical University of Munich team successfully manipulated water temperature without the application of heat."]
137: 1946| [47] [Ena]
138: 1949| [45] ["In September 2013, a certain Kyoto University student successfully converted information into electricity on their own."]
139: 1975| [47] [Ena]
140: 1978| [45] ["Indeed... the impossible 'demon' was actually brought into existence."]
141: 1983| [45] [Ena grinned.]
142: 1988| [45] [A quite "devilish" smirk as if she were tricking her students.]
143: 2083| [47] [Mashiro]
144: 2086| [45] ["But, wait, you mean we can create energy out of nothing?"]
145: 2094| [47] [Mashiro]
146: 2097| [45] ["Doesn't that break universal laws? Has stuff like perpetual motion actually been perfected already?"]
147: 2192| [47] [Ena]
148: 2195| [45] ["Heheh, sorry, but unfortunately, that's a no."]
149: 2290| [47] [Mashiro]
150: 2293| [45] ["Huh, what do you mean?"]
151: 2388| [47] [Ena]
152: 2391| [45] ["Basically, there's a hole somewhere in this narrative. Can you see where?"]
153: 2487| [45] [Nobody answered Ena's question.]
154: 2492| [45] [But as his mother was a famous physicist, Natsuhiko was reasonably good with physics himself.]
155: 2497| [45] [He pondered the problem in his own way and gave his opinion.]
156: 2505| [47] [Natsuhiko]
157: 2508| [45] ["Um, Professor, could it be..."]
158: 2516| [47] [Natsuhiko]
159: 2519| [45] ["That the demon only -appears- to be creating energy out of nothing, but actually isn't?"]
160: 2614| [47] [Ena]
161: 2617| [45] ["Oh my, Mr. Tenkawa. What makes you think that?"]
162: 2625| [47] [Natsuhiko]
163: 2628| [45] ["Well, it's the demon itself--"]
164: 2636| [47] [Natsuhiko]
