  0:   89| [55] [√Before Chapter6]
  1:  113| [47] [夏彦]
  2:  116| [45] [「……！」]
  3:  121| [45] [夏彦は昨日の事を、克明に思い出した。]
  4:  126| [45] [真実を知り、敵と対峙し、敗北した日の記憶を。]
  5:  131| [45] [そして訪れた今日――。]
  6:  136| [45] [目の前のゲートは閉ざされ、夏彦は悠里やましろと共に、苦境に陥っていた。]
  7:  141| [45] [だが、それでもなお――]
  8:  146| [47] [夏彦]
  9:  147| [45] [（諦めてたまるか……！）]
 10:  152| [45] [彼はそう思っていた。]
 11:  157| [45] [傍らに立つ悠里が、夏彦にそっと囁く。]
 12:  218| [47] [悠里]
 13:  221| [45] [「……ひこりん、思い出したでしょ」]
 14:  229| [47] [悠里]
 15:  232| [45] [「たくさんの障害を越えて、ひこりんはここにやってきた……」]
 16:  258| [47] [悠里]
 17:  261| [45] [「ひこりんは、過去を乗り越えられる力を手に入れたんだよ」]
 18:  269| [47] [悠里]
 19:  272| [45] [「これから何が起ころうと、ひこりんの心は折れない。どんな事も乗り越えられるはずだよ」]
 20:  277| [45] [その言葉が、夏彦の心をなお強くする。]
 21:  282| [45] [頭痛はまだ続いていたが、奥歯を噛んでそれに耐えた。]
 22:  287| [45] [黙りこくる夏彦に、ましろが声をかけてくる。]
 23:  336| [47] [ましろ]
 24:  339| [45] [「夏彦、悠里と何を話しているの！？」]
 25:  344| [45] [夏彦は笑みを返し、彼女に答える。]
 26:  352| [47] [夏彦]
 27:  355| [45] [「……勇気を貰ってたんだ」]
 28:  381| [47] [ましろ]
 29:  384| [45] [「え？」]
 30:  392| [47] [夏彦]
 31:  395| [45] [「ましろ、まだ諦めちゃダメだ。脱出の道はきっとある」]
 32:  421| [47] [ましろ]
 33:  424| [45] [「で、でも、ゲートが開かないんじゃどこにも……」]
 34:  432| [47] [夏彦]
 35:  435| [45] [「いや……『セキュリティカード』を探すんだ。カードさえあれば、第６エリアに行ける」]
 36:  532| [45] [見ればゲートの横に、カードを通すスロットがあった。]
 37:  537| [45] [夏彦たちはセキュリティカードを持っていないが、それが見つかればゲートも開けられるのだろう。]
 38:  561| [47] [夏彦]
 39:  564| [45] [「警報が鳴った直後、施設内はあれだけパニックになっていた」]
 40:  572| [47] [夏彦]
 41:  575| [45] [「職員の誰かが、カードを忘れていってもおかしくない！」]
 42:  605| [47] [ましろ]
 43:  608| [45] [「そ、そうか！」]
 44:  613| [45] [ましろの声に、わずかに元気が戻る。]
 45:  618| [45] [一縷の希望かもしれないが、それに賭けるしかなかった。]
 46:  623| [47] [夏彦]
 47:  624| [45] [（絶対カードを見つけてやる……ぼくが２人を、必ず脱出させてみせる！）]
 48:  629| [45] [夏彦はそう思い、再び駆け出した。]
 49:  759| [47] [夏彦]
 50:  762| [45] [「手分けして探そう！　ましろはそっちの部屋を頼む！」]
 51:  788| [47] [ましろ]
 52:  791| [45] [「わ、わかったよ！」]
 53:  799| [47] [悠里]
 54:  802| [45] [「じゃあひこりんは、奥の方の部屋をお願い！」]
 55:  810| [47] [夏彦]
 56:  813| [45] [「あぁ、任せろ！」]
 57:  818| [45] [夏彦は悠里の声に従い、その部屋に飛び込んだ。]
 58:  910| [45] [そこは６畳程度の、小さな個人研究室だった。]
 59:  940| [47] [夏彦]
 60:  941| [45] [（散らかってるな……これならもしかしたら、どこかにカードがあるかもしれない）]
 61:  946| [45] [夏彦はさっそく、カードを探し始めた。]
 62:  951| [45] [まずは机の引き出しを探る。]
 63:  995| [45] [だがそこには、なぜか鉄製の箱が詰まっているだけで、カードらしきものはなかった。]
 64: 1007| [47] [夏彦]
 65: 1010| [45] [「ちっ！」]
 66: 1024| [45] [引き出しを早々に見限り、机の上に目をやる。]
 67: 1029| [45] [だがその時、そこにあるものに目が止まった。]
 68: 1037| [47] [夏彦]
 69: 1040| [45] [「え……！？」]
 70: 1045| [45] [机の上に、デジタルフォトフレームが飾られていた。]
 71: 1050| [45] [そこに表示されている写真――それは夏彦自身の写真だった。]
 72: 1058| [47] [夏彦]
 73: 1061| [45] [「なんで、ぼくの写真が……！？」]
 74: 1066| [45] [写真を見ているうち、それを撮られた時の事を思い出した。]
 75: 1071| [45] [高校の入学日の夕方、珍しく家に帰ってきた母が、ＰＤＡのカメラ機能でさっと撮ったものだ。]
 76: 1081| [47] [夏彦]
 77: 1082| [45] [（ッ！　まさかこの部屋、母さんの個人研究室か！？）]
 78: 1087| [45] [夏彦は息を呑んだ。]
 79: 1092| [45] [だがその写真を見ているうち、なぜか凄まじい違和感が襲ってきた。]
 80: 1097| [47] [夏彦]
 81: 1098| [45] [（……！？）]
 82: 1103| [45] [ソファに夏彦が、１人で座っている。]
 83: 1108| [45] [急に母にＰＤＡを向けられて、戸惑った事を覚えている。]
 84: 1113| [47] [夏彦]
 85: 1114| [45] [（……おかしい……何か変だ！）]
 86: 1119| [45] [夏彦は違和感に耐え切れず、写真から目を逸らした。]
 87: 1124| [45] [すると今度は、戸棚に入っているファイルが目に入った。]
 88: 1129| [45] [ファイルされた年別に、整理されているらしい。]
 89: 1134| [45] [その中には、『２０２１年』というファイルが――]
 90: 1139| [47] [夏彦]
 91: 1140| [45] [（……！）]
