  0:  117| [55] [√After Chapter3]
  1:  121| [45] [――渡瀬たちは車座になって、床に腰を下ろした。]
  2:  179| [45] [その瞬間、２時間分の疲れがどっと襲ってきて、全員の口からため息が漏れる。]
  3:  187| [47] [渡瀬]
  4:  190| [45] [「はぁ……」]
  5:  195| [45] [そう息をつくと、先ほどフラッシュオーバーに吹き飛ばされた時に打った肋骨が、かすかにうずいた。]
  6:  200| [47] [渡瀬]
  7:  201| [45] [（痛みが長く続きすぎてる……こりゃ、ヒビいってるかな……）]
  8:  206| [45] [疲労だけではなく、負傷も蓄積しているようだ。]
  9:  247| [47] [渡瀬]
 10:  250| [45] [「……守部に先生、体の調子はどうだ？」]
 11:  276| [47] [洵]
 12:  279| [45] [「ちょっと指先が痺れるけど……平気だよ」]
 13:  307| [47] [恵那]
 14:  310| [45] [「私も、もう少し休んだら問題なさそうだわ」]
 15:  351| [47] [渡瀬]
 16:  354| [45] [「橘は？」]
 17:  382| [47] [風見]
 18:  385| [45] [「私も問題ありません……例の、肌が痺れるような感覚等も、ＡＤを投与したら消えました」]
 19:  426| [47] [渡瀬]
 20:  429| [45] [「……そうか、何よりだ」]
 21:  434| [45] [という事はやはり、風見の訴えていた諸々の体調不良は、放射線障害だったのだろう。]
 22:  460| [47] [洵]
 23:  463| [45] [「ＡＤの効果ってのは、やっぱかなり高いみたいだね。即座に効果が出るなんてさ」]
 24:  471| [47] [風見]
 25:  474| [45] [「いくらなんでも、早く効き過ぎですけどね」]
 26:  483| [47] [風見]
 27:  486| [45] [「体調不良も薬の効用も、どちらも気のせいかもしれません。いわゆるプラシーボという奴かと」]
 28:  494| [47] [渡瀬]
 29:  497| [45] [「……でも、ＡＤはあった方がいいぞ」]
 30:  502| [45] [渡瀬はプロキオンをちらりと見て言った。数値はまた上昇している。]
 31:  510| [47] [渡瀬]
 32:  513| [45] [「見ろ、現在『３０９０ｍＳｖ』……遠からず第１危険基準値の『４０００ｍＳｖ』を超えそうだ」]
 33:  541| [47] [風見]
 34:  544| [45] [「……そうなるとますます、ＡＤが重要になってきますね」]
 35:  552| [47] [風見]
 36:  555| [45] [「チェルノブイリ原発事故の際にも、４０００ｍＳｖ以上の環境下で事故処理作業を行った人がいたそうです」]
 37:  563| [47] [風見]
 38:  566| [45] [「その環境下にいた作業員の死亡率は、一説には１００％と……」]
 39:  607| [45] [その言葉に皆の表情が凍りついた。]
 40:  615| [47] [洵]
 41:  618| [45] [「……ＡＤがない時代の話とは言え、１００％か」]
 42:  646| [47] [恵那]
