  0:   44| [55] [√Double Chapter7]
  1:   55| [45] [――]
  2:   60| [45] [――――]
  3:   65| [45] [――――――意識は、果てのない闇の中にあった。]
  4:   76| [47] [？？]
  5:   77| [45] [（ここは……？）]
  6:   82| [45] [わからない。]
  7:   87| [45] [脳裏にはただ虚無だけがある。]
  8:   92| [47] [？？]
  9:   93| [45] [（何だ……？）]
 10:   98| [45] [思い出せるものは何もない。]
 11:  103| [47] [？？]
 12:  104| [45] [（どうしてこんな事に――）]
 13:  109| [45] [必死でその原因を探る。]
 14:  114| [45] [やがて誰のものとも知れない声が、意識の片隅で囁いた。]
 15:  119| [45] [ただ一言、『目覚めろ』と――]
 16:  127| [47] [オレ]
 17:  130| [45] [「……」]
 18:  138| [47] [オレ]
 19:  141| [45] [「……ん……」]
 20:  204| [45] [……――どこか知らない場所で、オレは目覚めた。]
 21:  209| [47] [オレ]
 22:  210| [45] [（……？）]
 23:  215| [47] [オレ]
 24:  216| [45] [（ここは、どこだ……？）]
 25:  227| [45] [そう思いながら周囲を見回す。どうやらベッドの上に寝かされているようだ。]
 26:  232| [45] [清潔そうな白いシーツに、漂う消毒液の香り……どうやら、どこかの病室らしい。]
 27:  237| [45] [すると２人の女が、オレの顔を覗き込んで来た。]
 28:  298| [47] [女１]
 29:  301| [45] [「あ……！　気がついたのですね！」]
 30:  310| [47] [女２]
 31:  313| [45] [「よ、よかったぁ！　隊長、あたしの事わかる？」]
 32:  318| [45] [どうやら２人は、オレの事を知ってるようだった。]
 33:  323| [45] [だがオレには、全く見覚えがない。]
 34:  334| [47] [オレ]
 35:  337| [45] [「あんたたちは……？」]
 36:  345| [47] [オレ]
 37:  348| [45] [「いや、それよりここはどこなんだ……？」]
 38:  359| [45] [オレがそう尋ねると、たちまち２人の表情がひきつった。]
 39:  368| [47] [女１]
 40:  371| [45] [「た、隊長……ッ！」]
 41:  380| [47] [女２]
 42:  383| [45] [「や……やっぱりまた、記憶喪失に……！？」]
 43:  388| [47] [オレ]
 44:  389| [45] [（記憶喪失……？）]
 45:  438| [45] [そう言われ、オレは自分の事について考えた。]
 46:  443| [45] [だが――頭の中が、すっぽりと空白になっている。]
 47:  448| [45] [オレは愕然とし、慌てて２人に質問した。]
 48:  484| [47] [オレ]
 49:  487| [45] [「なんだこれ、どういう事だ！？　何も覚えてない！」]
 50:  495| [47] [女１]
 51:  498| [45] [「っ……」]
 52:  506| [47] [オレ]
 53:  509| [45] [「あ、あんたたちは知ってるのか！？　オレはいったい誰なんだ！？」]
 54:  554| [45] [その問いに、少しの沈黙の後、２人が答える。]
 55:  595| [47] [女１]
 56:  598| [45] [「あなたは……レスキュー隊の隊長です」]
 57:  606| [47] [オレ]
 58:  609| [45] [「レスキュー……？」]
 59:  617| [47] [女１]
 60:  620| [45] [「そう……任務中に怪我を負い、この病院に担ぎ込まれたのです」]
 61:  628| [47] [女１]
 62:  631| [45] [「恐らくその時の怪我がもとで、記憶を失ってしまったのでしょう……」]
 63:  657| [47] [女２]
 64:  660| [45] [「隊長はね、みんなを助けるために、命がけで頑張ったんだよ」]
 65:  668| [47] [女２]
 66:  671| [45] [「ガスの中に飛び込んだり……崩れてきた天井から、身を挺して女の子を護ったり」]
 67:  679| [47] [オレ]
 68:  682| [45] [「オレが、そんな事を……？」]
 69:  708| [47] [女１]
 70:  711| [45] [「ええ……あなたは、レスキュー隊員の鑑のような人でしたから」]
 71:  719| [47] [オレ]
 72:  722| [45] [「……！？」]
 73:  727| [45] [その２人の言葉に、オレはなぜか違和感を覚えた。]
 74:  732| [45] [どうもしっくりこないのだ。]
 75:  737| [47] [オレ]
 76:  738| [45] [（オレが……レスキュー隊の隊長……？）]
 77:  743| [47] [オレ]
 78:  744| [45] [（――いや！　違う気がする！）]
 79:  749| [45] [何かをやり遂げられなかったという実感が、強烈に沸き起こる。]
 80:  757| [47] [オレ]
 81:  760| [45] [「……なあ２人とも、正直に話してくれないか？」]
 82:  801| [47] [女２]
 83:  804| [45] [「え？」]
 84:  812| [47] [オレ]
 85:  815| [45] [「オレはそんな、立派な奴じゃないだろう？」]
 86:  823| [47] [オレ]
 87:  826| [45] [「なにかもっと……いや、上手く言えないが……！」]
 88:  852| [47] [女２]
 89:  855| [45] [「な、なに言ってるのさ！」]
 90:  881| [47] [女１]
 91:  884| [45] [「そうですよ！　あなたは正真正銘、レスキュー隊の隊長です！」]
 92:  889| [45] [――取り繕うように言う２人を見て、オレは確信した。]
