  0:  139| [55] [√Double Chapter3]
  1:  151| [45] [――夏彦と共同戦線を張った渡瀬は――]
  2:  223| [45] [まず夏彦に預けていた拳銃を、返してもらった。]
  3:  228| [45] [外にどんな危険が待ち受けているのかわからない以上、護身用の武器が必要だと思ったのだ。]
  4:  242| [45] [夏彦は少し渋ったが、最終的には承諾した。]
  5:  336| [45] [そしてシェルターを出る前に、渡瀬は２人に言う。]
  6:  344| [47] [渡瀬]
  7:  347| [45] [「改めて言うが、お前たちはここから絶対に動くなよ」]
  8:  355| [47] [渡瀬]
  9:  358| [45] [「誰が悪意に感染しているか正確にはわからんし、誰がどんな思惑で動いているかも不明だ。俺以外はみんな敵と思え」]
 10:  384| [47] [夏彦]
 11:  387| [45] [「……わかってるさ」]
 12:  413| [47] [夏彦]
 13:  416| [45] [「このシェルターの扉は、こっちからパスワードを入力しない限り開かない。お前が呼んだ時だけ、こっちから開けてやる」]
 14:  421| [45] [――夏彦はもう、渡瀬に対して敬語は使わなかった。]
 15:  426| [47] [渡瀬]
 16:  427| [45] [（……まぁ、これがこいつの本来の口調なんだろうな）]
 17:  432| [45] [自分やましろを銃で撃ち、悠里をも襲ったテロリストに対し、敬語を使うなんて不自然だ。]
 18:  437| [45] [渡瀬としては、こんな子供に対等な口調で話されるのも妙な気分だったが、これがむしろ渡瀬と夏彦の自然な関係と言える。]
 19:  463| [47] [夏彦]
 20:  466| [45] [「……だから頼むぞ渡瀬。悠里との約束、絶対に守ってくれよ」]
 21:  474| [47] [渡瀬]
 22:  477| [45] [「もちろんだ。それじゃ俺は行ってくる。悠里の事を頼むぞ」]
 23:  533| [45] [渡瀬が鉄扉を潜ろうとした時、その背中にかけられた声があった。]
 24:  565| [47] [悠里]
 25:  568| [45] [「あの、隊長さん」]
 26:  576| [47] [渡瀬]
 27:  579| [45] [「ん？」]
 28:  605| [47] [悠里]
 29:  608| [45] [「……気をつけて下さいね」]
 30:  616| [47] [渡瀬]
 31:  619| [45] [「……ああ」]
 32:  669| [45] [渡瀬は苦笑いし、シェルターを出た。]
 33:  726| [45] [注意深く歩きながら、先ほど夏彦と交わしていた会話を思い返す。]
 34:  731| [47] [渡瀬]
 35:  732| [45] [（約束は守れよ、か……）]
 36:  737| [45] [言われなくても、そうするつもりだった。]
 37:  742| [45] [元より渡瀬はこの計画において、他の人間を巻き込むつもりはなかった。]
 38:  747| [45] [巻き込まれてしまった皆については、無事に脱出させる義務がある。]
 39:  752| [45] [だけどその後、悠里を連れて行くという使命については、渡瀬も心が咎めていた。]
 40:  757| [45] [確かに被験体を１人でも確保しなければ、なんのためにこんな事件を起こしたのかわからなくなる。]
 41:  762| [45] [鹿鳴市の悪事も暴けないし、隠蔽体制も続くだろう。]
 42:  767| [45] [しかし悠里は本当に納得しているのだろうか。そして夏彦は？]
 43:  772| [45] [無論、そんな事を望んでいるわけがない。]
 44:  841| [47] [渡瀬]
 45:  842| [45] [（……使命を果たすためには、いずれあいつと再び対決する事になるかもな）]
 46:  858| [45] [しかしそれは、まだ先の話だ。]
 47:  863| [45] [今はまず、夏彦の言葉に応える事、悠里との約束を守る事だけを考えるべきだろう。]
 48:  916| [47] [渡瀬]
 49:  917| [45] [（そのためにも……まずは施設内に残った銃を、回収しなければならない）]
 50:  922| [45] [渡瀬同様、堂島たちも施設内に銃を持ちこんでいる。]
 51:  937| [45] [誰も拾っていなければ、それがまだどこかに残っているはずだ。]
 52:  985| [45] [そう思った渡瀬は、第３エリアに向かった。]
 53: 1036| [45] [――第３エリア内周棟・地下１階――]
 54: 1146| [45] [そこには例の、死体だらけの部屋があった。]
 55: 1151| [45] [ここは今まで、細かく捜索してはいなかった。]
 56: 1156| [45] [部屋の中はいつもと変わらず、堂島の死体と、見知らぬ研究員の死体が２つあった。]
 57: 1161| [45] [室内を染めていた血は、今は完全に乾き、黒く変色している。]
 58: 1167| [45] [変わり果てた仲間の姿を見ると、渡瀬の胸に鈍く強い痛みが走った。]
 59: 1175| [47] [渡瀬]
 60: 1178| [45] [「堂島……！」]
 61: 1183| [45] [渡瀬の口から、嗚咽が溢れかけた。]
 62: 1188| [45] [記憶を失っていた時には得られなかった、十年来の親友を失った事に対する悲しみが、今になって濁流のように押し寄せてくる。]
 63: 1244| [45] [消防官になったばかりの頃から、いつも一緒に戦ってきた。同じ年にレスキュー試験を受け、共に合格した。]
 64: 1249| [45] [やがて後輩の桧山が入ってきて、似た過去を持つ渡瀬たち３人は、分かちがたい戦友となった。]
 65: 1254| [45] [その２人が死んだのだ。堂島はここで、桧山は少し離れた場所で……。]
 66: 1259| [45] [だがどれだけ辛かろうと、今は悲嘆に暮れている時ではない。]
 67: 1277| [47] [渡瀬]
 68: 1280| [45] [「……堂島、桧山……お前たちの遺志は、俺が受け継ぐ」]
 69: 1288| [47] [渡瀬]
 70: 1291| [45] [「絶対に俺たちの悲願を、果たしてやるからな……！」]
 71: 1296| [45] [渡瀬はそう呟き、顔を上げる。]
 72: 1301| [45] [それから悲しみを堪え、その部屋を丹念に調べはじめた。]
 73: 1306| [45] [するとやがて部屋の隅に１丁、机の下に１丁、拳銃が落ちているのを発見した。]
 74: 1403| [45] [どちらも渡瀬の拳銃と同じ『Ｎｚ７５』。堂島と桧山が持ちこんだ銃に間違いはなかった。]
 75: 1408| [47] [渡瀬]
 76: 1409| [45] [（だが……どちらも弾切れか）]
 77: 1424| [45] [悪意に感染していた堂島たちは、この研究員たちに全弾を撃ちこんだのだろう。]
 78: 1429| [45] [そのくせ肝心の被験体Ｎには、逃げられてしまったのだ。]
 79: 1512| [47] [渡瀬]
 80: 1513| [45] [（悪意に感染すると、冷静さも失ってしまうみたいだな……）]
 81: 1518| [47] [渡瀬]
 82: 1519| [45] [（……でも、仕方ないよな、堂島）]
 83: 1524| [47] [渡瀬]
 84: 1525| [45] [（俺たちはレスキュー隊員だ……人殺しの手練は身につけてないもんな）]
 85: 1531| [45] [苦々しく思いつつ、部屋の隅に目をやる。]
 86: 1536| [45] [そこには削岩機が、壊れたまま放置されていた。]
