  0:   43| [55] [√Double Chapter 7]
  1:   61| [45] [--Those memories became the past in an instant, and new days continued on afterwards.]
  2:   68| [45] [--Those events became the past in an instant, and new days continued on afterwards.]
  3:   75| [45] [And now we have finally reached "today"--]
  4:   80| [45] [It's September 19, 2031, exactly one year after that incident.]
  5:  141| [45] [It's the first time in a while...]
  6:  146| [45] [That -I- have visited Rokumei City.]
  7:  185| [85] [　%N　%N　%N　%N　%N]
  8:  189| [47] [[--Watase Kasasagi's Present--]]
  9:  273| [45] [... A gentle breeze sways through the trees.]
 10:  278| [45] [I slowly walk down the road as I feel that wind caress my cheeks.]
 11:  283| [45] [In my left hand is a bouquet.]
 12:  288| [45] [And in my right-- is the hand of the woman I love more than anything.]
 13:  315| [47] [Kazami]
 14:  318| [45] ["The weather's so nice, isn't it...?"]
 15:  326| [47] [Watase]
 16:  329| [45] ["Yeah, it's really calm and peaceful... The air never tasted this good in prison."]
 17:  334| [45] [I'm relishing in the freedom I've finally obtained from the bottom of my heart.]
 18:  339| [45] [I'm finally walking-- not under confinement, nor under someone else's control, but on my own two feet.]
 19:  344| [45] [I never thought I could be so grateful for something we all take for granted.]
 20:  352| [47] [Watase]
 21:  355| [45] ["I'll have to thank Teach for making sure I got released in time for today."]
 22:  382| [47] [Kazami]
 23:  385| [45] ["That's true..."]
 24:  390| [45] [Kazami casts her eyes downard.]
 25:  395| [45] [Her face from the side still looks as beautiful as ever.]
 26:  403| [47] [Watase]
 27:  406| [45] ["... I know I just got out of prison, but I'm sorry for being so busy."]
 28:  414| [47] [Watase]
 29:  417| [45] ["A year's gone by and yet I still have lots to do."]
 30:  444| [47] [Kazami]
 31:  447| [45] ["No, don't be sorry... I don't mind."]
 32:  474| [47] [Kazami]
 33:  477| [45] ["I'm just happy that you're alive... and that you can live by my side."]
 34:  485| [47] [Watase]
 35:  488| [45] ["Kazami..."]
 36:  493| [45] [Kazami and I look at each other.]
 37:  498| [45] [But-- right then, we hear a voice calling out to us from far up ahead.]
 38:  562| [47] [Jun]
 39:  565| [45] ["Geez, get a room, you guys!"]
 40:  571| [45] [I look to find Jun staring at us.]
 41:  577| [45] [I look to find Jun staring at us.]
 42:  652| [45] [She's wearing the same orange uniform.]
 43:  657| [45] [Though Kazami and I have resigned, Jun's still in Sirius.]
 44:  715| [47] [Jun]
 45:  718| [45] ["Hurry up or my lunch break's gonna end, you hear!? I'm not supposed to be here, so rapido!"]
 46:  726| [47] [Watase]
 47:  729| [45] ["Whoa now, no need to rush. Not today of all days."]
 48:  762| [47] [Kazami]
 49:  765| [45] ["I see you're as cheerful as always."]
 50:  791| [47] [Jun]
 51:  794| [45] ["What're you on about? It's -because- it's today that I wanna act cheerful."]
 52:  799| [45] [Our eyes widen at those words.]
 53:  825| [47] [Kazami]
 54:  828| [45] ["... That's true..."]
 55:  836| [47] [Watase]
 56:  839| [45] ["Then I guess it's about time we go see her, don't you think?"]
 57:  865| [47] [Kazami]
 58:  868| [45] ["Yes."]
 59:  894| [47] [Jun]
 60:  897| [45] ["Yeah."]
 61:  902| [45] [We resume walking at those words.]
 62:  907| [45] [Our destination-- Rokumei Cemetery, located on the other side of the woods in the park.]
 63:  975| [45] [--Today's the anniversary of Nagisa's death.]
 64:  980| [45] [We overcame many obstacles just so we could visit her grave.]
 65:  985| [45] [And when we make our way to the Tachibana family grave, Nagisa's resting place--]
 66: 1039| [47] [Watase]
 67: 1042| [45] ["Oh!"]
 68: 1047| [45] [We find two familiar faces.]
 69: 1075| [47] [Ena]
 70: 1078| [45] ["Oh my, someone's late."]
 71: 1104| [47] [Ukita]
 72: 1107| [45] ["Oh, haven't seen you people in ages."]
 73: 1112| [45] [It's Teach and old man Ukita.]
 74: 1117| [45] [It looks like they got here before us and offered sticks of incense at Nagisa's grave.]
 75: 1143| [47] [Jun]
 76: 1146| [45] ["Ms. Tsubakiyama, Mr. Ukita! You came here too!?"]
 77: 1172| [47] [Kazami]
 78: 1175| [45] ["I apologize if we made you feel obliged to stop by at such a busy time..."]
 79: 1201| [47] [Ena]
 80: 1204| [45] ["Don't worry, this is far more important than anything on my plate right now."]
 81: 1230| [47] [Ukita]
 82: 1233| [45] ["That's right... and this marks my first full year of atonement."]
 83: 1238| [45] [Teach and the old man smile as they say that.]
 84: 1252| [45] [We return their smiles, then offer flowers to Nagisa's grave.]
 85: 1283| [47] [Jun]
 86: 1286| [45] ["... But man, it's been ages since I've seen you guys~ What've you been up to?"]
 87: 1312| [47] [Ukita]
 88: 1315| [45] ["I reached out to Dr. Tenkawa after I was released from prison. We're currently gathering sympathizers to help us plan out the development of an ethically moral BC research facility."]
 89: 1341| [47] [Ukita]
 90: 1344| [45] ["Like the PRC back in its days of yore."]
 91: 1370| [47] [Ena]
 92: 1373| [45] ["I've been going back and forth to six different government designated top-secret cities. Man, I'm so busy I feel like I'm gonna die."]
 93: 1399| [47] [Kazami]
 94: 1402| [45] ["So similar problems really are going on in the other top-secret cities, aren't they?"]
 95: 1428| [47] [Ena]
 96: 1431| [45] ["Not as bad as Rokumei City, but yeah. They more or less all have skeletons in their closets."]
 97: 1439| [47] [Watase]
 98: 1442| [45] ["... There's also the matter of Q too, isn't there?"]
 99: 1468| [47] [Jun]
100: 1471| [45] ["It may look peaceful, but this country sure is full of problems, huh..."]
101: 1476| [45] [Ena replied with a sigh in her voice.]
102: 1502| [47] [Ena]
103: 1505| [45] ["... It takes a huge incident like this one to wake people up before they notice these problems, huh."]
104: 1513| [47] [Ena]
105: 1516| [45] ["Even if they sense there's a problem, they never go looking for it..."]
106: 1524| [47] [Ena]
107: 1527| [45] ["And as society gets more complex, so too do its problems."]
108: 1535| [47] [Ena]
109: 1538| [45] ["And when more people get involved, their own individual circumstances and definitions of justice get tangled up, and eventually it becomes difficult to tell who's in the wrong."]
110: 1543| [45] [--Perhaps there really is some truth to that.]
111: 1597| [45] [It was the same with LABO.]
112: 1602| [45] [Whose fault was it that caused that insane incident-- the people running LABO, or Rokumei's city officials?]
113: 1607| [45] [Was it the fault of that pharmaceutical company that was business partners with LABO?]
114: 1657| [45] [Was it the fault of those two researchers who died underground, or the many other Senior Fellows who turned a blind eye?]
115: 1709| [45] [If you go further back, you could say it was caused by Alice Enflamme, her parents, or the people who persecuted Alice.]
116: 1714| [45] [Perhaps "Eishi Azumi", the man who developed Alice's BC abilities, or "Section Chief Tsubakiyama", Teach's father who suggested the establishment of LABO, were also factors.]
117: 1766| [45] [The more people involved, the harder it gets to pin one of them as fully responsible.]
118: 1771| [45] [The malice of individuals may seem utterly trivial.]
