  0:   71| [55] [√Double Chapter 2]
  1:  106| [47] [Natsuhiko]
  2:  109| [45] ["Uwaahhhh!"]
  3:  114| [45] [Natsuhiko immediately severed his connection to Watase's mind.]
  4:  157| [47] [Watase]
  5:  160| [45] ["!!"]
  6:  174| [45] [Watase's body twitched and he absentmindedly hung his head.]
  7:  179| [45] [When Natsuhiko returned to reality, Yuuri raised her voice in surprise.]
  8:  212| [47] [Yuuri]
  9:  215| [45] ["H-Hikorin!? Are you okay!?"]
 10:  220| [45] [Natsuhiko couldn't answer that question.]
 11:  283| [45] [His entire body was oozing with sweat. And yet his spine was ice cold.]
 12:  288| [47] [Natsuhiko]
 13:  289| [45] [(Wha... what the hell was that just now...!?)]
 14:  294| [45] [The last of Watase's memories that Natsuhiko saw had clearly gone mad at the final stage.]
 15:  299| [45] [All of Watase's thoughts had been logically sound until then, and yet they'd suddenly gone erratically incoherent.]
 16:  304| [45] [And it couldn't be something as simple as him being mentally driven into a corner due to the unforeseen deaths in his plan.]
 17:  309| [45] [Could a transfiguration so sudden... even happen normally?]
 18:  314| [47] [Natsuhiko]
 19:  315| [45] [(No, of course not!)]
 20:  320| [47] [Natsuhiko]
 21:  321| [45] [(There has to be some sort of reason Watase went mad!)]
 22:  396| [45] [--The very first plausible reason that came to mind had to be the presence of Subject N.]
 23:  419| [45] [Right after Subject N let out that bizarre laugh,]
 24:  424| [45] [the violent intentions within Watase suddenly arose.]
 25:  429| [45] [It was almost like Watase's personality had been rewritten.]
 26:  434| [47] [Natsuhiko]
 27:  435| [45] [(Could that have been--)]
 28:  440| [47] [Natsuhiko]
 29:  441| [45] [(--the same thing that Communicator A did 16 years ago!?)]
 30:  490| [47] [Natsuhiko]
 31:  491| [45] [(The root of the Great Rokumei City Arson-- "Communicator A's malice contagion"...)]
 32:  496| [47] [Natsuhiko]
 33:  497| [45] [(The same phenomenon happened here inside this facility!?)]
 34:  502| [45] [Natsuhiko's thought process went into overdrive.]
 35:  507| [47] [Natsuhiko]
 36:  508| [45] [(Everyone who came into contact with Subject N became completely deranged, such as the high ranked researchers and Watase.)]
 37:  587| [47] [Natsuhiko]
 38:  588| [45] [(The rescue workers "Dojima" and "Hiyama" may have fallen victim to the same mental state as well.)]
 39:  593| [47] [Natsuhiko]
 40:  594| [45] [(If you think about it normally, it's strange, but--)]
 41:  599| [45] [If Subject N spread around malicious telepathy in the same way Communicator A did, then everything made sense.]
 42:  679| [45] [In other words, Watase, his comrades, and the researchers all had their minds warped by Subject N's BC...!]
 43:  712| [47] [Natsuhiko]
 44:  713| [45] [(... No, wait a second! There's something off about that assumption!)]
 45:  763| [47] [Natsuhiko]
 46:  764| [45] [(Watase didn't hear any telepathy from Subject N!)]
 47:  769| [47] [Natsuhiko]
 48:  770| [45] [(If he didn't hear any of her telepathy, then it should be impossible for her emotions to have propagated to him!)]
 49:  775| [45] [Watase unconsciously fell into an abnormal state of mind.]
 50:  780| [45] [Why would that happen--!?]
 51:  785| [45] [As Natsuhiko pondered that point, he recalled something he had just seen in Watase's memory.]
 52:  859| [45] [--Right before Subject N laughed...]
 53:  864| [45] [... visions of Watase's past flickered in the back of his mind for a second.]
 54:  869| [47] [Natsuhiko]
 55:  870| [45] [(I... I know of a phenomenon quite similar to that!)]
 56:  936| [47] [Natsuhiko]
 57:  937| [45] [(The same thing happened when Yuuri dove through my brain.)]
 58: 1004| [47] [Natsuhiko]
 59: 1005| [45] [(Which means that Subject N--)]
 60: 1010| [47] [Natsuhiko]
 61: 1011| [45] [(--used Senses Sympathy on Watase!!)]
 62: 1016| [45] [--That was the only possibility he could think of.]
 63: 1021| [47] [Natsuhiko]
 64: 1022| [45] [(The "malice contagion" isn't spread through telepathy at all!)]
 65: 1027| [47] [Natsuhiko]
 66: 1028| [45] [(It's spread through Senses Sympathy!)]
 67: 1077| [47] [Natsuhiko]
 68: 1078| [45] [(Subject N was a Communicator who was incarcerated here in LABO just like Yuuri. It wouldn't be surprising at all if her ability was at the same level!)]
 69: 1127| [45] [(In that case, has Subject N been manipulating Watase via Senses Sympathy?)]
 70: 1175| [45] [But Senses Sympathy shouldn't be able to connect several humans at the same time.]
 71: 1180| [45] [If several humans were to connect at the same time, their multiple perspectives and senses would likely blend together into an incomprehensible mess.]
 72: 1229| [45] [And yet all of the people who came into contact with Subject N were infected by her malice one by one, and remained in that state continuously.]
 73: 1234| [47] [Natsuhiko]
 74: 1235| [45] [(They weren't being manipulated... It was like their very personalities were warped...)]
