  0:  119| [55] [√After Chapter7]
  1:  131| [47] [風見]
  2:  134| [45] [「ぐっ！」]
  3:  196| [47] [渡瀬]
  4:  199| [45] [「なっ……！」]
  5:  204| [45] [眼の前の光景に、渡瀬は言葉を失った。]
  6:  209| [45] [サリュの細い腕が、風見の首に食い込んでいる――！]
  7:  217| [47] [風見]
  8:  220| [45] [「か、はっ……」]
  9:  225| [45] [苦しそうに喘ぐ風見の背後から、サリュが鋭く渡瀬を睨む。]
 10:  233| [47] [サリュ]
 11:  236| [45] [「夏彦を解放して。でないとこの女の息の根を止める」]
 12:  244| [47] [渡瀬]
 13:  247| [45] [「やめろ、サリュ！」]
 14:  255| [47] [渡瀬]
 15:  258| [45] [「オレたちは君たちを救いたいだけなんだ！　どうしてそれをわかろうとしない！」]
 16:  266| [47] [サリュ]
 17:  269| [45] [「だから、見え透いた嘘はやめろと言っている」]
 18:  277| [47] [サリュ]
 19:  280| [45] [「あなたが夏彦を、撃ったくせに」]
 20:  294| [47] [渡瀬]
 21:  297| [45] [「――ッ！？」]
 22:  302| [45] [その言葉が、渡瀬の胸に突き刺さった。]
 23:  350| [47] [風見]
 24:  353| [45] [「な……今、なにを……！」]
 25:  361| [47] [サリュ]
 26:  364| [45] [「女、あなたは知らなかったの？」]
 27:  372| [47] [風見]
 28:  375| [45] [「嘘、ですよね……？　隊長が、そんな事するはずないですよね……？」]
 29:  383| [47] [渡瀬]
 30:  386| [45] [「…………っ」]
 31:  391| [45] [渡瀬には、夏彦を撃ったという記憶は無い。]
 32:  396| [45] [だが――]
 33:  598| [45] [――説明不可能の記憶があった。]
 34:  603| [45] [何も答えられない渡瀬に代わって、サリュが風見の耳元で囁く。]
 35:  611| [47] [サリュ]
 36:  614| [45] [「知らないなら教えてあげる」]
 37:  622| [47] [サリュ]
 38:  625| [45] [「この男は、テロリスト」]
 39:  633| [47] [サリュ]
 40:  636| [45] [「私たちは昨夜も今朝も、この男の襲撃を受けた」]
 41:  644| [47] [サリュ]
 42:  647| [45] [「ここで起こっていることは、全部あの男のせい」]
 43:  655| [47] [サリュ]
 44:  658| [45] [「あなたにだって、思い当たることはいくつもあるはず」]
 45:  666| [47] [風見]
 46:  669| [45] [「やめ……なさい……！　これ以上、そんなこと、聞きたくない……！」]
 47:  677| [47] [風見]
 48:  680| [45] [「私は隊長を信じて……」]
 49:  688| [47] [サリュ]
 50:  691| [45] [「ならよく見て。あの男の懐にあるものを」]
 51:  788| [45] [渡瀬の懐にあるもの――]
 52:  793| [45] [それはＮエリアで手に入れた拳銃だった。]
 53:  817| [47] [サリュ]
 54:  820| [45] [「あれは恐らく、この男の持ち物」]
 55:  828| [47] [サリュ]
 56:  831| [45] [「夏彦はあの銃で撃たれて――」]
 57:  836| [45] [サリュがそう言いかけた時、]
 58:  895| [47] [風見]
 59:  898| [45] [「――もう、やめて！」]
 60:  903| [45] [風見が絶叫し、乱暴にサリュを振り解いた。]
 61:  981| [47] [サリュ]
 62:  984| [45] [「！」]
 63:  989| [45] [その拍子にサリュの体が、後方へと飛ばされた。]
 64:  994| [45] [そして飛ばされた先には、階段が――]
 65: 1002| [47] [渡瀬]
 66: 1005| [45] [「あ……！」]
 67: 1010| [45] [渡瀬はその一部始終を、見ていることしかできなかった。]
 68: 1022| [45] [サリュはそのまま階段を転がり落ち――]
 69: 1029| [45] [地下１階の踊り場で、ぐったりと動かなくなった。]
 70: 1037| [47] [渡瀬]
 71: 1040| [45] [「――サリュ！」]
 72: 1150| [45] [渡瀬は慌ててサリュに駆け寄り、容態を確認した。]
 73: 1155| [45] [だがどうやら骨折などの目立った外傷は見当たらず、脈も呼吸もしっかりしている。]
 74: 1160| [45] [渡瀬が安堵の息をついた時――風見がふらふらと、階段を降りてきた。]
 75: 1186| [47] [風見]
 76: 1189| [45] [「隊長……三ノ宮さんは……？」]
 77: 1194| [45] [その顔は青ざめ、ひどく動揺しているようだった。]
 78: 1202| [47] [渡瀬]
 79: 1205| [45] [「大丈夫、気を失っているだけだ」]
 80: 1231| [47] [風見]
 81: 1234| [45] [「そ、そうですか……」]
 82: 1239| [45] [風見の身体が震えている。]
 83: 1244| [45] [震えながら、風見は渡瀬を見ていた。]
 84: 1249| [45] [――怯えたような眼で。]
 85: 1257| [47] [渡瀬]
 86: 1260| [45] [「橘……？」]
 87: 1265| [45] [風見の様子がおかしい。]
 88: 1270| [45] [彼女はまるで自分を抱き止めるように、自分で自分の身体を抱き――]
 89: 1296| [47] [風見]
 90: 1299| [45] [「隊長、私は…………」]
 91: 1304| [45] [そう呟いたきり、黙った。]
 92: 1312| [47] [渡瀬]
 93: 1315| [45] [「……どうした？」]
 94: 1320| [47] [風見]
 95: 1321| [45] [「……」]
 96: 1326| [45] [風見は答えなかった。]
 97: 1331| [45] [ただ渡瀬を見据えている。]
 98: 1336| [45] [渡瀬の胸中に不安が湧き出した。]
 99: 1344| [47] [渡瀬]
100: 1347| [45] [「……橘、どうして……そんな眼で、オレを見るんだ」]
101: 1355| [47] [渡瀬]
102: 1358| [45] [「まさか、サリュの言った事を信じてるのか？」]
103: 1366| [47] [渡瀬]
104: 1369| [45] [「バカな！　オレがテロリストのわけがないだろ？　記憶喪失だろうとなんだろうと――」]
105: 1377| [47] [渡瀬]
106: 1380| [45] [「オレが以前からずっとレスキュー隊員だったって事は、お前たちが一番よく知っているじゃないか！」]
107: 1385| [47] [風見]
108: 1386| [45] [「……」]
109: 1391| [45] [風見は答えない。不安が大きくなっていく。]
110: 1396| [45] [やがて風見は――怯えを振り切るように、呟いた。]
111: 1422| [47] [風見]
112: 1425| [45] [「……隊長。もう１度だけ質問しても、よろしいでしょうか」]
113: 1433| [47] [渡瀬]
114: 1436| [45] [「……なんだ」]
115: 1444| [47] [風見]
116: 1447| [45] [「解けていなかった疑問があるんです……」]
117: 1473| [47] [風見]
118: 1476| [45] [「隊長は、この事故が起きた直後の、６時４２分頃。どうして地下に降りてきたんですか……？」]
119: 1484| [47] [渡瀬]
120: 1487| [45] [「それは――だから、堂島と桧山に無線で呼ばれて……」]
121: 1495| [47] [風見]
122: 1498| [45] [「だったら無線は、通じていたということですよね？」]
123: 1524| [47] [風見]
124: 1527| [45] [「だけど……だけど、隊長」]
125: 1535| [47] [風見]
126: 1538| [45] [「私はね、その少し前に、隊長に無線通信を試みていたんですよ……！」]
127: 1546| [47] [渡瀬]
128: 1549| [45] [「……っ！」]
129: 1554| [45] [渡瀬の表情が凍りついた。]
130: 1559| [45] [そう言えば風見は、ずっと前に言っていた。]
131: 1564| [45] [『６時３５分頃、渡瀬との無線通信が断絶した』と。]
132: 1569| [45] [――その言葉との辻褄が合わない。]
133: 1574| [45] [だとすると――]
134: 1600| [47] [風見]
135: 1603| [45] [「堂島たちの無線は通じたのに、どうして私からの無線には出なかったんですか……？」]
136: 1611| [47] [風見]
137: 1614| [45] [「何か理由があって……意図的に、出なかったんじゃないですか……？」]
138: 1640| [47] [風見]
139: 1643| [45] [「救命任務の最中に、それを抜け、何か別の事を行うために」]
140: 1651| [47] [渡瀬]
141: 1654| [45] [「お、お前――いつからそんなこと考えていたんだ？」]
142: 1662| [47] [風見]
143: 1665| [45] [「隊長が『記憶が少し戻った』と言った時から……地下に降りた理由を聞いた時からです」]
144: 1673| [47] [風見]
145: 1676| [45] [「だけど、言えなかった……あなたを信じたかったから……」]
146: 1702| [47] [風見]
147: 1705| [45] [「時刻の不整合については、きっとあなたの記憶間違いだって思って……！」]
148: 1710| [45] [風見は目を伏せ、震える声で続けた。]
149: 1718| [47] [風見]
150: 1721| [45] [「私……必死に隊長を信じようとしていたんです」]
151: 1729| [47] [風見]
152: 1732| [45] [「ずっとずっと昔から、あなたを信じ続けていたんです」]
153: 1760| [47] [風見]
154: 1763| [45] [「あなたがどれほど変わろうとも……記憶喪失になろうとも」]
155: 1789| [47] [風見]
156: 1792| [45] [「だから先ほど抱きしめてくれた事は、本当に嬉しかった……あなたが昔のあなたに戻ってくれた気がして」]
157: 1818| [47] [風見]
158: 1821| [45] [「だけど……やっぱり、過去は過去なんです」]
159: 1829| [47] [風見]
160: 1832| [45] [「いくら自分に言い聞かせようと、もうあなたを信じる事は……」]
