  0:  105| [55] [√After Chapter 4]
  1:  109| [45] [--Watase then quickly changed the topic.]
  2:  117| [47] [Watase]
  3:  120| [45] ["... Okay, now that we've got my story cleared up, there's something more important we need to discuss."]
  4:  146| [47] [Kazami]
  5:  149| [45] ["You're talking about Ms. Yuuri, aren't you?"]
  6:  157| [47] [Watase]
  7:  160| [45] ["Yeah. It's far too dangerous for her to be wandering around this huge facility."]
  8:  165| [45] [Everyone nodded and focused on the conversation.]
  9:  191| [47] [Jun]
 10:  194| [45] ["And there's also Natsuhiko and the others to worry 'bout too."]
 11:  220| [47] [Jun]
 12:  223| [45] ["We've looked all over LABO and still haven't found them..."]
 13:  249| [47] [Kazami]
 14:  252| [45] ["Then either they really are moving around, or we missed them somewhere."]
 15:  278| [47] [Ena]
 16:  281| [45] ["Perhaps we should revise our search strategy..."]
 17:  286| [45] [Ukita quietly spoke after he heard Ena say this.]
 18:  389| [47] [Ukita]
 19:  392| [45] ["... Isn't locating AD still essential?"]
 20:  490| [47] [Watase]
 21:  493| [45] ["Huh?"]
 22:  501| [47] [Ukita]
 23:  504| [45] ["Have you not noticed? Just because we obtained 30 AD does not mean we have enough."]
 24:  530| [47] [Ukita]
 25:  533| [45] ["With the lift out of commission, our only hope is to wait for the lockdown to end."]
 26:  559| [47] [Ukita]
 27:  562| [45] ["But we need to inject ourselves with five more doses of AD to survive until then."]
 28:  570| [47] [Watase]
 29:  573| [45] ["I see... so when you add Yuuri and those three high schoolers into the mix, that makes nine of us in total..."]
 30:  599| [47] [Jun]
 31:  602| [45] ["Then we can only survive another three hours!?"]
 32:  607| [45] [Watase and the others gasped as that reality hit them.]
 33:  657| [45] [Indeed. Not everyone would survive if the AD they had here was all that was left.]
 34:  662| [47] [Watase]
 35:  663| [45] [(It'd be a different story if we just stole someone else's AD before they could take it, though...)]
 36:  668| [47] [Watase]
 37:  669| [45] [(...!!)]
 38:  674| [45] [Horror at what he'd just thought immediately hit Watase in full force.]
 39:  679| [45] [--It felt like a life-and-death game of "musical chairs" would inevitably break out at this rate.]
 40:  730| [47] [Watase]
 41:  731| [45] [(We don't have enough AD for nine people... so will it really come down to that...!?)]
 42:  736| [45] [If they tried to use the 30 ampules of AD to survive for the remaining five hours, that'd be 30 ampules/5 hours = enough for 6 people.]
 43:  741| [45] [Only six could survive. The other three would be doomed to their fate.]
 44:  746| [45] [--"9-3 = 6"--]
 45:  751| [45] [Watase worked out that sinister formula in his head.]
 46:  771| [47] [Watase]
 47:  772| [45] [(But... if you include Yuuri with the five of us here, that'd be six people...)]
 48:  777| [47] [Watase]
 49:  778| [45] [(Then we'd have just enough AD for our whole group.)]
 50:  783| [47] [Watase]
 51:  784| [45] [(Then isn't it better... that we don't find those three kids right away...!?)]
 52:  789| [45] [Now that he thought about it, the other survivors could have found AD for themselves.]
 53:  794| [45] [Then there was no need to go looking for them. It'd be safer for everyone that wa-]
 54:  799| [45] [Watase was taken aback when he realized what he was thinking.]
 55:  804| [47] [Watase]
 56:  805| [45] [(You dumbass! What the hell's wrong with you!?)]
 57:  810| [47] [Watase]
 58:  811| [45] [(You don't know for sure that they have any AD, right!?)]
 59:  816| [47] [Watase]
 60:  817| [45] [(There's no way in hell that you can just abandon them when you don't even know what kind of situation they're truly in!)]
 61:  822| [45] [Watase shook his head and tried to think of something else.]
 62:  827| [45] [He looked at his Procyon and checked the radiation levels.]
 63:  835| [47] [Watase]
 64:  836| [45] [(This isn't good... if everyone else figures this out...!)]
 65:  841| [45] [The group was calm at the moment, but Watase didn't know how things would turn out if the contamination kept on getting worse and worse.]
 66:  846| [45] [There was also the incident with Ukita just a few minutes ago to consider.]
 67:  851| [45] [If everyone's fatigue, tension, and fear built up--]
 68:  856| [47] [Watase]
 69:  857| [45] [(N-no...! I mustn't think about that!)]
 70:  862| [47] [Watase]
 71:  863| [45] [(I need to be thinking of a way where everyone can survive!)]
 72:  868| [45] [Watase shook his head and tried to think of something else.]
 73:  873| [45] [He looked at his Procyon and checked the radiation levels.]
 74:  881| [47] [Watase]
 75:  882| [45] [(N-no! ... I mustn't think about that!)]
 76:  887| [45] [Watase frantically dismissed the thought had that filled his mind for a second.]
 77:  892| [47] [Watase]
 78:  893| [45] [(I need to be thinking of a way where everyone can survive.)]
 79:  898| [45] [Watase thought that as he checked his Procyon.]
 80:  912| [45] [The reading said "4531 mSv".]
 81:  920| [47] [Watase]
 82:  923| [45] ["... If the contamination keeps on increasing at this rate, the whole facility may eventually be filled with over 8000 mSv."]
 83:  949| [47] [Jun]
 84:  952| [45] ["If that happens, then it'll be the same as not having any AD at all, huh..."]
 85:  978| [47] [Ena]
 86:  981| [45] ["This is bad! What should we do!?"]
 87: 1007| [47] [Kazami]
 88: 1010| [45] ["... There are four possible ways we can go about this."]
 89: 1015| [45] [Kazami said that, then looked everyone dead in the eye.]
 90: 1023| [47] [Kazami]
 91: 1026| [45] ["1: 'prioritize finding an escape route'."]
 92: 1034| [47] [Kazami]
