  0:   87| [55] [√After Chapter 5]
  1:   94| [47] [Watase]
  2:   97| [45] ["Wh-why...!?"]
  3:  102| [45] [Everyone was frozen in shock.]
  4:  128| [47] [Jun]
  5:  131| [45] ["Oh no... now we only have one AD each...!"]
  6:  139| [47] [Jun]
  7:  142| [45] ["Without AD, we'll be... exposed to the radiation!"]
  8:  150| [47] [Watase]
  9:  153| [45] ["..."]
 10:  158| [45] [Watase couldn't speak.]
 11:  263| [45] [He quickly checked his Procyon to find that it read "5839 mSv".]
 12:  269| [45] [He quickly checked his Procyon to find that it read "5868 mSv".]
 13:  275| [45] [He quickly checked his Procyon to find that it read "5899 mSv".]
 14:  281| [45] [He quickly checked his Procyon to find that it read "5928 mSv".]
 15:  287| [45] [He quickly checked his Procyon to find that it read "5958 mSv".]
 16:  293| [45] [He quickly checked his Procyon to find that it read "5989 mSv".]
 17:  314| [45] [The radiation levels throughout the entire facilty were all probably past the first danger standard by this point.]
 18:  319| [45] [Kazami had indeed managed to survive for an hour on only half of an AD before, but she also mentioned that she hadn't been feeling well during that time.]
 19:  324| [45] [Plus, the radiation levels were completely different then.]
 20:  329| [45] [If things didn't turn for the better soon, it was most likely only a matter of time before they exceeded the second danger standard.]
 21:  334| [47] [Watase]
 22:  335| [45] [(And the last time I was in a contaminated zone, I...!)]
 23:  340| [45] [He'd suffered from intense headaches and nausea after only a few minutes in there.]
 24:  345| [45] [He shuddered at the thought of that happening to everyone else.]
 25:  353| [47] [Watase]
 26:  356| [45] ["Dammit, how the hell did this happen!?"]
 27:  361| [45] [Bizarre events just kept happening one after the other.]
 28:  366| [45] [Watase gritted his teeth. Ukita then spoke up.]
 29:  458| [47] [Ukita]
 30:  461| [45] ["'How', you ask? It's obvious! Someone stole the AD, that's how!"]
 31:  487| [47] [Jun]
 32:  490| [45] ["He's right, and what's more..."]
 33:  498| [47] [Jun]
 34:  501| [45] ["... the culprit must be one of us."]
 35:  506| [45] [Jun scanned the others with a sharp look in her eye.]
 36:  521| [47] [Watase]
 37:  524| [45] ["W-wait just a minute, Moribe... do you realize what you just said?"]
 38:  550| [47] [Jun]
 39:  553| [45] ["But that's the only possibility I can think of!"]
 40:  579| [47] [Jun]
 41:  582| [45] ["I mean, there's no one else here aside from us and those kids, right?"]
 42:  594| [47] [Watase]
 43:  597| [45] ["Wha...!?"]
 44:  605| [47] [Watase]
 45:  608| [45] ["You idiot! Are you serious!? Are you actually doubting us!?"]
 46:  634| [47] [Jun]
