  0:   50| [55] [√Current Chapter1]
  1:   61| [45] [――]
  2:   66| [45] [――――]
  3:   71| [45] [――――――意識は、果てのない闇の中にあった。]
  4:   76| [45] [そこは何もかもが閉じた世界のようだった。]
  5:   81| [45] [視覚も、聴覚も、触覚も、嗅覚も、味覚も……あらゆる感覚が途切れている。]
  6:   86| [45] [世界に触れている実感がまるで無い。]
  7:   91| [47] [？？]
  8:   92| [45] [（なんだ……？）]
  9:   97| [45] [何が起きているのかわからない。]
 10:  102| [45] [自分は生きているのか死んでいるのか、それすら判然としない。]
 11:  107| [47] [？？]
 12:  108| [45] [（ぼくは、いったい……？）]
 13:  113| [45] [戸惑いの感情が、虚無に波紋を広げたその時――]
 14:  196| [47] [？？]
 15:  197| [45] [（こ……これは！）]
 16:  202| [45] [――瞬時に、記憶が戻ってきた。]
 17:  285| [45] [自分が何者か。どこで何をして、今のこの状況に置かれているのか。]
 18:  290| [47] [夏彦]
 19:  291| [45] [（そうだ……！　ぼくは、天川夏彦だ）]
 20:  296| [45] [ただのいち高校生だった自分が、テロの情報を掴み、それを阻止しようと、ラボに来た事も。]
 21:  301| [45] [そして、その果てに――]
 22:  384| [45] [テロリストの銃撃を受けた事も！]
 23:  389| [47] [夏彦]
 24:  390| [45] [（じゃあ――やっぱり、ぼくは死んだのか！？）]
 25:  473| [47] [夏彦]
 26:  474| [45] [（……いや……！）]
 27:  557| [47] [夏彦]
 28:  558| [45] [（だって、この脈動は……！）]
 29:  570| [45] [確かに感じる。]
 30:  575| [45] [それは――心臓の鼓動だった。]
 31:  635| [45] [それに視覚が聴覚が触覚が嗅覚が味覚が――痛覚が。]
 32:  640| [45] [肉体が、意識が、ここにある。]
 33:  645| [47] [夏彦]
 34:  646| [45] [（ぼくはまだ、死んでいない……？）]
 35:  651| [45] [……………………]
 36:  657| [45] [――――――――]
 37:  768| [47] [女１]
 38:  771| [45] [「――……長！」]
 39:  779| [47] [女１]
 40:  782| [45] [「……隊長、しっかりして下さい！　隊長！」]
 41:  790| [47] [女２]
 42:  793| [45] [「起きなよ隊長！　隊長ってば！」]
 43:  798| [45] [その声に呼び起こされ――]
 44:  803| [45] [夏彦は、眼を開けた。]
 45: 1003| [47] [女１]
 46: 1006| [45] [「あ……！　気がついたのですね！」]
 47: 1053| [47] [女２]
 48: 1056| [45] [「よ、よかったぁ！　死んでるかと思ったよ！」]
