  0:   44| [55] [√Double Chapter7]
  1:   55| [45] [――]
  2:   60| [45] [――――]
  3:   65| [45] [――――――意識は、果てのない闇の中にあった。]
  4:   76| [47] [？？]
  5:   77| [45] [（ここは……？）]
  6:   82| [45] [わからない。]
  7:   87| [45] [脳裏にはただ虚無だけがある。]
  8:   92| [47] [？？]
  9:   93| [45] [（何だ……？）]
 10:   98| [45] [思い出せるものは何もない。]
 11:  103| [47] [？？]
 12:  104| [45] [（どうしてこんな事に――）]
 13:  109| [45] [必死でその原因を探る。]
 14:  114| [45] [やがて誰のものとも知れない声が、意識の片隅で囁いた。]
 15:  119| [45] [祈るように、『目覚めてくれ』と――]
 16:  127| [47] [オレ]
 17:  130| [45] [「……」]
 18:  138| [47] [オレ]
 19:  141| [45] [「……う、ぐ……」]
 20:  287| [45] [……――どこか知らない場所で、俺は目覚めた。]
 21:  292| [47] [オレ]
 22:  293| [45] [（……？）]
 23:  306| [47] [オレ]
 24:  307| [45] [（ここは、どこだ……？）]
 25:  318| [45] [そう思いながら周囲を見回す。どうやらベッドの上に寝かされているようだ。]
 26:  331| [45] [清潔そうな白いシーツに、漂う消毒液の香り……どうやら、どこかの病室らしい。]
 27:  336| [45] [部屋の隅には、警察官らしき男が立っている。]
 28:  341| [45] [そしてベッドの脇にいた少年と少女が、俺の顔を覗き込んで言った。]
 29:  403| [47] [少年]
 30:  406| [45] [「あ……！　気がついたか……！」]
 31:  415| [47] [少女]
 32:  418| [45] [「よ、よかった……！　隊長さん、私たちの事、わかりますか？」]
 33:  423| [45] [彼らは俺の事を知ってるようだった。]
 34:  430| [45] [そして、俺もまた――]
 35:  438| [47] [渡瀬]
 36:  441| [45] [「な……夏彦と、悠里……？」]
 37:  446| [45] [その２人の事を、『覚えて』いた。]
 38:  503| [45] [俺はベッドから身を起こし、夏彦たちに尋ねる。]
 39:  511| [47] [渡瀬]
 40:  514| [45] [「ど、どういう事だ！？　なぜ俺は、お前たちの事を覚えているんだ！？」]
 41:  522| [47] [渡瀬]
 42:  525| [45] [「いや……それだけじゃない、全て覚えている……！？」]
 43:  569| [45] [夏彦たちの事だけではなかった。]
 44:  574| [45] [俺――笠鷺渡瀬の３２年間の人生も。俺がテロリストだった事も。そしてあのラボでの９時間と、そこから脱出した事も全て――！]
 45:  624| [45] [その果てに俺は、夏彦に銃を突きつけ、奴に選択を迫った。]
 46:  629| [45] [そして夏彦が答えを出し、俺にセンシズシンパシーを使い――]
 47:  668| [45] [いや、その先の記憶だけが、すっぽりと抜けていた。]
 48:  676| [47] [渡瀬]
 49:  679| [45] [「……夏彦、どういう事だ……？」]
 50:  687| [47] [渡瀬]
 51:  690| [45] [「お前は俺の全記憶を、消したんじゃなかったのか？」]
 52:  698| [47] [夏彦]
 53:  701| [45] [「……消さなかったんだよ」]
 54:  709| [47] [夏彦]
 55:  712| [45] [「ぼくがあの時、消したのは――お前の『あの瞬間の記憶』だけだ」]
 56:  720| [47] [渡瀬]
 57:  723| [45] [「な、に……！？」]
 58:  770| [47] [夏彦]
 59:  773| [45] [「……お前に悠里を、連れて行かせるわけにはいかなかった。だけどお前を消したくもなかった」]
 60:  781| [47] [夏彦]
 61:  784| [45] [「だからぼくは、以前やったように……お前の記憶をほんの一部だけ吹き飛ばし、気絶させたんだ」]
 62:  792| [47] [渡瀬]
 63:  795| [45] [「……！」]
 64:  800| [45] [それを聞いて、俺にもようやく理解できた。]
 65:  805| [45] [――ラボに閉じ込められたあの日。俺がまだ『記憶喪失のレスキュー隊員』だった頃――]
 66:  875| [45] [俺と心を繋いでいた夏彦は、サリュを護るため、俺の『現在の記憶』を消して気絶させた。]
 67:  880| [45] [夏彦はそれを、もう一度行ったのだ。悠里を護るために。]
 68:  983| [47] [夏彦]
 69:  986| [45] [「……消した記憶の量がごく少ない分、記憶消去のショックも小さかったとは思うけど……」]
 70:  994| [47] [夏彦]
 71:  997| [45] [「それでもお前が死ぬんじゃないかって、不安だった」]
 72: 1005| [47] [悠里]
 73: 1008| [45] [「……ひこりんは、あれからずっと、ここで隊長さんが目覚めるのを待ってました」]
 74: 1016| [47] [悠里]
 75: 1019| [45] [「あなたが生き延びる事を、心から願ってたんです……」]
 76: 1027| [47] [渡瀬]
 77: 1030| [45] [「……そうか……」]
 78: 1035| [45] [そうして俺は、生き延びた。]
 79: 1040| [45] [まっさらな状態に戻ることは無く、テロリストである俺のまま。]
 80: 1048| [47] [渡瀬]
