  0:  126| [55] [√Before Chapter6]
  1:  172| [45] [――しばらく走ると、学校に着いた。]
  2:  177| [45] [今日は日曜日だが、正門は開いている。]
  3:  182| [45] [休日出勤している教師や、部活に参加する生徒の為だろう。]
  4:  190| [47] [夏彦]
  5:  193| [45] [「運転手さん、裏手の職員用通用口まで行ってください」]
  6:  198| [47] [運転手]
  7:  201| [45] [「よろこんで～い」]
  8:  236| [45] [運転手が指示に従い、車を回す。]
  9:  289| [45] [そして夏彦たちは通用口のところで、タクシーを降りた。]
 10:  297| [47] [夏彦]
 11:  300| [45] [「運転手さん、ここで待ってて下さい。後で戻ってきますから」]
 12:  305| [47] [運転手]
 13:  308| [45] [「そりゃ貸切ですから。お待ちしておりますとも」]
 14:  313| [45] [その声を背に、学校に入っていった。]
 15:  318| [45] [通い慣れた学校なのに、まるで盗人のように注意深く。]
 16:  361| [45] [学内に入るなり、サリュが呟く。]
 17:  423| [47] [サリュ]
 18:  426| [45] [「それじゃさっそく、恵那を――」]
 19:  434| [47] [夏彦]
 20:  437| [45] [「待てサリュ」]
 21:  442| [45] [夏彦はサリュを慌てて呼び止めた。]
 22:  468| [47] [サリュ]
 23:  471| [45] [「どうしたの？」]
 24:  479| [47] [夏彦]
 25:  482| [45] [「耳を澄まして、あそこから聞こえる音を聞くんだ」]
 26:  487| [45] [夏彦がそう言って、天井の隅を指差す。]
 27:  492| [45] [するとそこから――]
 28:  542| [45] [監視カメラの駆動音が聞こえてきていた。]
 29:  569| [47] [サリュ]
 30:  572| [45] [「ここにもカメラが……！」]
 31:  580| [47] [夏彦]
 32:  583| [45] [「この学校には不審者の侵入防止のために、監視カメラが備え付けられているんだ」]
 33:  588| [45] [夏彦は普段は、目を逸らしていた。]
 34:  593| [45] [日々それを気にしていては、落ち着かないから。]
 35:  625| [47] [サリュ]
 36:  628| [45] [「……これじゃ職員室に行く事もできない」]
 37:  636| [47] [夏彦]
 38:  639| [45] [「あぁ、でもなんとか死角をついて――」]
 39:  644| [45] [夏彦がそう言いかけた時、ましろがコメカミに指を当てた。]
 40:  677| [47] [ましろ]
 41:  680| [45] [「待って２人とも、いま先生にテレパシーを送るから」]
 42:  706| [47] [ましろ]
 43:  709| [45] [「『先生、緊急事態です。こちらは鳥羽ましろです。学校内にいたら、通用口のところまで来てください』って」]
 44:  735| [47] [ましろ]
 45:  738| [45] [「この方が、動き回るより確実だよ」]
 46:  746| [47] [夏彦]
 47:  749| [45] [「なるほど……！　じゃあここで待とう」]
 48:  797| [45] [そうしてましろがテレパシーを送り、そこでしばらく待っていると――]
 49:  802| [45] [やがて恵那が現れた。]
 50:  864| [47] [恵那]
 51:  867| [45] [「鳥羽さん！？　天川くんに三ノ宮さんも！」]
 52:  894| [47] [ましろ]
 53:  897| [45] [「あっ、先生！　よかった、いてくれた～……！」]
 54:  923| [47] [恵那]
 55:  926| [45] [「あなたたちどうしたの？　日曜日に学校に来て、しかも緊急事態って」]
 56:  934| [47] [夏彦]
 57:  937| [45] [「話せば長くなるんです……どこか、監視カメラのないところで話せませんか？」]
 58:  942| [45] [緊迫した夏彦の声に、恵那の表情も真剣味を帯びた。]
 59:  950| [47] [恵那]
 60:  953| [45] [「……何か切羽詰った事情があるのね」]
 61:  979| [47] [恵那]
 62:  982| [45] [「すぐそこにＢＣルームがあるわ。あそこなら監視カメラもない。そこで話を聞かせてちょうだい」]
 63: 1089| [45] [夏彦たちはこっそりと、ＢＣルームに移動した。]
 64: 1094| [45] [いつものように教壇に立ち、そして恵那が言う。]
 65: 1156| [47] [恵那]
 66: 1159| [45] [「――さて、聞かせてもらいましょうか」]
 67: 1167| [47] [恵那]
 68: 1170| [45] [「昨日からあなたたち、様子が変だけど。一体何があったの？」]
 69: 1178| [47] [夏彦]
 70: 1181| [45] [「信じてもらえるかわからないんですけど……ぼくたち、妙な事件に巻き込まれてるんです」]
 71: 1207| [47] [ましろ]
 72: 1210| [45] [「それで相談したい事があって、恵那先生を探してたんですよ」]
 73: 1236| [47] [恵那]
 74: 1239| [45] [「事件？　相談したいこと？　なんの話かしら？」]
 75: 1247| [47] [夏彦]
 76: 1250| [45] [「えっと、最初から話しますけども……」]
 77: 1255| [45] [夏彦は恵那に、昨日からのいきさつを話した。]
 78: 1260| [45] [バスの中での一件から、Ｑが街にいる可能性、そして保安課に追われるようになった理由まで。]
 79: 1265| [45] [ましろのエンパシーの件は、伏せておいた。]
 80: 1270| [45] [そして話を聞き終えた恵那は――ぽつりと言った。]
 81: 1296| [47] [恵那]
 82: 1299| [45] [「……そう、そんな事が……」]
 83: 1325| [47] [ましろ]
 84: 1328| [45] [「先生、信じてくれますか！？」]
 85: 1354| [47] [恵那]
 86: 1357| [45] [「ええ。生徒の言う事ですもの、信じるわよ」]
 87: 1383| [47] [恵那]
 88: 1386| [45] [「そしてあなたたちが純粋な正義感から、行動してるって事もね」]
 89: 1391| [45] [夏彦たちはほっとしかけたが、その直後、恵那がぴしゃりと言う。]
 90: 1417| [47] [恵那]
 91: 1420| [45] [「……でもだからこそ、あなたたちはこの事件に関わるべきじゃないと思うわ」]
 92: 1428| [47] [夏彦]
 93: 1431| [45] [「そんな……！　なんでですか！？」]
 94: 1457| [47] [恵那]
 95: 1460| [45] [「教師として、生徒の身に危険が及ぶことなんて、賛成できるわけないでしょう？」]
 96: 1486| [47] [恵那]
 97: 1489| [45] [「それぐらい警戒すべき相手よ、Ｑという組織は」]
 98: 1497| [47] [夏彦]
 99: 1500| [45] [「先生は、Ｑを知ってるんですか？」]
100: 1526| [47] [恵那]
101: 1529| [45] [「当たり前でしょう？　鹿鳴学園の教師なのよ、私は」]
102: 1534| [45] [どうやらましろたちの言う通り、有名な組織らしい。しかし――]
103: 1560| [47] [ましろ]
