  0:  166| [55] [√After Chapter1]
  1:  180| [47] [男]
  2:  183| [45] [「待ってろ！　今、助けてやる！」]
  3:  234| [45] [男がそう叫んで、火の中に躍り込んだ瞬間――彼の襟を誰かが掴んだ。]
  4:  292| [47] [女隊員]
  5:  295| [45] [「隊長！　ダメだよ闇雲に飛び込んじゃ！」]
  6:  303| [47] [男]
  7:  306| [45] [「しかし、このままではあの子が――」]
  8:  332| [47] [女隊員]
  9:  335| [45] [「ここはあたしが行く！」]
 10:  340| [45] [女隊員にそう言われて、男は――]
 11:  355| [47] [男]
 12:  358| [45] [「ッッッ……わかった、頼む！」]
 13:  363| [45] [思わずそう答えていた。彼女に任せれば安心だという気がしたのだ。]
 14:  389| [47] [女隊員]
 15:  392| [45] [「うし、任せて！」]
 16:  397| [45] [すぐに女隊員が、男を押しのけるように室内へ飛び込む。]
 17:  408| [47] [男]
 18:  411| [45] [「いや、オレに任せろ！」]
 19:  492| [45] [とっさにそう答えていた。]
 20:  551| [45] [だが男が再び駆け出そうとした時、眼前の炎が大きくうねった。]
 21:  556| [47] [男]
 22:  557| [45] [（ッ……！！）]
 23:  586| [47] [女隊員]
 24:  589| [45] [「あぁもう、だから休んでてって言ったのに！」]
 25:  615| [47] [女隊員]
 26:  618| [45] [「そんな危うい足取りじゃ邪魔になるだけだよ！」]
 27:  633| [47] [男]
 28:  636| [45] [「す、すまん！　やっぱ頼む！」]
 29:  662| [47] [女隊員]
 30:  665| [45] [「あいよ！」]
 31:  670| [45] [すぐに女隊員が、男を押しのけるように室内へ飛び込む。]
 32:  684| [47] [女隊員]
 33:  687| [45] [「副隊長、放水援護よろしく！」]
 34:  713| [47] [副隊長]
 35:  716| [45] [「了解！」]
 36:  824| [45] [副隊長はホースを天井に向けた。]
 37:  829| [45] [放水が天井にぶつかって砕け、霧状に散る。]
 38:  953| [45] [それをまとうように、女隊員は部屋の中を駆けた。]
 39:  958| [47] [男]
 40:  959| [45] [（こんな技術が――！？）]
 41:  964| [45] [それは完璧なコンビネーションだった。]
 42:  969| [45] [女隊員は霧と蒸気の中、少女に駆け寄り――]
 43: 1131| [47] [女隊員]
 44: 1134| [45] [「っしゃああ！　要救助者確保ぉっ！」]
 45: 1139| [45] [そう叫んだ。]
 46: 1144| [45] [それは瞬く間の救出劇だった。]
 47: 1242| [45] [――やがて、あの激しい火も鎮火した後――]
 48: 1322| [45] [隊員たちは、助け出した少女を介抱していた。]
 49: 1348| [47] [女隊員]
 50: 1351| [45] [「さぁお嬢ちゃん、もう大丈夫だよ」]
 51: 1377| [47] [副隊長]
 52: 1380| [45] [「おケガはありませんか？」]
 53: 1408| [47] [少女]
 54: 1411| [45] [「……は、はい」]
 55: 1416| [45] [男は、やや離れた所から見ていた。]
 56: 1421| [47] [男]
 57: 1422| [45] [「……」]
 58: 1427| [45] [結局、男は消火にも救助にも、まるで役に立てなかった。]
 59: 1432| [45] [せめてもと思い、男が少女に話しかける。]
 60: 1440| [47] [男]
 61: 1443| [45] [「えっと……そのなんだ、無事でよかったな？」]
 62: 1504| [47] [少女]
 63: 1507| [45] [「っ！？」]
 64: 1530| [45] [その途端、少女がまた怯えたような表情を浮かべた。]
 65: 1556| [47] [副隊長]
 66: 1559| [45] [「……？　隊長がどうしましたか？」]
 67: 1567| [47] [男]
 68: 1570| [45] [「え？　オレは別に、何も……」]
 69: 1596| [47] [女隊員]
 70: 1599| [45] [「怖がらせないでよ。隊長、眼つきが怖いんだよ」]
 71: 1607| [47] [男]
 72: 1610| [45] [「あぁ、いや……すまなかった、驚かせちまったみたいだな」]
 73: 1618| [47] [男]
 74: 1621| [45] [「だが安心してくれ。オレたちは味方だ。君を助けに来たんだ」]
 75: 1629| [47] [男]
 76: 1632| [45] [「………たぶん」]
 77: 1690| [45] [その言葉に、少女がビクッと身を震わせる。]
 78: 1716| [47] [副隊長]
 79: 1719| [45] [「隊長！　どうして『たぶん』なんておっしゃるんですか？」]
 80: 1745| [47] [女隊員]
 81: 1748| [45] [「そうだよ隊長、さっきから何か変だよ？」]
 82: 1774| [47] [女隊員]
 83: 1777| [45] [「状況がわからないとか言うし、なんか全然使い物にならないし」]
 84: 1785| [47] [男]
 85: 1788| [45] [「す、すまん……」]
 86: 1793| [45] [ひとまず謝ってから、男は問いを返した。]
 87: 1801| [47] [男]
 88: 1804| [45] [「ところで、２人に聞きたいことがあるんだが……」]
 89: 1812| [47] [男]
 90: 1815| [45] [「オレが『隊長』って呼ばれてるってことは、つまり……オレはレスキュー隊かなんかの隊長なんだよな？」]
 91: 1841| [47] [女隊員]
 92: 1844| [45] [「はぁ？　隊長、なに言ってんの？」]
 93: 1870| [47] [副隊長]
 94: 1873| [45] [「それは……どういう意味でしょう？」]
 95: 1878| [45] [そう言われて、男は考える。]
 96: 1883| [45] [だがやはり自分についての情報は、頭の中には皆無だった。]
 97: 1891| [47] [男]
 98: 1894| [45] [「その、実は……わからないんだよ」]
 99: 1902| [47] [男]
100: 1905| [45] [「自分が誰で、ここがどこなのか……」]
101: 1962| [47] [３人]
102: 1965| [45] [「え！？」]
103: 1970| [45] [その言葉に、彼女たちの表情がひきつった。]
104: 1996| [47] [副隊長]
105: 1999| [45] [「そ、それは、まさか……」]
106: 2025| [47] [女隊員]
107: 2028| [45] [「記憶喪失……？」]
108: 2080| [45] [――記憶喪失。]
109: 2085| [45] [男は頭の中で、その言葉を反芻した。]
110: 2090| [47] [男]
111: 2091| [45] [（つまり、そういう事なのか……？）]
112: 2096| [45] [だが不意に『違う』という、根拠のない答えが頭に浮かぶ。]
113: 2101| [47] [男]
114: 2102| [45] [（頭が……自分について考えるのを拒否しているような……）]
115: 2107| [45] [それは奇妙な感覚だった。]
116: 2112| [45] [だが何が自分に起きたのか、うまく説明できそうにない。止む無くそれで納得する事にした。]
117: 2130| [47] [男]
118: 2133| [45] [「……そ、そう……いわゆる記憶喪失らしい……」]
119: 2159| [47] [女隊員]
120: 2162| [45] [「ま、またまたぁ。冗談止めてよ、隊長ぉー？」]
121: 2170| [47] [男]
122: 2173| [45] [「いや、これが冗談なら良いんだが……！」]
123: 2199| [47] [女隊員]
124: 2202| [45] [「って……もしかして、マジなの！？」]
125: 2228| [47] [副隊長]
126: 2231| [45] [「お、お待ち下さい隊長！　頭にケガなどはされてませんか！？」]
127: 2239| [47] [男]
128: 2242| [45] [「ケガ……？　そう言えば、さっき頭がズキンと痛んだが……」]
129: 2268| [47] [副隊長]
130: 2271| [45] [「やはり……！　どこかに頭を打ちつけた可能性があります」]
131: 2297| [47] [副隊長]
132: 2300| [45] [「意識や記憶の混濁は、恐らくそのせいでしょう。ならば記憶は、時間が経てば戻ってくるはずです」]
133: 2308| [47] [男]
134: 2311| [45] [「そ、そういうものなのか？」]
135: 2338| [47] [副隊長]
136: 2341| [45] [「えぇ。外傷による逆行性健忘症は、ほとんどの場合は特に治療をしなくても、やがて自然に症状が消えるそうです」]
137: 2346| [45] [副隊長は専門用語らしきものを交えて、そう説明してくれた。]
138: 2354| [47] [男]
139: 2357| [45] [「……じゃあ、これは一時的なものか」]
140: 2383| [47] [副隊長]
141: 2386| [45] [「はい。ただ脳が損傷していた場合、健忘症は恒久的になる恐れがあります」]
142: 2412| [47] [副隊長]
143: 2415| [45] [「さらにそのまま放置すると、脳に障害が残ったり、死亡してしまうケースも考えられます」]
144: 2423| [47] [男]
145: 2426| [45] [「……！」]
146: 2431| [45] [その言葉に、男はかすかな戦慄を覚えた。]
147: 2457| [47] [女隊員]
148: 2460| [45] [「なにそれヤバそうじゃん……！」]
149: 2486| [47] [女隊員]
150: 2489| [45] [「隊長、頭痛の程度はどうなの？　吐き気とかは？」]
151: 2497| [47] [男]
152: 2500| [45] [「ああ……今は全く痛まない。吐き気も特に感じない」]
153: 2526| [47] [女隊員]
154: 2529| [45] [「な、なら安心かな？」]
155: 2555| [47] [副隊長]
156: 2558| [45] [「いやまだです。隊長、ちょっと失礼します」]
157: 2668| [45] [女は男の腕を掴み、袖をまくって手首を見た。]
158: 2673| [45] [今まで気づかなかったが、そこにはリストバンドのようなものがはめられている。]
159: 2681| [47] [男]
160: 2684| [45] [「これは？」]
161: 2785| [47] [副隊長]
162: 2788| [45] [「『バイタルチェッカー』といいます。装着者の健康状態を、自動診断するものです」]
163: 2793| [45] [見ればそこには幾つかの数値と、緑色の光が５つ灯っていた。]
164: 2835| [47] [副隊長]
165: 2838| [45] [「――コンディション・オールグリーン。脈拍・血圧等に問題なし……完全に健康体ですね」]
166: 2885| [47] [女隊員]
167: 2888| [45] [「じゃあとりあえず、死んじゃうような心配はないかな……？」]
168: 2914| [47] [副隊長]
169: 2917| [45] [「ただ確実な診断ではないので楽観視はできません。後ほど精密検査と治療を受けて下さい」]
170: 2923| [45] [副隊長がそう答えた時、女隊員が目を見開いた。]
171: 2955| [47] [女隊員]
172: 2958| [45] [「……あ、ヤバい！　それよりもまず副隊長！」]
173: 2984| [47] [女隊員]
