  0:   39| [55] [√Current Chapter2]
  1:   56| [45] [渡瀬たちは第５エリアをもう１度見回してから、ファクトリーへ移動した。]
  2:  105| [47] [渡瀬]
  3:  108| [45] [「見たところ、人気はないが……」]
  4:  185| [47] [宇喜多]
  5:  188| [45] [「だがユウリくんが、こちらに逃げて来ている可能性もある」]
  6:  214| [47] [洵]
  7:  217| [45] [「うん。あと脱出経路の手がかりも見つけなきゃだね」]
  8:  222| [45] [渡瀬たちはそう話しつつ、搬出リフトのある小部屋に向かった。]
  9:  335| [45] [手先の器用な洵なら、コントロールパネルを修理できるかもしれないという話になったのだが――]
 10:  340| [45] [やがて彼女も、『修理は難しい』と結論付けた。]
 11:  495| [47] [洵]
 12:  498| [45] [「……どう考えても部品が足りないんだ」]
 13:  524| [47] [洵]
 14:  527| [45] [「まるで内部の配線とかが引きちぎられでもしたみたいに、消えてなくなってるのさ。すぐに修理するのは難しいよ」]
 15:  532| [47] [夏彦]
 16:  533| [45] [（そうか……あの時、渡瀬がましろの後を追わないように、ぼくが引っこ抜いたんだっけ……）]
 17:  538| [45] [それを所持する夏彦の身体が、Ｎエリアにある以上、修理が困難なのも当然だった。]
 18:  546| [47] [渡瀬]
 19:  549| [45] [「よし……じゃあこのリフトの事は、要救助者を見つけてから、改めて考えよう」]
 20:  739| [45] [――しかし第６エリアのどこ探しても、サリュや少女の姿はなかった。]
 21:  784| [45] [仕方なく渡瀬たちは、第１エリアに移動した。]
 22:  854| [45] [直後、渡瀬の足がぴたりと止まる。]
 23:  881| [47] [宇喜多]
 24:  884| [45] [「ん？　どうかしたのかね」]
 25:  892| [47] [渡瀬]
 26:  895| [45] [「いや……さっき人の足音がしたような……」]
 27:  942| [47] [洵]
 28:  945| [45] [「えっ！？　どこで！？」]
 29: 1034| [45] [渡瀬たちは足音を追って、階段室に駆け込んだ。]
 30: 1039| [45] [だが、そこで彼らを待ち受けていたのは――]
 31: 1177| [47] [洵]
 32: 1180| [45] [「隊長、危ない！！」]
 33: 1262| [47] [洵]
 34: 1265| [45] [「か……はっ」]
 35: 1285| [45] [落ちてきた瓦礫で洵が背中を負傷するという、手酷いアクシデントだった。]
 36: 1343| [45] [そして治療のために、洵を手近な研究室に運び込んだ時、]
 37: 1429| [47] [宇喜多]
 38: 1432| [45] [「よ……よし、隊長さん！　だったら君が守部くんを手当てしている間に、僕が捜索を続けておこう！」]
 39: 1452| [45] [宇喜多がそう行って部屋を飛び出して行き――]
 40: 1496| [45] [――渡瀬も洵の治療を終えるとすぐに、捜索を再開した。]
