  0:  186| [55] [√After Chapter6]
  1:  193| [47] [渡瀬]
  2:  196| [45] [「危ねぇっ！」]
  3:  201| [45] [振り下ろされた斬撃を、渡瀬は横っ飛びにかわした。]
  4:  206| [45] [必死で距離を取って、人影の正体を確認する。]
  5:  211| [45] [そこに立っていたのは――]
  6:  264| [47] [渡瀬]
  7:  267| [45] [「君は！？」]
  8:  272| [45] [これまでに２度遭遇し、逃げられた少女『サリュ』だった。]
  9:  277| [45] [その双眸にあるのは、氷のように冷たい光。]
 10:  282| [45] [手に握られているのは、焼け焦げた斧。]
 11:  290| [47] [渡瀬]
 12:  293| [45] [「その斧は……！」]
 13:  370| [45] [――死んだ同僚、『桧山』の遺したものだ。]
 14:  416| [45] [それはいつの間にか、誰かに持ち去られていた。]
 15:  421| [45] [誰がなんのために持ち去ったのか、ずっと気にかかってはいたが――！]
 16:  427| [45] [第４エリアに放置してきたはずのものが、なぜかサリュの手に――！]
 17:  630| [47] [渡瀬]
 18:  633| [45] [「まさか、君が……！？」]
 19:  638| [45] [渡瀬の問いにサリュは答えず、]
 20:  704| [45] [再び飛び掛ってきた。]
 21:  771| [47] [渡瀬]
 22:  774| [45] [「うぁっ！」]
 23:  779| [45] [斧が渡瀬の首を薙ぐ。]
 24:  784| [45] [渡瀬は辛うじて上体をそらし、その軌道から逃れていた。]
 25:  789| [45] [斧の重量に振り回され、彼女の身体が大きく流れる。]
 26:  846| [47] [渡瀬]
 27:  847| [45] [（今だ！）]
 28:  852| [45] [とっさにサリュに掴みかかる。]
 29:  857| [45] [だがそれより一瞬早く、彼女の脚が翻った。]
 30:  983| [47] [渡瀬]
 31:  986| [45] [「がッ！？」]
 32:  991| [45] [遠心力を活かした鋭い蹴りが、渡瀬のコメカミを捉えた。]
 33:  996| [45] [脳が揺れ、視界が暗くなる。]
 34: 1001| [45] [それでも渡瀬はとっさに、サリュを突き飛ばしていた。]
 35: 1156| [45] [そのまま飛びのき、再び間合いを取る。]
 36: 1205| [45] [戻ってきた視界に、サリュの冷たい表情が映った。]
 37: 1210| [47] [渡瀬]
 38: 1211| [45] [（な……なんだこいつは……！）]
 39: 1216| [45] [外見に似合わない戦闘技術。全く躊躇の無い攻撃――。]
 40: 1224| [47] [渡瀬]
 41: 1227| [45] [「く……！」]
 42: 1232| [45] [しかも頭痛と痙攣は、さらに強くなっている。]
 43: 1237| [45] [こんな状態で格闘しては、本当に命を落としかねない。]
 44: 1244| [45] [拳銃は最初の攻防で、すでに取り落としていた。]
 45: 1249| [47] [渡瀬]
 46: 1250| [45] [（くそっ……なんとか無傷で、サリュを取り押さえられりゃいいんだが……！）]
 47: 1256| [45] [渡瀬は一瞬、懐の拳銃を取り出すべきか迷った。]
 48: 1261| [47] [渡瀬]
 49: 1262| [45] [（……いや、ダメだ！　人を傷つけてまで、自分の身を護るなんて！）]
 50: 1267| [45] [そう思った時――サリュの体が、かすかに震えているのに気付いた。]
 51: 1272| [45] [先ほどから渡瀬が痙攣しているのと同様に。]
 52: 1280| [47] [渡瀬]
 53: 1283| [45] [「お、おい！　君もまさか、この頭痛を感じてるのか！？」]
 54: 1291| [47] [サリュ]
 55: 1294| [45] [「……っ」]
 56: 1302| [47] [渡瀬]
 57: 1305| [45] [「だったらさっさとここから逃げろ！」]
 58: 1313| [47] [渡瀬]
 59: 1316| [45] [「自分の身を危険にさらしてまで、オレと戦って何になる！？」]
 60: 1321| [45] [そう叫ぶと、思いがけず彼女の動きが止まった。]
 61: 1329| [47] [サリュ]
 62: 1332| [45] [「……またその台詞」]
 63: 1340| [47] [渡瀬]
 64: 1343| [45] [「『また』？」]
 65: 1351| [47] [サリュ]
 66: 1354| [45] [「あなたは前回も、私に同じことを言った」]
 67: 1362| [47] [渡瀬]
 68: 1365| [45] [「な……なんだと！？」]
 69: 1370| [45] [驚きと戸惑いで、渡瀬の身体は硬直した。]
 70: 1375| [47] [渡瀬]
 71: 1376| [45] [（前回っていつだ！？　オレはいつこの子と――！？）]
 72: 1381| [45] [一瞬の混乱――それが渡瀬の隙を生んだ。]
 73: 1437| [45] [サリュが三たび飛び掛ってきた。]
 74: 1442| [47] [渡瀬]
 75: 1443| [45] [（まずい！）]
 76: 1448| [45] [次は凌げない！　やられる！]
 77: 1453| [45] [そう思った時――体が、勝手に動いた。]
 78: 1644| [47] [渡瀬]
 79: 1645| [45] [（ッ！）]
 80: 1650| [45] [渡瀬の体が沈みこむ。短距離走のクラウチングスタートのように。]
 81: 1655| [45] [脚に力を溜め、瞬時にそれを解き放ち、渡瀬は彼女に飛び掛った。]
 82: 1743| [47] [サリュ]
 83: 1746| [45] [「！？」]
 84: 1751| [45] [サリュの驚愕の表情が見えた。]
 85: 1756| [45] [その一瞬後には、渡瀬の弾丸のようなタックルが、彼女の胴を捉えていた。]
 86: 1877| [47] [サリュ]
 87: 1880| [45] [「かはっ！」]
 88: 1885| [45] [サリュの手から斧がこぼれ落ち、背中から倒れこむ。]
 89: 1890| [45] [渡瀬はその勢いのまま、彼女に馬乗りになっていた。]
