  0:   50| [55] [√Current Chapter 1]
  1:   61| [45] [--]
  2:   66| [45] [----]
  3:   71| [45] [------His consciousness was in an endless darkness.]
  4:   76| [45] [It felt like a world shut off from everything.]
  5:   81| [45] [Sight, hearing, touch, smell, taste... he'd been disconnected from all his senses.]
  6:   86| [45] [It didn't feel like there was a world around for him to experience at all.]
  7:   91| [47] [???]
  8:   92| [45] [(What...?)]
  9:   97| [45] [He had no idea what was going on.]
 10:  102| [45] [He couldn't even tell if he was dead or alive.]
 11:  107| [47] [???]
 12:  108| [45] [(What in the world am I...?)]
 13:  113| [45] [Ripples of bewilderment spread across the calm sea of nihility, and then--]
 14:  196| [47] [???]
 15:  197| [45] [(Th... this is!)]
 16:  202| [45] [--his memory suddenly returned.]
 17:  285| [45] [He remembered who he was. Where he was. What he was doing. What he had gotten himself into.]
 18:  290| [47] [Natsuhiko]
 19:  291| [45] [(That's right...! I'm Natsuhiko Tenkawa.)]
 20:  296| [45] [He remembered that he, an ordinary high school student, had caught wind of a terrorist attack and went to LABO to prevent it.]
 21:  301| [45] [And finally, he remembered--]
 22:  384| [45] [--that he got shot by a terrorist!]
 23:  389| [47] [Natsuhiko]
 24:  390| [45] [(Then-- am I really dead after all!?)]
 25:  473| [47] [Natsuhiko]
 26:  474| [45] [(... No...!)]
 27:  557| [47] [Natsuhiko]
 28:  558| [45] [(I can feel something pulsing...!)]
 29:  570| [45] [He certainly could feel a beat.]
 30:  575| [45] [--A heartbeat.]
 31:  635| [45] [He had his senses of vision, hearing, touch, smell, taste-- and pain.]
 32:  640| [45] [Both his body and consciousness were here.]
 33:  645| [47] [Natsuhiko]
 34:  646| [45] [(I'm still alive...?)]
 35:  651| [45] [........]
 36:  657| [45] [--------]
 37:  768| [47] [Woman 1]
 38:  771| [45] ["--tain!"]
 39:  779| [47] [Woman 1]
 40:  782| [45] ["... Captain, please hang in there! Captain!"]
 41:  790| [47] [Woman 2]
 42:  793| [45] ["Get up, Captain! C'mon!"]
 43:  798| [45] [Roused awake by those voices--]
 44:  803| [45] [Natsuhiko opened his eyes.]
 45: 1003| [47] [Woman 1]
 46: 1006| [45] ["Ah...! You've finally come to, haven't you!?"]
 47: 1053| [47] [Woman 2]
 48: 1056| [45] ["W-what a relief! I thought you bit it there for a sec!"]
 49: 1100| [47] [Natsuhiko]
 50: 1101| [45] [(...?)]
