  0:   65| [45] [――ゆりかごに揺られているような感覚があった。]
  1:   70| [45] [耳には車のエンジン音が聞こえる。]
  2:  125| [45] [やがてそれに混じり、博士の声が聞こえてきた。]
  3:  146| [47] [美夜子]
  4:  149| [45] [「――優衣。優衣」]
  5:  154| [47] [サリュ]
  6:  157| [45] [「……ん……」]
  7:  162| [47] [美夜子]
  8:  165| [45] [「着いたわよ」]
  9:  170| [47] [サリュ]
 10:  173| [45] [「……そう」]
 11:  184| [45] [サリュがそう答えた時、車が止まった。]
 12:  189| [47] [美夜子]
 13:  192| [45] [「さ、降りなさい」]
 14:  323| [45] [車を降りると、目の前に初めて見る景色が広がっていた。]
 15:  328| [45] [柔らかな風が吹き抜け、サリュの頬を撫でる。]
 16:  333| [45] [傍らに立つ博士が、サリュを見て言った。]
 17:  359| [47] [美夜子]
 18:  362| [45] [「よく眠っていたわね」]
 19:  367| [47] [サリュ]
 20:  370| [45] [「……夢を見ていた」]
 21:  396| [47] [美夜子]
 22:  399| [45] [「夢？」]
 23:  404| [47] [サリュ]
 24:  407| [45] [「そう、夢。フランスの生家にいた頃の……何もない、灰色の日々の」]
 25:  412| [47] [サリュ]
 26:  415| [45] [「……何も起こらなかったはずなのに、とても悲しい夢だった気がする」]
 27:  441| [47] [美夜子]
 28:  444| [45] [「心配しないでいいのよ、優衣。もうあの屋敷には戻らなくてもいいの」]
 29:  470| [47] [美夜子]
 30:  473| [45] [「今日からあなたは、この鹿鳴市で暮らすんだから」]
 31:  478| [45] [そういう話が、サリュの両親と博士の間で交わされたと聞いていた。]
 32:  483| [45] [サリュは一時的に博士に引き取られ、博士の住む街で暮らすのだと。]
 33:  509| [47] [美夜子]
 34:  512| [45] [「慣れない土地で不便もあるけれど、不自由する事はないと思うわ」]
 35:  517| [47] [サリュ]
 36:  520| [45] [「でも、やるべき事があるでしょう？」]
 37:  546| [47] [美夜子]
 38:  549| [45] [「偉いわ、よく覚えていたわね」]
 39:  554| [47] [サリュ]
 40:  557| [45] [「当然。それよりやるべき事の内容を確認したい」]
 41:  583| [47] [美夜子]
 42:  586| [45] [「あなたのここでの役目は、私の息子、天川夏彦を護る事よ」]
 43:  591| [47] [サリュ]
 44:  594| [45] [「何から？」]
 45:  620| [47] [美夜子]
 46:  623| [45] [「諸々の悪意からよ。近頃はこの街も、治安が悪くなってるから……」]
 47:  631| [47] [美夜子]
 48:  634| [45] [「もっともずっと昔に比べれば、マシなのかもしれないけど」]
 49:  639| [47] [サリュ]
 50:  642| [45] [「昔はどうだったの」]
 51:  668| [47] [美夜子]
 52:  671| [45] [「かつてはこの街でも、反ＢＣデモやコミュニケーターへの迫害があったし」]
 53:  679| [47] [美夜子]
 54:  682| [45] [「その後にもコミュニケーターの住居が、直接破壊活動の標的となったの」]
 55:  690| [47] [美夜子]
 56:  693| [45] [「その時、標的となった建物は……半壊し、死者も出たわ」]
 57:  698| [47] [サリュ]
 58:  701| [45] [「そう。見た感じ、平和そうな街なのに」]
 59:  727| [47] [美夜子]
 60:  730| [45] [「ここまで来るのに、１６年の歳月を要したのよ」]
 61:  738| [47] [美夜子]
 62:  741| [45] [「でもどれだけ強固な砦を築いても、完全な平穏は保証されない。この街にも多くの穴がある」]
 63:  767| [47] [美夜子]
 64:  770| [45] [「適性度Ｓの夏彦は、他のコミュニケーターより危険な目に遭う確率が高い」]
 65:  796| [47] [美夜子]
 66:  799| [45] [「でも私は一緒にいてあげられない……だから優衣、あなたが夏彦を護ってあげて」]
 67:  804| [47] [サリュ]
 68:  807| [45] [「承知」]
 69:  833| [47] [美夜子]
 70:  836| [45] [「ありがとう。それじゃ注意点が１つ」]
 71:  862| [47] [美夜子]
 72:  865| [45] [「夏彦は幼少時の心的外傷がきっかけで、死んだ幼馴染の幻影を見続けているの」]
 73:  873| [47] [美夜子]
 74:  876| [45] [「幼馴染の名前は『琴乃悠里』」]
 75:  881| [47] [サリュ]
 76:  884| [45] [「琴乃、悠里……」]
 77:  889| [45] [その名を聞くと、どことなく懐かしい感じがした。]
 78:  894| [45] [そう、前に博士から聞いた事があったのだ。]
 79:  920| [47] [美夜子]
 80:  923| [45] [「夏彦と会話する時は、この子の名前が突然出てきたりするけど――」]
 81:  931| [47] [美夜子]
 82:  934| [45] [「それについては触れずに、そっとしておいてあげて」]
 83:  939| [47] [サリュ]
 84:  942| [45] [「琴乃悠里についての情報は、すでに把握してある。なるべくうまくやるつもり」]
 85:  968| [47] [美夜子]
 86:  971| [45] [「そう、期待しているわ」]
 87:  976| [45] [博士は穏やかな声で言った。]
 88:  981| [45] [だが本当に期待しているのかどうか、サリュにはわからない。]
 89:  986| [45] [人の心中を、表情や声の調子などから推察する事を、サリュは極度に苦手としている。]
 90:  991| [47] [サリュ]
 91:  994| [45] [「……やはり、不安」]
 92:  999| [47] [サリュ]
 93: 1002| [45] [「私は他人の心が理解できないし、世の常識もわからない」]
 94: 1007| [47] [サリュ]
 95: 1010| [45] [「そんな私が博士の息子を、正しく気遣えるかどうか」]
 96: 1036| [47] [美夜子]
 97: 1039| [45] [「そう言うと思ってね。プレゼントを用意したの」]
 98: 1046| [45] [博士はそう言って、車のトランクから、何かを取り出した。]
 99: 1111| [45] [それはフェレットか何かのぬいぐるみのように見えた。]
100: 1116| [47] [サリュ]
101: 1119| [45] [「……ぬいぐるみ？」]
102: 1127| [47] [美夜子]
103: 1130| [45] [「ただのぬいぐるみじゃないわ」]
104: 1138| [47] [美夜子]
105: 1141| [45] [「これはＡｉｒ　Ｒｅａｄｉｎｇ　Ｍａｓｓｃｏｔ　Ｓｙｓｔｅｍ、通称『ＡＲＭＳ』と言ってね」]
106: 1149| [47] [美夜子]
107: 1152| [45] [「他人の感情を、表情や言動から推測し、あなたに伝える機能を持っているのよ」]
108: 1181| [47] [美夜子]
109: 1184| [45] [「あなたが外の世界で生きていくための、大切な指針となるはずだわ」]
110: 1198| [45] [博士はそう言って、ＡＲＭＳと呼ばれた機械をサリュに手渡した。]
111: 1203| [45] [それをまじまじと見てサリュは思う。]
112: 1208| [47] [サリュ]
113: 1209| [45] [（可愛い……）]
114: 1214| [45] [柔らかな毛皮の手触りも心地よい。]
115: 1219| [45] [こういうものに今まで興味はなかったが、なんだかすっかり気にいってしまった。]
116: 1251| [47] [美夜子]
117: 1254| [45] [「人の顔にＡＲＭＳの目を向けると、その表情を自動的にスキャンするわ」]
118: 1262| [47] [美夜子]
119: 1265| [45] [「それでＡＲＭＳが楽しげに鳴いたら、その人も楽しいと思っているの」]
120: 1273| [47] [美夜子]
121: 1276| [45] [「表情の他にも、声やしぐさなどを分析して、判断を下す優れものよ」]
122: 1281| [45] [博士がそう言った時、ＡＲＭＳが鳴いた。]
123: 1286| [47] [アリス]
124: 1289| [45] [「きゅぅっ！」]
125: 1294| [47] [サリュ]
