  0:   42| [55] [√Before Chapter 5]
  1:   69| [45] [--The city gate.]
  2:   74| [45] [It was something of an inspection booth established on the main road that connected the city to the outside world.]
  3:   79| [45] [A guard was stationed at a box nearby.]
  4:   84| [45] [All people wishing to leave or enter the city were required to go through the proper paperwork beforehand.]
  5:   89| [45] [Then once at the gate, passage required proof of citizenship and a strict security check.]
  6:   94| [45] [The gates were thus seen as something of a status symbol befitting of a "government designated top secret city".]
  7:   99| [45] [As they got close, Salyu muttered.]
  8:  125| [47] [Salyu]
  9:  128| [45] ["Kind of an off-putting place..."]
 10:  136| [47] [Natsuhiko]
 11:  139| [45] ["Oh, you think so?"]
 12:  165| [47] [Salyu]
 13:  168| [45] ["It almost gives the impression that the whole city is locked down."]
 14:  176| [47] [Natsuhiko]
 15:  179| [45] ["Hmm... You're just reading too much into it."]
 16:  184| [45] [The city was obviously not a prison.]
 17:  189| [45] [It was a little bit of a hassle, but normal citizens were certainly able to leave and enter the city.]
 18:  194| [45] [The gates and fence were actually dependable blessings since they served to blockade suspicious characters from entering the city.]
 19:  202| [47] [Natsuhiko]
 20:  205| [45] ["Well, I guess it's not somewhere you'd like to stay too long. Let's find Mashiro quick and head back."]
 21:  231| [47] [Salyu]
 22:  234| [45] ["Mmm."]
 23:  294| [45] [And with that, they looked around and found her soon enough.]
 24:  362| [45] [She was at a bus stop near the gate, seemingly waiting for a bus. She hadn't noticed them.]
 25:  367| [45] [They rushed up to her and called out.]
 26:  438| [47] [Natsuhiko]
 27:  441| [45] ["Hey! What are you doing skipping school, Mashiro!?"]
 28:  467| [47] [Mashiro]
 29:  470| [45] ["Huh!? Ah... you two came over here?"]
 30:  478| [47] [Natsuhiko]
 31:  481| [45] ["Of course we did. You had us worried."]
 32:  507| [47] [Mashiro]
 33:  510| [45] ["H-hmph. It's not like I asked you to come."]
 34:  518| [47] [Natsuhiko]
 35:  521| [45] ["What?"]
 36:  593| [47] [Mashiro]
 37:  596| [45] ["I told you last night that I can't count on you, didn't I?"]
 38:  622| [47] [Mashiro]
 39:  625| [45] ["'The terrorist investigation case is under my jurisdiction, boys. Hands off.' That sort of thing."]
