  0:  170| [55] [√Current Chapter1]
  1:  187| [45] [――火災は２人のレスキュー隊員の活躍によって、見事に鎮火されていた。]
  2:  213| [47] [洵]
  3:  216| [45] [「さぁお嬢ちゃん、もう大丈夫だよ」]
  4:  242| [47] [副隊長]
  5:  245| [45] [「おケガはありませんか？」]
  6:  273| [47] [悠里]
  7:  276| [45] [「……は、はい」]
  8:  281| [45] [夏彦は男の眼を通し、少女の顔をまじまじと見た。]
  9:  385| [47] [夏彦]
 10:  386| [45] [（ほ、本当に悠里なのか……？）]
 11:  391| [45] [だが悠里は９年前に、確かに死んでいるはずなのだ。]
 12:  396| [47] [夏彦]
 13:  397| [45] [（もしかして……悠里には双子の姉妹がいたとか……？）]
 14:  402| [47] [夏彦]
 15:  403| [45] [（でも、悠里は一人っ子のはずだったし……それじゃあ、まさか悠里のクローンとか！？）]
 16:  408| [45] [そうした馬鹿げたことを考えてしまうほど、彼女は悠里と瓜二つだった。]
 17:  413| [45] [その時、男の眼が２人のレスキュー隊員に向けられた。]
 18:  457| [47] [渡瀬]
 19:  460| [45] [「ところで、２人に聞きたいことがあるんだが……」]
 20:  468| [47] [渡瀬]
 21:  471| [45] [「オレが『隊長』って呼ばれてるってことは、つまり……オレはレスキュー隊かなんかの隊長なんだよな？」]
 22:  497| [47] [洵]
 23:  500| [45] [「はぁ？　隊長、なに言ってんの？」]
 24:  526| [47] [副隊長]
 25:  529| [45] [「それは……どういう意味でしょう？」]
 26:  537| [47] [渡瀬]
 27:  540| [45] [「その、実は……わからないんだよ」]
 28:  548| [47] [渡瀬]
 29:  551| [45] [「自分が誰で、ここがどこなのか……」]
 30:  608| [47] [３人]
 31:  611| [45] [「え！？」]
 32:  616| [45] [男の告白に皆が驚く中、夏彦だけが安堵した。]
 33:  621| [47] [夏彦]
 34:  622| [45] [（良かった……ぼくはちゃんと、男の心を破壊できたんだ）]
 35:  627| [45] [夏彦はあの時の事を思い出す。]
 36:  701| [47] [夏彦]
 37:  702| [45] [（――こいつの心を構成する、全ての記憶を！）]
 38:  707| [47] [夏彦]
 39:  708| [45] [（頼む、これで……）]
 40:  774| [47] [夏彦]
 41:  777| [45] [《壊れてくれッ！！》]
 42:  836| [47] [渡瀬]
 43:  839| [45] [「が……はッ……！」]
 44:  959| [45] [それは夏彦が意識を失う直前の記憶だった。]
 45:  964| [45] [正確には男の心を壊したというよりは、『記憶』を破壊したのだろう。]
 46:  969| [45] [その結果、男はいわゆる記憶喪失になっているようだった。]
 47:  974| [47] [夏彦]
 48:  975| [45] [（じゃあ、あの殺意と憎悪も消えてくれたのか……？）]
 49:  980| [45] [そこまでの確証は持てないが、男の様子を見る限り、ひとまず安心しても良さそうだ。]
 50:  985| [47] [夏彦]
 51:  986| [45] [（……でも……）]
 52:  991| [45] [自分が意識を失った経緯を思い返し、夏彦は暗澹たる気分になった。]
 53:  996| [45] [あの傷と出血、そして闇へ落ちる感覚――とても、自分が無事だったとは思えない。]
 54: 1001| [47] [夏彦]
 55: 1002| [45] [（そりゃそうだよな……あれだけ撃たれたら、誰だって……）]
 56: 1060| [45] [――ぼくは、あのとき、死んだんだ――]
 57: 1065| [45] [その事実が、夏彦の心に暗い影を落とす。]
 58: 1070| [47] [夏彦]
 59: 1071| [45] [（だけど、じゃあ今のぼくは何なんだ……？）]
 60: 1076| [47] [夏彦]
 61: 1077| [45] [（……まさか、『幽霊』とか？）]
 62: 1082| [45] [そう考えたとき、先日聞いた話を思い出した。]
 63: 1169| [47] [恵那]
 64: 1172| [45] [「極端な話、『幽霊』もひょっとしたらＢＣの一種では？　なんて考えさえあるのよ」]
 65: 1180| [47] [恵那]
 66: 1183| [45] [「テレパシーによって発生したＢＣのエネルギーは、発生と同時に減衰し始めるけれど、すぐ０になるわけではないわ」]
 67: 1209| [47] [恵那]
 68: 1212| [45] [「つまり超強力なテレパシーは、対象者がいようがいまいが、しばらくその場に留まりうる……」]
 69: 1273| [47] [ましろ]
 70: 1276| [45] [「……『死んだ人の想いは、この世に残る』って事ですね！」]
 71: 1412| [45] [……おそらく夏彦は、男の心に潜ったまま死んだのだ。]
 72: 1417| [45] [そして、そのとき使用したＢＣエネルギーは、今なお男の中に滞留し続け――]
 73: 1422| [47] [夏彦]
 74: 1423| [45] [（……ぼくの意識は、今ここにいるってわけか）]
 75: 1428| [47] [夏彦]
 76: 1429| [45] [（まさか授業で聞いた話を、ぼく自身が実践できてしまうなんて……）]
 77: 1434| [47] [夏彦]
 78: 1435| [45] [（自分を殺した相手に取り憑くなんて、まるで悪霊みたいだな……ははっ）]
 79: 1440| [45] [ましろやサリュ、そして母に２度と会えないのだと思うと、たまらなく寂しかった。]
 80: 1450| [45] [――そんな折、ふと夏彦は、副隊長が少女に何かを注射しようとしているのに気づく。]
 81: 1464| [47] [副隊長]
 82: 1467| [45] [「腕を出して下さい」]
 83: 1493| [47] [悠里]
 84: 1496| [45] [「い、いや……打ちたくない……」]
 85: 1522| [47] [副隊長]
 86: 1525| [45] [「ダメです！　投与しなければ危険なんですよ！」]
 87: 1557| [47] [悠里]
 88: 1560| [45] [「あっ……」]
 89: 1565| [45] [副隊長は無理やり、少女に何かを注射した。]
 90: 1618| [47] [渡瀬]
 91: 1621| [45] [「……何だ、その薬？」]
 92: 1647| [47] [副隊長]
 93: 1650| [45] [「ＡＤ、と言います。簡単に説明すると『放射線被曝』を防ぐ薬です」]
 94: 1655| [45] [副隊長の説明によると、こういう事らしかった。]
